|dates|Bedford_Virginia_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Bedford_Virginia_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Bedford_Virginia_UnitedStates.Male_Total_Population.data|Bedford_Virginia_UnitedStates.Male_Total_Population.missing|Bedford_Virginia_UnitedStates.Female_Total_Population.data|Bedford_Virginia_UnitedStates.Female_Total_Population.missing|Bedford_Virginia_UnitedStates.MaleAndFemale_Under18_Population.data|Bedford_Virginia_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2022-01-04|16789.0|0|38794.0|0|39953.0|0|15623.0|0
0|2022-01-05|16789.0|0|38794.0|0|39953.0|0|15623.0|0
0|2022-01-06|16789.0|0|38794.0|0|39953.0|0|15623.0|0
0|2022-01-07|16789.0|0|38794.0|0|39953.0|0|15623.0|0
0|2022-01-08|16789.0|0|38794.0|0|39953.0|0|15623.0|0
0|2022-01-09|16789.0|0|38794.0|0|39953.0|0|15623.0|0
0|2022-01-10|16789.0|0|38794.0|0|39953.0|0|15623.0|0
0|2022-01-11|16789.0|0|38794.0|0|39953.0|0|15623.0|0
0|2022-01-12|16789.0|0|38794.0|0|39953.0|0|15623.0|0
0|2022-01-13|16789.0|0|38794.0|0|39953.0|0|15623.0|0
0|2022-01-14|16789.0|0|38794.0|0|39953.0|0|15623.0|0
0|2022-01-15|16789.0|0|38794.0|0|39953.0|0|15623.0|0
0|2022-01-16|16789.0|0|38794.0|0|39953.0|0|15623.0|0
0|2022-01-17|16789.0|0|38794.0|0|39953.0|0|15623.0|0
