|dates|Perkins_SouthDakota_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Perkins_SouthDakota_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Perkins_SouthDakota_UnitedStates.Male_Total_Population.data|Perkins_SouthDakota_UnitedStates.Male_Total_Population.missing|Perkins_SouthDakota_UnitedStates.Female_Total_Population.data|Perkins_SouthDakota_UnitedStates.Female_Total_Population.missing|Perkins_SouthDakota_UnitedStates.MaleAndFemale_Under18_Population.data|Perkins_SouthDakota_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-10-17|735.0|0|1465.0|0|1457.0|0|605.0|0
0|2021-10-18|735.0|0|1465.0|0|1457.0|0|605.0|0
0|2021-10-19|735.0|0|1465.0|0|1457.0|0|605.0|0
0|2021-10-20|735.0|0|1465.0|0|1457.0|0|605.0|0
0|2021-10-21|735.0|0|1465.0|0|1457.0|0|605.0|0
0|2021-10-22|735.0|0|1465.0|0|1457.0|0|605.0|0
0|2021-10-23|735.0|0|1465.0|0|1457.0|0|605.0|0
0|2021-10-24|735.0|0|1465.0|0|1457.0|0|605.0|0
0|2021-10-25|735.0|0|1465.0|0|1457.0|0|605.0|0
0|2021-10-26|735.0|0|1465.0|0|1457.0|0|605.0|0
0|2021-10-27|735.0|0|1465.0|0|1457.0|0|605.0|0
0|2021-10-28|735.0|0|1465.0|0|1457.0|0|605.0|0
0|2021-10-29|735.0|0|1465.0|0|1457.0|0|605.0|0
0|2021-10-30|735.0|0|1465.0|0|1457.0|0|605.0|0
0|2021-10-31|735.0|0|1465.0|0|1457.0|0|605.0|0
0|2021-11-01|735.0|0|1465.0|0|1457.0|0|605.0|0
0|2021-11-02|735.0|0|1465.0|0|1457.0|0|605.0|0
0|2021-11-03|735.0|0|1465.0|0|1457.0|0|605.0|0
0|2021-11-04|735.0|0|1465.0|0|1457.0|0|605.0|0
0|2021-11-05|735.0|0|1465.0|0|1457.0|0|605.0|0
0|2021-11-06|735.0|0|1465.0|0|1457.0|0|605.0|0
0|2021-11-07|735.0|0|1465.0|0|1457.0|0|605.0|0
0|2021-11-08|735.0|0|1465.0|0|1457.0|0|605.0|0
0|2021-11-09|735.0|0|1465.0|0|1457.0|0|605.0|0
0|2021-11-10|735.0|0|1465.0|0|1457.0|0|605.0|0
0|2021-11-11|735.0|0|1465.0|0|1457.0|0|605.0|0
0|2021-11-12|735.0|0|1465.0|0|1457.0|0|605.0|0
0|2021-11-13|735.0|0|1465.0|0|1457.0|0|605.0|0
0|2021-11-14|735.0|0|1465.0|0|1457.0|0|605.0|0
0|2021-11-15|735.0|0|1465.0|0|1457.0|0|605.0|0
0|2021-11-16|735.0|0|1465.0|0|1457.0|0|605.0|0
0|2021-11-17|735.0|0|1465.0|0|1457.0|0|605.0|0
0|2021-11-18|735.0|0|1465.0|0|1457.0|0|605.0|0
0|2021-11-19|735.0|0|1465.0|0|1457.0|0|605.0|0
0|2021-11-20|735.0|0|1465.0|0|1457.0|0|605.0|0
0|2021-11-21|735.0|0|1465.0|0|1457.0|0|605.0|0
0|2021-11-22|735.0|0|1465.0|0|1457.0|0|605.0|0
0|2021-11-23|735.0|0|1465.0|0|1457.0|0|605.0|0
0|2021-11-24|735.0|0|1465.0|0|1457.0|0|605.0|0
0|2021-11-25|735.0|0|1465.0|0|1457.0|0|605.0|0
0|2021-11-26|735.0|0|1465.0|0|1457.0|0|605.0|0
0|2021-11-27|735.0|0|1465.0|0|1457.0|0|605.0|0
0|2021-11-28|735.0|0|1465.0|0|1457.0|0|605.0|0
0|2021-11-29|735.0|0|1465.0|0|1457.0|0|605.0|0
0|2021-11-30|735.0|0|1465.0|0|1457.0|0|605.0|0
0|2021-12-01|735.0|0|1465.0|0|1457.0|0|605.0|0
0|2021-12-02|735.0|0|1465.0|0|1457.0|0|605.0|0
0|2021-12-03|735.0|0|1465.0|0|1457.0|0|605.0|0
0|2021-12-04|735.0|0|1465.0|0|1457.0|0|605.0|0
0|2021-12-05|735.0|0|1465.0|0|1457.0|0|605.0|0
0|2021-12-06|735.0|0|1465.0|0|1457.0|0|605.0|0
0|2021-12-07|735.0|0|1465.0|0|1457.0|0|605.0|0
0|2021-12-08|735.0|0|1465.0|0|1457.0|0|605.0|0
0|2021-12-09|735.0|0|1465.0|0|1457.0|0|605.0|0
0|2021-12-10|735.0|0|1465.0|0|1457.0|0|605.0|0
0|2021-12-11|735.0|0|1465.0|0|1457.0|0|605.0|0
0|2021-12-12|735.0|0|1465.0|0|1457.0|0|605.0|0
0|2021-12-13|735.0|0|1465.0|0|1457.0|0|605.0|0
0|2021-12-14|735.0|0|1465.0|0|1457.0|0|605.0|0
0|2021-12-15|735.0|0|1465.0|0|1457.0|0|605.0|0
0|2021-12-16|735.0|0|1465.0|0|1457.0|0|605.0|0
0|2021-12-17|735.0|0|1465.0|0|1457.0|0|605.0|0
0|2021-12-18|735.0|0|1465.0|0|1457.0|0|605.0|0
0|2021-12-19|735.0|0|1465.0|0|1457.0|0|605.0|0
0|2021-12-20|735.0|0|1465.0|0|1457.0|0|605.0|0
0|2021-12-21|735.0|0|1465.0|0|1457.0|0|605.0|0
0|2021-12-22|735.0|0|1465.0|0|1457.0|0|605.0|0
0|2021-12-23|735.0|0|1465.0|0|1457.0|0|605.0|0
0|2021-12-24|735.0|0|1465.0|0|1457.0|0|605.0|0
0|2021-12-25|735.0|0|1465.0|0|1457.0|0|605.0|0
0|2021-12-26|735.0|0|1465.0|0|1457.0|0|605.0|0
0|2021-12-27|735.0|0|1465.0|0|1457.0|0|605.0|0
0|2021-12-28|735.0|0|1465.0|0|1457.0|0|605.0|0
0|2021-12-29|735.0|0|1465.0|0|1457.0|0|605.0|0
0|2021-12-30|735.0|0|1465.0|0|1457.0|0|605.0|0
0|2021-12-31|735.0|0|1465.0|0|1457.0|0|605.0|0
0|2022-01-01|735.0|0|1465.0|0|1457.0|0|605.0|0
0|2022-01-02|735.0|0|1465.0|0|1457.0|0|605.0|0
0|2022-01-03|735.0|0|1465.0|0|1457.0|0|605.0|0
0|2022-01-04|735.0|0|1465.0|0|1457.0|0|605.0|0
0|2022-01-05|735.0|0|1465.0|0|1457.0|0|605.0|0
0|2022-01-06|735.0|0|1465.0|0|1457.0|0|605.0|0
0|2022-01-07|735.0|0|1465.0|0|1457.0|0|605.0|0
0|2022-01-08|735.0|0|1465.0|0|1457.0|0|605.0|0
