|dates|Sonoma_California_UnitedStates.AveragePrecipitationTotal.data|Sonoma_California_UnitedStates.AveragePrecipitationTotal.missing|Sonoma_California_UnitedStates.AveragePrecipitation.data|Sonoma_California_UnitedStates.AveragePrecipitation.missing|Sonoma_California_UnitedStates.AverageWindDirection.data|Sonoma_California_UnitedStates.AverageWindDirection.missing|Sonoma_California_UnitedStates.AverageWindSpeed.data|Sonoma_California_UnitedStates.AverageWindSpeed.missing
0|2021-10-17|0.0|0|0.0033333333333333335|0|172.22222222222226|0|5.381944444444444|0
0|2021-10-18|0.001875|0|0.0004166666666666667|0|80.25|0|2.6041666666666665|0
0|2021-10-19|0.0|0|0.01361111111111111|0|102.75|0|5.251736111111112|0
0|2021-10-20|0.046250000000000006|0|0.02952777777777778|0|66.84027777777779|0|2.820138888888889|0
0|2021-10-21|0.02|0|0.02369444444444445|0|147.20833333333334|0|6.724999999999999|0
0|2021-10-22|0.017916666666666668|0|0.025277777777777777|0|156.31944444444446|0|5.697916666666667|0
0|2021-10-23|0.004583333333333333|0|0.027958333333333335|0|105.31944444444444|0|4.465277777777778|0
0|2021-10-24|0.036944444444444446|0|0.18491666666666665|0|178.6736111111111|0|11.471527777777778|0
0|2021-10-25|0.19208333333333336|0|0.010208333333333335|0|155.83333333333334|0|5.208333333333333|0
0|2021-10-26|0.0010416666666666667|0|0.0022083333333333334|0|129.39583333333334|0|2.6249999999999996|0
0|2021-10-27|0.001875|0|0.0|0|62.0|0|1.1048611111111113|0
0|2021-10-28|0.0|0|0.0|0|129.41666666666666|0|2.2333333333333334|0
0|2021-10-29|0.0|0|0.0|0|84.06944444444444|0|3.6256944444444446|0
0|2021-10-30|0.0|0|0.0021875|0|116.18055555555556|0|3.7430555555555554|0
0|2021-10-31|0.00375|0|0.0014930555555555556|0|57.84722222222223|0|1.128472222222222|0
0|2021-11-01|0.0010416666666666667|0|0.025277777777777777|0|123.125|0|5.784722222222221|0
0|2021-11-02|0.005416666666666667|0|0.0|0|172.33333333333334|0|3.0618055555555554|0
0|2021-11-03|0.0|0|0.000625|0|157.84722222222223|0|3.3923611111111107|0
0|2021-11-04|0.005833333333333334|0|0.0069097222222222225|0|192.44047619047618|0|4.440476190476191|0
0|2021-11-05|0.0|0|0.0|0|107.46527777777777|0|2.0520833333333335|0
0|2021-11-06|0.0|0|0.0008333333333333334|0|184.27083333333334|0|3.7708333333333335|0
0|2021-11-07|0.0008333333333333334|0|0.0|0|155.83333333333334|0|3.0625|0
0|2021-11-08|0.0|0|0.03729166666666667|0|152.08333333333334|0|5.0|0
0|2021-11-09|0.016354166666666666|0|0.02739583333333333|0|102.8263888888889|0|3.334722222222222|0
0|2021-11-10|0.003541666666666667|0|0.0|0|68.54166666666667|0|1.5729166666666667|0
0|2021-11-11|0.0|0|0.0|0|53.333333333333336|0|1.1395833333333334|0
0|2021-11-12|0.0|0|0.0|0|53.09027777777778|0|1.1736111111111112|0
0|2021-11-13|0.0|0|0.0|0|50.416666666666664|0|1.3125|0
0|2021-11-14|0.0|0|0.0|0|87.21626984126983|0|2.025992063492063|0
0|2021-11-15|0.0|0|0.0|0|71.31944444444444|0|1.5694444444444444|0
0|2021-11-16|0.0|0|0.0|0|119.97222222222223|0|3.307638888888889|0
0|2021-11-17|0.0|0|0.0|0|100.90277777777779|0|2.638888888888889|0
0|2021-11-18|0.0|0|0.0004166666666666667|0|41.145833333333336|0|1.1666666666666667|0
0|2021-11-19|0.0001388888888888889|0|0.0013194444444444445|0|26.375|0|0.6229166666666667|0
