|dates|Northampton_Virginia_UnitedStates.JHU_ConfirmedCases.data|Northampton_Virginia_UnitedStates.JHU_ConfirmedCases.missing|Northampton_Virginia_UnitedStates.NYT_ConfirmedCases.data|Northampton_Virginia_UnitedStates.NYT_ConfirmedCases.missing|Northampton_Virginia_UnitedStates.JHU_ConfirmedDeaths.data|Northampton_Virginia_UnitedStates.JHU_ConfirmedDeaths.missing|Northampton_Virginia_UnitedStates.JHU_ConfirmedRecoveries.data|Northampton_Virginia_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|1135.0|0|1135.0|0|41.0|0|0.0|100
0|2021-10-18|1145.0|0|1145.0|0|42.0|0|0.0|100
0|2021-10-19|1147.0|0|1147.0|0|42.0|0|0.0|100
0|2021-10-20|1147.0|0|1147.0|0|42.0|0|0.0|100
0|2021-10-21|1148.0|0|1148.0|0|42.0|0|0.0|100
0|2021-10-22|1148.0|0|1148.0|0|44.0|0|0.0|100
0|2021-10-23|1148.0|0|1148.0|0|44.0|0|0.0|100
0|2021-10-24|1148.0|0|1148.0|0|44.0|0|0.0|100
0|2021-10-25|1153.0|0|1153.0|0|44.0|0|0.0|100
0|2021-10-26|1153.0|0|1153.0|0|44.0|0|0.0|100
0|2021-10-27|1154.0|0|1154.0|0|44.0|0|0.0|100
0|2021-10-28|1154.0|0|1154.0|0|44.0|0|0.0|100
0|2021-10-29|1155.0|0|1155.0|0|44.0|0|0.0|100
0|2021-10-30|1155.0|0|1155.0|0|44.0|0|0.0|100
0|2021-10-31|1155.0|0|1155.0|0|44.0|0|0.0|100
0|2021-11-01|1158.0|0|1158.0|0|44.0|0|0.0|100
0|2021-11-02|1158.0|0|1158.0|0|44.0|0|0.0|100
0|2021-11-03|1159.0|0|1159.0|0|44.0|0|0.0|100
0|2021-11-04|1159.0|0|1159.0|0|44.0|0|0.0|100
0|2021-11-05|1160.0|0|1160.0|0|44.0|0|0.0|100
0|2021-11-06|1160.0|0|1160.0|0|44.0|0|0.0|100
0|2021-11-07|1160.0|0|1160.0|0|44.0|0|0.0|100
0|2021-11-08|1161.0|0|1161.0|0|44.0|0|0.0|100
