|dates|Davis_Utah_UnitedStates.JHU_ConfirmedCases.data|Davis_Utah_UnitedStates.JHU_ConfirmedCases.missing|Davis_Utah_UnitedStates.NYT_ConfirmedCases.data|Davis_Utah_UnitedStates.NYT_ConfirmedCases.missing|Davis_Utah_UnitedStates.JHU_ConfirmedDeaths.data|Davis_Utah_UnitedStates.JHU_ConfirmedDeaths.missing|Davis_Utah_UnitedStates.JHU_ConfirmedRecoveries.data|Davis_Utah_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|52634.0|0|52634.0|0|251.0|0|0.0|100
0|2021-10-18|52998.0|0|52998.0|0|255.0|0|0.0|100
0|2021-10-19|53174.0|0|53174.0|0|256.0|0|0.0|100
0|2021-10-20|53329.0|0|53329.0|0|259.0|0|0.0|100
0|2021-10-21|53585.0|0|53585.0|0|261.0|0|0.0|100
0|2021-10-22|53759.0|0|53759.0|0|262.0|0|0.0|100
0|2021-10-23|53759.0|0|53759.0|0|262.0|0|0.0|100
0|2021-10-24|53759.0|0|53759.0|0|262.0|0|0.0|100
0|2021-10-25|54163.0|0|54163.0|0|263.0|0|0.0|100
0|2021-10-26|54327.0|0|54327.0|0|264.0|0|0.0|100
0|2021-10-27|54609.0|0|54609.0|0|264.0|0|0.0|100
0|2021-10-28|54821.0|0|54821.0|0|264.0|0|0.0|100
0|2021-10-29|55016.0|0|55016.0|0|267.0|0|0.0|100
0|2021-10-30|55016.0|0|55016.0|0|267.0|0|0.0|100
0|2021-10-31|55016.0|0|55016.0|0|267.0|0|0.0|100
0|2021-11-01|55391.0|0|55391.0|0|269.0|0|0.0|100
0|2021-11-02|55533.0|0|55533.0|0|271.0|0|0.0|100
0|2021-11-03|55783.0|0|55783.0|0|271.0|0|0.0|100
0|2021-11-04|56088.0|0|56088.0|0|271.0|0|0.0|100
0|2021-11-05|56350.0|0|56350.0|0|271.0|0|0.0|100
0|2021-11-06|56350.0|0|56350.0|0|271.0|0|0.0|100
0|2021-11-07|56350.0|0|56350.0|0|271.0|0|0.0|100
0|2021-11-08|56842.0|0|56842.0|0|272.0|0|0.0|100
0|2021-11-09|56999.0|0|56999.0|0|273.0|0|0.0|100
0|2021-11-10|56999.0|0|57221.0|0|273.0|0|0.0|100
0|2021-11-11|57221.0|0|57221.0|0|274.0|0|0.0|100
0|2021-11-12|57722.0|0|57722.0|0|275.0|0|0.0|100
0|2021-11-13|57722.0|0|57722.0|0|275.0|0|0.0|100
0|2021-11-14|57722.0|0|57722.0|0|275.0|0|0.0|100
0|2021-11-15|58274.0|0|58274.0|0|277.0|0|0.0|100
0|2021-11-16|58433.0|0|58433.0|0|280.0|0|0.0|100
0|2021-11-17|58684.0|0|58684.0|0|280.0|0|0.0|100
0|2021-11-18|58884.0|0|58884.0|0|282.0|0|0.0|100
0|2021-11-19|59085.0|0|59085.0|0|282.0|0|0.0|100
0|2021-11-20|59085.0|0|59085.0|0|282.0|0|0.0|100
0|2021-11-21|59085.0|0|59085.0|0|282.0|0|0.0|100
0|2021-11-22|59500.0|0|59500.0|0|283.0|0|0.0|100
0|2021-11-23|59638.0|0|59638.0|0|283.0|0|0.0|100
0|2021-11-24|59878.0|0|59878.0|0|285.0|0|0.0|100
0|2021-11-25|59878.0|0|59878.0|0|285.0|0|0.0|100
0|2021-11-26|60194.0|0|60194.0|0|286.0|0|0.0|100
0|2021-11-27|60194.0|0|60194.0|0|286.0|0|0.0|100
0|2021-11-28|60194.0|0|60194.0|0|286.0|0|0.0|100
0|2021-11-29|60528.0|0|60528.0|0|288.0|0|0.0|100
0|2021-11-30|60680.0|0|60680.0|0|289.0|0|0.0|100
0|2021-12-01|60955.0|0|60955.0|0|290.0|0|0.0|100
0|2021-12-02|61203.0|0|61203.0|0|290.0|0|0.0|100
0|2021-12-03|61435.0|0|61435.0|0|292.0|0|0.0|100
0|2021-12-04|61435.0|0|61435.0|0|292.0|0|0.0|100
0|2021-12-05|61435.0|0|61435.0|0|292.0|0|0.0|100
0|2021-12-06|61866.0|0|61866.0|0|297.0|0|0.0|100
0|2021-12-07|62000.0|0|62000.0|0|298.0|0|0.0|100
0|2021-12-08|62158.0|0|62158.0|0|299.0|0|0.0|100
0|2021-12-09|62314.0|0|62314.0|0|299.0|0|0.0|100
0|2021-12-10|62483.0|0|62483.0|0|299.0|0|0.0|100
0|2021-12-11|62483.0|0|62483.0|0|299.0|0|0.0|100
