|dates|Brown_Wisconsin_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Brown_Wisconsin_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Brown_Wisconsin_UnitedStates.Male_Total_Population.data|Brown_Wisconsin_UnitedStates.Male_Total_Population.missing|Brown_Wisconsin_UnitedStates.Female_Total_Population.data|Brown_Wisconsin_UnitedStates.Female_Total_Population.missing|Brown_Wisconsin_UnitedStates.MaleAndFemale_Under18_Population.data|Brown_Wisconsin_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-10-17|39133.0|0|130577.0|0|132801.0|0|62704.0|0
0|2021-10-18|39133.0|0|130577.0|0|132801.0|0|62704.0|0
0|2021-10-19|39133.0|0|130577.0|0|132801.0|0|62704.0|0
0|2021-10-20|39133.0|0|130577.0|0|132801.0|0|62704.0|0
0|2021-10-21|39133.0|0|130577.0|0|132801.0|0|62704.0|0
0|2021-10-22|39133.0|0|130577.0|0|132801.0|0|62704.0|0
0|2021-10-23|39133.0|0|130577.0|0|132801.0|0|62704.0|0
0|2021-10-24|39133.0|0|130577.0|0|132801.0|0|62704.0|0
0|2021-10-25|39133.0|0|130577.0|0|132801.0|0|62704.0|0
0|2021-10-26|39133.0|0|130577.0|0|132801.0|0|62704.0|0
0|2021-10-27|39133.0|0|130577.0|0|132801.0|0|62704.0|0
0|2021-10-28|39133.0|0|130577.0|0|132801.0|0|62704.0|0
0|2021-10-29|39133.0|0|130577.0|0|132801.0|0|62704.0|0
0|2021-10-30|39133.0|0|130577.0|0|132801.0|0|62704.0|0
0|2021-10-31|39133.0|0|130577.0|0|132801.0|0|62704.0|0
0|2021-11-01|39133.0|0|130577.0|0|132801.0|0|62704.0|0
0|2021-11-02|39133.0|0|130577.0|0|132801.0|0|62704.0|0
0|2021-11-03|39133.0|0|130577.0|0|132801.0|0|62704.0|0
0|2021-11-04|39133.0|0|130577.0|0|132801.0|0|62704.0|0
0|2021-11-05|39133.0|0|130577.0|0|132801.0|0|62704.0|0
0|2021-11-06|39133.0|0|130577.0|0|132801.0|0|62704.0|0
0|2021-11-07|39133.0|0|130577.0|0|132801.0|0|62704.0|0
0|2021-11-08|39133.0|0|130577.0|0|132801.0|0|62704.0|0
0|2021-11-09|39133.0|0|130577.0|0|132801.0|0|62704.0|0
0|2021-11-10|39133.0|0|130577.0|0|132801.0|0|62704.0|0
0|2021-11-11|39133.0|0|130577.0|0|132801.0|0|62704.0|0
0|2021-11-12|39133.0|0|130577.0|0|132801.0|0|62704.0|0
0|2021-11-13|39133.0|0|130577.0|0|132801.0|0|62704.0|0
0|2021-11-14|39133.0|0|130577.0|0|132801.0|0|62704.0|0
0|2021-11-15|39133.0|0|130577.0|0|132801.0|0|62704.0|0
0|2021-11-16|39133.0|0|130577.0|0|132801.0|0|62704.0|0
0|2021-11-17|39133.0|0|130577.0|0|132801.0|0|62704.0|0
0|2021-11-18|39133.0|0|130577.0|0|132801.0|0|62704.0|0
0|2021-11-19|39133.0|0|130577.0|0|132801.0|0|62704.0|0
0|2021-11-20|39133.0|0|130577.0|0|132801.0|0|62704.0|0
0|2021-11-21|39133.0|0|130577.0|0|132801.0|0|62704.0|0
0|2021-11-22|39133.0|0|130577.0|0|132801.0|0|62704.0|0
0|2021-11-23|39133.0|0|130577.0|0|132801.0|0|62704.0|0
0|2021-11-24|39133.0|0|130577.0|0|132801.0|0|62704.0|0
0|2021-11-25|39133.0|0|130577.0|0|132801.0|0|62704.0|0
0|2021-11-26|39133.0|0|130577.0|0|132801.0|0|62704.0|0
0|2021-11-27|39133.0|0|130577.0|0|132801.0|0|62704.0|0
0|2021-11-28|39133.0|0|130577.0|0|132801.0|0|62704.0|0
0|2021-11-29|39133.0|0|130577.0|0|132801.0|0|62704.0|0
0|2021-11-30|39133.0|0|130577.0|0|132801.0|0|62704.0|0
0|2021-12-01|39133.0|0|130577.0|0|132801.0|0|62704.0|0
0|2021-12-02|39133.0|0|130577.0|0|132801.0|0|62704.0|0
0|2021-12-03|39133.0|0|130577.0|0|132801.0|0|62704.0|0
0|2021-12-04|39133.0|0|130577.0|0|132801.0|0|62704.0|0
