|dates|McLean_Illinois_UnitedStates.JHU_ConfirmedCases.data|McLean_Illinois_UnitedStates.JHU_ConfirmedCases.missing|McLean_Illinois_UnitedStates.NYT_ConfirmedCases.data|McLean_Illinois_UnitedStates.NYT_ConfirmedCases.missing|McLean_Illinois_UnitedStates.JHU_ConfirmedDeaths.data|McLean_Illinois_UnitedStates.JHU_ConfirmedDeaths.missing|McLean_Illinois_UnitedStates.JHU_ConfirmedRecoveries.data|McLean_Illinois_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|22871.0|0|22871.0|0|216.0|0|0.0|100
0|2021-10-18|22947.0|0|22947.0|0|217.0|0|0.0|100
0|2021-10-19|22958.0|0|22958.0|0|218.0|0|0.0|100
0|2021-10-20|23012.0|0|23012.0|0|218.0|0|0.0|100
0|2021-10-21|23033.0|0|23033.0|0|219.0|0|0.0|100
0|2021-10-22|23073.0|0|23073.0|0|220.0|0|0.0|100
0|2021-10-23|23073.0|0|23073.0|0|220.0|0|0.0|100
0|2021-10-24|23073.0|0|23073.0|0|220.0|0|0.0|100
0|2021-10-25|23165.0|0|23165.0|0|220.0|0|0.0|100
0|2021-10-26|23203.0|0|23203.0|0|220.0|0|0.0|100
0|2021-10-27|23232.0|0|23232.0|0|222.0|0|0.0|100
0|2021-10-28|23259.0|0|23259.0|0|222.0|0|0.0|100
0|2021-10-29|23301.0|0|23301.0|0|222.0|0|0.0|100
0|2021-10-30|23301.0|0|23301.0|0|222.0|0|0.0|100
0|2021-10-31|23301.0|0|23301.0|0|222.0|0|0.0|100
0|2021-11-01|23367.0|0|23367.0|0|223.0|0|0.0|100
0|2021-11-02|23403.0|0|23403.0|0|223.0|0|0.0|100
0|2021-11-03|23431.0|0|23431.0|0|223.0|0|0.0|100
0|2021-11-04|23490.0|0|23490.0|0|224.0|0|0.0|100
0|2021-11-05|23545.0|0|23545.0|0|225.0|0|0.0|100
0|2021-11-06|23545.0|0|23545.0|0|225.0|0|0.0|100
0|2021-11-07|23545.0|0|23545.0|0|225.0|0|0.0|100
0|2021-11-08|23652.0|0|23652.0|0|227.0|0|0.0|100
0|2021-11-09|23676.0|0|23676.0|0|226.0|0|0.0|100
0|2021-11-10|23775.0|0|23775.0|0|226.0|0|0.0|100
0|2021-11-11|23775.0|0|23775.0|0|226.0|0|0.0|100
0|2021-11-12|23917.0|0|23917.0|0|227.0|0|0.0|100
0|2021-11-13|23917.0|0|23917.0|0|227.0|0|0.0|100
0|2021-11-14|23917.0|0|23917.0|0|227.0|0|0.0|100
0|2021-11-15|24100.0|0|24100.0|0|227.0|0|0.0|100
0|2021-11-16|24133.0|0|24133.0|0|227.0|0|0.0|100
0|2021-11-17|24223.0|0|24223.0|0|227.0|0|0.0|100
0|2021-11-18|24359.0|0|24359.0|0|227.0|0|0.0|100
0|2021-11-19|24442.0|0|24442.0|0|228.0|0|0.0|100
0|2021-11-20|24442.0|0|24442.0|0|228.0|0|0.0|100
