|dates|St.Martin_Louisiana_UnitedStates.JHU_ConfirmedCases.data|St.Martin_Louisiana_UnitedStates.JHU_ConfirmedCases.missing|St.Martin_Louisiana_UnitedStates.NYT_ConfirmedCases.data|St.Martin_Louisiana_UnitedStates.NYT_ConfirmedCases.missing|St.Martin_Louisiana_UnitedStates.JHU_ConfirmedDeaths.data|St.Martin_Louisiana_UnitedStates.JHU_ConfirmedDeaths.missing|St.Martin_Louisiana_UnitedStates.JHU_ConfirmedRecoveries.data|St.Martin_Louisiana_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|8331.0|0|8331.0|0|160.0|0|0.0|100
0|2021-10-18|8349.0|0|8349.0|0|160.0|0|0.0|100
0|2021-10-19|8357.0|0|8357.0|0|160.0|0|0.0|100
0|2021-10-20|8359.0|0|8359.0|0|160.0|0|0.0|100
0|2021-10-21|8365.0|0|8365.0|0|160.0|0|0.0|100
0|2021-10-22|8372.0|0|8372.0|0|160.0|0|0.0|100
0|2021-10-23|8372.0|0|8372.0|0|160.0|0|0.0|100
0|2021-10-24|8372.0|0|8372.0|0|160.0|0|0.0|100
0|2021-10-25|8383.0|0|8383.0|0|160.0|0|0.0|100
0|2021-10-26|8385.0|0|8385.0|0|160.0|0|0.0|100
0|2021-10-27|8404.0|0|8404.0|0|160.0|0|0.0|100
0|2021-10-28|8406.0|0|8406.0|0|160.0|0|0.0|100
0|2021-10-29|8407.0|0|8407.0|0|161.0|0|0.0|100
0|2021-10-30|8407.0|0|8407.0|0|161.0|0|0.0|100
0|2021-10-31|8407.0|0|8407.0|0|161.0|0|0.0|100
0|2021-11-01|8416.0|0|8416.0|0|161.0|0|0.0|100
0|2021-11-02|8416.0|0|8416.0|0|161.0|0|0.0|100
0|2021-11-03|8418.0|0|8418.0|0|161.0|0|0.0|100
0|2021-11-04|8430.0|0|8430.0|0|161.0|0|0.0|100
0|2021-11-05|8431.0|0|8431.0|0|161.0|0|0.0|100
0|2021-11-06|8431.0|0|8431.0|0|161.0|0|0.0|100
0|2021-11-07|8431.0|0|8431.0|0|161.0|0|0.0|100
0|2021-11-08|8439.0|0|8439.0|0|161.0|0|0.0|100
0|2021-11-09|8442.0|0|8442.0|0|161.0|0|0.0|100
0|2021-11-10|8442.0|0|8445.0|0|161.0|0|0.0|100
0|2021-11-11|8445.0|0|8445.0|0|161.0|0|0.0|100
0|2021-11-12|8452.0|0|8452.0|0|161.0|0|0.0|100
0|2021-11-13|8452.0|0|8452.0|0|161.0|0|0.0|100
0|2021-11-14|8452.0|0|8452.0|0|161.0|0|0.0|100
0|2021-11-15|8457.0|0|8457.0|0|161.0|0|0.0|100
0|2021-11-16|8464.0|0|8464.0|0|161.0|0|0.0|100
0|2021-11-17|8465.0|0|8465.0|0|161.0|0|0.0|100
0|2021-11-18|8470.0|0|8470.0|0|161.0|0|0.0|100
0|2021-11-19|8475.0|0|8475.0|0|161.0|0|0.0|100
0|2021-11-20|8475.0|0|8475.0|0|161.0|0|0.0|100
0|2021-11-21|8475.0|0|8475.0|0|161.0|0|0.0|100
0|2021-11-22|8479.0|0|8479.0|0|161.0|0|0.0|100
0|2021-11-23|8486.0|0|8486.0|0|161.0|0|0.0|100
0|2021-11-24|8490.0|0|8490.0|0|161.0|0|0.0|100
0|2021-11-25|8490.0|0|8490.0|0|161.0|0|0.0|100
0|2021-11-26|8490.0|0|8490.0|0|161.0|0|0.0|100
0|2021-11-27|8490.0|0|8490.0|0|161.0|0|0.0|100
0|2021-11-28|8490.0|0|8490.0|0|161.0|0|0.0|100
0|2021-11-29|8494.0|0|8494.0|0|162.0|0|0.0|100
0|2021-11-30|8495.0|0|8495.0|0|162.0|0|0.0|100
0|2021-12-01|8504.0|0|8504.0|0|162.0|0|0.0|100
0|2021-12-02|8504.0|0|8508.0|0|162.0|0|0.0|100
0|2021-12-03|8511.0|0|8511.0|0|162.0|0|0.0|100
0|2021-12-04|8511.0|0|8511.0|0|162.0|0|0.0|100
0|2021-12-05|8511.0|0|8511.0|0|162.0|0|0.0|100
0|2021-12-06|8521.0|0|8521.0|0|162.0|0|0.0|100
0|2021-12-07|8529.0|0|8529.0|0|162.0|0|0.0|100
0|2021-12-08|8557.0|0|8557.0|0|162.0|0|0.0|100
0|2021-12-09|8560.0|0|8560.0|0|163.0|0|0.0|100
0|2021-12-10|8565.0|0|8565.0|0|163.0|0|0.0|100
0|2021-12-11|8565.0|0|8565.0|0|163.0|0|0.0|100
0|2021-12-12|8565.0|0|8565.0|0|163.0|0|0.0|100
0|2021-12-13|8581.0|0|8581.0|0|163.0|0|0.0|100
0|2021-12-14|8581.0|0|8583.0|0|163.0|0|0.0|100
0|2021-12-15|8590.0|0|8590.0|0|163.0|0|0.0|100
0|2021-12-16|8595.0|0|8595.0|0|163.0|0|0.0|100
0|2021-12-17|8601.0|0|8601.0|0|163.0|0|0.0|100
0|2021-12-18|8601.0|0|8601.0|0|163.0|0|0.0|100
0|2021-12-19|8601.0|0|8601.0|0|163.0|0|0.0|100
