|dates|Salem_NewJersey_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Salem_NewJersey_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Salem_NewJersey_UnitedStates.Male_Total_Population.data|Salem_NewJersey_UnitedStates.Male_Total_Population.missing|Salem_NewJersey_UnitedStates.Female_Total_Population.data|Salem_NewJersey_UnitedStates.Female_Total_Population.missing|Salem_NewJersey_UnitedStates.MaleAndFemale_Under18_Population.data|Salem_NewJersey_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-10-17|11637.0|0|30717.0|0|31890.0|0|13379.0|0
0|2021-10-18|11637.0|0|30717.0|0|31890.0|0|13379.0|0
0|2021-10-19|11637.0|0|30717.0|0|31890.0|0|13379.0|0
0|2021-10-20|11637.0|0|30717.0|0|31890.0|0|13379.0|0
0|2021-10-21|11637.0|0|30717.0|0|31890.0|0|13379.0|0
0|2021-10-22|11637.0|0|30717.0|0|31890.0|0|13379.0|0
0|2021-10-23|11637.0|0|30717.0|0|31890.0|0|13379.0|0
0|2021-10-24|11637.0|0|30717.0|0|31890.0|0|13379.0|0
0|2021-10-25|11637.0|0|30717.0|0|31890.0|0|13379.0|0
0|2021-10-26|11637.0|0|30717.0|0|31890.0|0|13379.0|0
0|2021-10-27|11637.0|0|30717.0|0|31890.0|0|13379.0|0
0|2021-10-28|11637.0|0|30717.0|0|31890.0|0|13379.0|0
0|2021-10-29|11637.0|0|30717.0|0|31890.0|0|13379.0|0
0|2021-10-30|11637.0|0|30717.0|0|31890.0|0|13379.0|0
0|2021-10-31|11637.0|0|30717.0|0|31890.0|0|13379.0|0
0|2021-11-01|11637.0|0|30717.0|0|31890.0|0|13379.0|0
0|2021-11-02|11637.0|0|30717.0|0|31890.0|0|13379.0|0
0|2021-11-03|11637.0|0|30717.0|0|31890.0|0|13379.0|0
0|2021-11-04|11637.0|0|30717.0|0|31890.0|0|13379.0|0
0|2021-11-05|11637.0|0|30717.0|0|31890.0|0|13379.0|0
