|dates|Charlotte_Florida_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Charlotte_Florida_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Charlotte_Florida_UnitedStates.Male_Total_Population.data|Charlotte_Florida_UnitedStates.Male_Total_Population.missing|Charlotte_Florida_UnitedStates.Female_Total_Population.data|Charlotte_Florida_UnitedStates.Female_Total_Population.missing|Charlotte_Florida_UnitedStates.MaleAndFemale_Under18_Population.data|Charlotte_Florida_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-10-17|74394.0|0|90256.0|0|94742.0|0|22067.0|0
0|2021-10-18|74394.0|0|90256.0|0|94742.0|0|22067.0|0
0|2021-10-19|74394.0|0|90256.0|0|94742.0|0|22067.0|0
0|2021-10-20|74394.0|0|90256.0|0|94742.0|0|22067.0|0
0|2021-10-21|74394.0|0|90256.0|0|94742.0|0|22067.0|0
0|2021-10-22|74394.0|0|90256.0|0|94742.0|0|22067.0|0
0|2021-10-23|74394.0|0|90256.0|0|94742.0|0|22067.0|0
0|2021-10-24|74394.0|0|90256.0|0|94742.0|0|22067.0|0
0|2021-10-25|74394.0|0|90256.0|0|94742.0|0|22067.0|0
0|2021-10-26|74394.0|0|90256.0|0|94742.0|0|22067.0|0
0|2021-10-27|74394.0|0|90256.0|0|94742.0|0|22067.0|0
0|2021-10-28|74394.0|0|90256.0|0|94742.0|0|22067.0|0
0|2021-10-29|74394.0|0|90256.0|0|94742.0|0|22067.0|0
0|2021-10-30|74394.0|0|90256.0|0|94742.0|0|22067.0|0
0|2021-10-31|74394.0|0|90256.0|0|94742.0|0|22067.0|0
0|2021-11-01|74394.0|0|90256.0|0|94742.0|0|22067.0|0
0|2021-11-02|74394.0|0|90256.0|0|94742.0|0|22067.0|0
0|2021-11-03|74394.0|0|90256.0|0|94742.0|0|22067.0|0
0|2021-11-04|74394.0|0|90256.0|0|94742.0|0|22067.0|0
0|2021-11-05|74394.0|0|90256.0|0|94742.0|0|22067.0|0
0|2021-11-06|74394.0|0|90256.0|0|94742.0|0|22067.0|0
0|2021-11-07|74394.0|0|90256.0|0|94742.0|0|22067.0|0
0|2021-11-08|74394.0|0|90256.0|0|94742.0|0|22067.0|0
