|dates|Treutlen_Georgia_UnitedStates.JHU_ConfirmedCases.data|Treutlen_Georgia_UnitedStates.JHU_ConfirmedCases.missing|Treutlen_Georgia_UnitedStates.NYT_ConfirmedCases.data|Treutlen_Georgia_UnitedStates.NYT_ConfirmedCases.missing|Treutlen_Georgia_UnitedStates.JHU_ConfirmedDeaths.data|Treutlen_Georgia_UnitedStates.JHU_ConfirmedDeaths.missing|Treutlen_Georgia_UnitedStates.JHU_ConfirmedRecoveries.data|Treutlen_Georgia_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|1226.0|0|1228.0|0|46.0|0|0.0|100
0|2021-10-18|1230.0|0|1233.0|0|47.0|0|0.0|100
0|2021-10-19|1230.0|0|1233.0|0|47.0|0|0.0|100
0|2021-10-20|1232.0|0|1235.0|0|47.0|0|0.0|100
0|2021-10-21|1233.0|0|1236.0|0|47.0|0|0.0|100
0|2021-10-22|1234.0|0|1237.0|0|48.0|0|0.0|100
0|2021-10-23|1234.0|0|1237.0|0|48.0|0|0.0|100
0|2021-10-24|1234.0|0|1237.0|0|48.0|0|0.0|100
0|2021-10-25|1236.0|0|1239.0|0|48.0|0|0.0|100
0|2021-10-26|1238.0|0|1241.0|0|49.0|0|0.0|100
0|2021-10-27|1238.0|0|1241.0|0|51.0|0|0.0|100
0|2021-10-28|1239.0|0|1242.0|0|52.0|0|0.0|100
0|2021-10-29|1239.0|0|1242.0|0|52.0|0|0.0|100
0|2021-10-30|1239.0|0|1242.0|0|52.0|0|0.0|100
0|2021-10-31|1239.0|0|1242.0|0|52.0|0|0.0|100
0|2021-11-01|1239.0|0|1242.0|0|52.0|0|0.0|100
0|2021-11-02|1239.0|0|1242.0|0|52.0|0|0.0|100
0|2021-11-03|1239.0|0|1242.0|0|53.0|0|0.0|100
0|2021-11-04|1240.0|0|1243.0|0|53.0|0|0.0|100
0|2021-11-05|1240.0|0|1243.0|0|53.0|0|0.0|100
0|2021-11-06|1240.0|0|1243.0|0|53.0|0|0.0|100
0|2021-11-07|1240.0|0|1243.0|0|53.0|0|0.0|100
0|2021-11-08|1240.0|0|1244.0|0|53.0|0|0.0|100
0|2021-11-09|1240.0|0|1244.0|0|53.0|0|0.0|100
0|2021-11-10|1240.0|0|1244.0|0|53.0|0|0.0|100
0|2021-11-11|1240.0|0|1244.0|0|53.0|0|0.0|100
0|2021-11-12|1241.0|0|1245.0|0|53.0|0|0.0|100
0|2021-11-13|1241.0|0|1245.0|0|53.0|0|0.0|100
0|2021-11-14|1241.0|0|1245.0|0|53.0|0|0.0|100
0|2021-11-15|1241.0|0|1245.0|0|53.0|0|0.0|100
0|2021-11-16|1241.0|0|1245.0|0|53.0|0|0.0|100
0|2021-11-17|1241.0|0|1245.0|0|53.0|0|0.0|100
0|2021-11-18|1242.0|0|1246.0|0|53.0|0|0.0|100
0|2021-11-19|1242.0|0|1246.0|0|53.0|0|0.0|100
0|2021-11-20|1242.0|0|1246.0|0|53.0|0|0.0|100
0|2021-11-21|1242.0|0|1246.0|0|53.0|0|0.0|100
0|2021-11-22|1243.0|0|1247.0|0|53.0|0|0.0|100
0|2021-11-23|1243.0|0|1247.0|0|53.0|0|0.0|100
0|2021-11-24|1243.0|0|1247.0|0|53.0|0|0.0|100
0|2021-11-25|1243.0|0|1247.0|0|53.0|0|0.0|100
0|2021-11-26|1243.0|0|1247.0|0|53.0|0|0.0|100
0|2021-11-27|1243.0|0|1247.0|0|53.0|0|0.0|100
0|2021-11-28|1243.0|0|1247.0|0|53.0|0|0.0|100
0|2021-11-29|1244.0|0|1248.0|0|53.0|0|0.0|100
0|2021-11-30|1248.0|0|1252.0|0|53.0|0|0.0|100
0|2021-12-01|1249.0|0|1253.0|0|53.0|0|0.0|100
0|2021-12-02|1249.0|0|1253.0|0|54.0|0|0.0|100
0|2021-12-03|1249.0|0|1253.0|0|54.0|0|0.0|100
