|dates|Clay_Tennessee_UnitedStates.JHU_ConfirmedCases.data|Clay_Tennessee_UnitedStates.JHU_ConfirmedCases.missing|Clay_Tennessee_UnitedStates.NYT_ConfirmedCases.data|Clay_Tennessee_UnitedStates.NYT_ConfirmedCases.missing|Clay_Tennessee_UnitedStates.JHU_ConfirmedDeaths.data|Clay_Tennessee_UnitedStates.JHU_ConfirmedDeaths.missing|Clay_Tennessee_UnitedStates.JHU_ConfirmedRecoveries.data|Clay_Tennessee_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|1501.0|0|1501.0|0|36.0|0|0.0|100
0|2021-10-18|1504.0|0|1504.0|0|36.0|0|0.0|100
0|2021-10-19|1506.0|0|1506.0|0|36.0|0|0.0|100
0|2021-10-20|1512.0|0|1512.0|0|36.0|0|0.0|100
0|2021-10-21|1516.0|0|1516.0|0|36.0|0|0.0|100
0|2021-10-22|1517.0|0|1517.0|0|37.0|0|0.0|100
0|2021-10-23|1517.0|0|1517.0|0|37.0|0|0.0|100
0|2021-10-24|1517.0|0|1517.0|0|37.0|0|0.0|100
0|2021-10-25|1517.0|0|1517.0|0|37.0|0|0.0|100
0|2021-10-26|1528.0|0|1528.0|0|37.0|0|0.0|100
0|2021-10-27|1529.0|0|1529.0|0|37.0|0|0.0|100
0|2021-10-28|1531.0|0|1531.0|0|37.0|0|0.0|100
0|2021-10-29|1530.0|0|1530.0|0|37.0|0|0.0|100
0|2021-10-30|1530.0|0|1530.0|0|37.0|0|0.0|100
0|2021-10-31|1530.0|0|1530.0|0|37.0|0|0.0|100
0|2021-11-01|1530.0|0|1530.0|0|37.0|0|0.0|100
0|2021-11-02|1531.0|0|1531.0|0|37.0|0|0.0|100
0|2021-11-03|1531.0|0|1531.0|0|37.0|0|0.0|100
0|2021-11-04|1536.0|0|1536.0|0|37.0|0|0.0|100
0|2021-11-05|1537.0|0|1537.0|0|37.0|0|0.0|100
0|2021-11-06|1537.0|0|1537.0|0|37.0|0|0.0|100
0|2021-11-07|1537.0|0|1537.0|0|37.0|0|0.0|100
0|2021-11-08|1537.0|0|1537.0|0|37.0|0|0.0|100
0|2021-11-09|1540.0|0|1540.0|0|37.0|0|0.0|100
0|2021-11-10|1540.0|0|1541.0|0|37.0|0|0.0|100
0|2021-11-11|1541.0|0|1541.0|0|37.0|0|0.0|100
0|2021-11-12|1542.0|0|1542.0|0|37.0|0|0.0|100
0|2021-11-13|1542.0|0|1542.0|0|37.0|0|0.0|100
0|2021-11-14|1542.0|0|1542.0|0|37.0|0|0.0|100
0|2021-11-15|1543.0|0|1543.0|0|37.0|0|0.0|100
0|2021-11-16|1543.0|0|1543.0|0|37.0|0|0.0|100
0|2021-11-17|1544.0|0|1544.0|0|37.0|0|0.0|100
0|2021-11-18|1544.0|0|1544.0|0|37.0|0|0.0|100
0|2021-11-19|1547.0|0|1547.0|0|37.0|0|0.0|100
0|2021-11-20|1547.0|0|1547.0|0|37.0|0|0.0|100
0|2021-11-21|1547.0|0|1547.0|0|37.0|0|0.0|100
