|dates|Bristol_RhodeIsland_UnitedStates.JHU_ConfirmedCases.data|Bristol_RhodeIsland_UnitedStates.JHU_ConfirmedCases.missing|Bristol_RhodeIsland_UnitedStates.NYT_ConfirmedCases.data|Bristol_RhodeIsland_UnitedStates.NYT_ConfirmedCases.missing|Bristol_RhodeIsland_UnitedStates.JHU_ConfirmedDeaths.data|Bristol_RhodeIsland_UnitedStates.JHU_ConfirmedDeaths.missing|Bristol_RhodeIsland_UnitedStates.JHU_ConfirmedRecoveries.data|Bristol_RhodeIsland_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|5930.0|0|5930.0|0|149.0|0|0.0|100
0|2021-10-18|5930.0|0|5930.0|0|149.0|0|0.0|100
0|2021-10-19|5930.0|0|5930.0|0|149.0|0|0.0|100
0|2021-10-20|6002.0|0|6002.0|0|149.0|0|0.0|100
0|2021-10-21|6002.0|0|6002.0|0|149.0|0|0.0|100
0|2021-10-22|6002.0|0|6002.0|0|149.0|0|0.0|100
0|2021-10-23|6002.0|0|6002.0|0|149.0|0|0.0|100
0|2021-10-24|6002.0|0|6002.0|0|149.0|0|0.0|100
0|2021-10-25|6002.0|0|6002.0|0|149.0|0|0.0|100
0|2021-10-26|6002.0|0|6002.0|0|149.0|0|0.0|100
0|2021-10-27|6073.0|0|6073.0|0|149.0|0|0.0|100
0|2021-10-28|6073.0|0|6073.0|0|149.0|0|0.0|100
0|2021-10-29|6073.0|0|6073.0|0|149.0|0|0.0|100
0|2021-10-30|6073.0|0|6073.0|0|149.0|0|0.0|100
0|2021-10-31|6073.0|0|6073.0|0|149.0|0|0.0|100
0|2021-11-01|6073.0|0|6073.0|0|149.0|0|0.0|100
0|2021-11-02|6073.0|0|6073.0|0|149.0|0|0.0|100
0|2021-11-03|6149.0|0|6149.0|0|149.0|0|0.0|100
0|2021-11-04|6149.0|0|6149.0|0|149.0|0|0.0|100
0|2021-11-05|6149.0|0|6149.0|0|149.0|0|0.0|100
0|2021-11-06|6149.0|0|6149.0|0|149.0|0|0.0|100
0|2021-11-07|6149.0|0|6149.0|0|149.0|0|0.0|100
0|2021-11-08|6149.0|0|6149.0|0|149.0|0|0.0|100
0|2021-11-09|6149.0|0|6149.0|0|149.0|0|0.0|100
0|2021-11-10|6212.0|0|6212.0|0|149.0|0|0.0|100
0|2021-11-11|6212.0|0|6212.0|0|149.0|0|0.0|100
0|2021-11-12|6212.0|0|6212.0|0|149.0|0|0.0|100
0|2021-11-13|6212.0|0|6212.0|0|149.0|0|0.0|100
0|2021-11-14|6212.0|0|6212.0|0|149.0|0|0.0|100
0|2021-11-15|6212.0|0|6212.0|0|149.0|0|0.0|100
0|2021-11-16|6212.0|0|6212.0|0|149.0|0|0.0|100
0|2021-11-17|6329.0|0|6329.0|0|149.0|0|0.0|100
0|2021-11-18|6329.0|0|6329.0|0|149.0|0|0.0|100
0|2021-11-19|6329.0|0|6329.0|0|149.0|0|0.0|100
0|2021-11-20|6329.0|0|6329.0|0|149.0|0|0.0|100
0|2021-11-21|6329.0|0|6329.0|0|149.0|0|0.0|100
0|2021-11-22|6329.0|0|6329.0|0|149.0|0|0.0|100
0|2021-11-23|6329.0|0|6329.0|0|149.0|0|0.0|100
0|2021-11-24|6488.0|0|6488.0|0|150.0|0|0.0|100
0|2021-11-25|6488.0|0|6488.0|0|150.0|0|0.0|100
0|2021-11-26|6488.0|0|6488.0|0|150.0|0|0.0|100
0|2021-11-27|6488.0|0|6488.0|0|150.0|0|0.0|100
0|2021-11-28|6488.0|0|6488.0|0|150.0|0|0.0|100
