|dates|Williamson_Tennessee_UnitedStates.JHU_ConfirmedCases.data|Williamson_Tennessee_UnitedStates.JHU_ConfirmedCases.missing|Williamson_Tennessee_UnitedStates.NYT_ConfirmedCases.data|Williamson_Tennessee_UnitedStates.NYT_ConfirmedCases.missing|Williamson_Tennessee_UnitedStates.JHU_ConfirmedDeaths.data|Williamson_Tennessee_UnitedStates.JHU_ConfirmedDeaths.missing|Williamson_Tennessee_UnitedStates.JHU_ConfirmedRecoveries.data|Williamson_Tennessee_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|39203.0|0|39203.0|0|266.0|0|0.0|100
0|2021-10-18|39295.0|0|39295.0|0|266.0|0|0.0|100
0|2021-10-19|39334.0|0|39334.0|0|266.0|0|0.0|100
0|2021-10-20|39395.0|0|39395.0|0|268.0|0|0.0|100
0|2021-10-21|39443.0|0|39443.0|0|268.0|0|0.0|100
0|2021-10-22|39476.0|0|39476.0|0|268.0|0|0.0|100
0|2021-10-23|39476.0|0|39476.0|0|268.0|0|0.0|100
0|2021-10-24|39476.0|0|39476.0|0|268.0|0|0.0|100
0|2021-10-25|39476.0|0|39476.0|0|268.0|0|0.0|100
0|2021-10-26|39594.0|0|39594.0|0|268.0|0|0.0|100
0|2021-10-27|39628.0|0|39628.0|0|269.0|0|0.0|100
0|2021-10-28|39660.0|0|39660.0|0|269.0|0|0.0|100
0|2021-10-29|39707.0|0|39707.0|0|269.0|0|0.0|100
0|2021-10-30|39707.0|0|39707.0|0|269.0|0|0.0|100
0|2021-10-31|39707.0|0|39707.0|0|269.0|0|0.0|100
0|2021-11-01|39707.0|0|39707.0|0|269.0|0|0.0|100
0|2021-11-02|39813.0|0|39813.0|0|271.0|0|0.0|100
0|2021-11-03|39839.0|0|39839.0|0|271.0|0|0.0|100
0|2021-11-04|39872.0|0|39872.0|0|272.0|0|0.0|100
0|2021-11-05|39911.0|0|39911.0|0|272.0|0|0.0|100
0|2021-11-06|39911.0|0|39911.0|0|272.0|0|0.0|100
0|2021-11-07|39911.0|0|39911.0|0|272.0|0|0.0|100
0|2021-11-08|39911.0|0|39911.0|0|272.0|0|0.0|100
0|2021-11-09|40014.0|0|40014.0|0|273.0|0|0.0|100
0|2021-11-10|40067.0|0|40067.0|0|273.0|0|0.0|100
0|2021-11-11|40067.0|0|40067.0|0|273.0|0|0.0|100
0|2021-11-12|40138.0|0|40138.0|0|275.0|0|0.0|100
0|2021-11-13|40138.0|0|40138.0|0|275.0|0|0.0|100
0|2021-11-14|40138.0|0|40138.0|0|275.0|0|0.0|100
0|2021-11-15|40262.0|0|40262.0|0|275.0|0|0.0|100
0|2021-11-16|40318.0|0|40318.0|0|275.0|0|0.0|100
0|2021-11-17|40372.0|0|40372.0|0|275.0|0|0.0|100
0|2021-11-18|40436.0|0|40436.0|0|275.0|0|0.0|100
0|2021-11-19|40479.0|0|40479.0|0|276.0|0|0.0|100
0|2021-11-20|40479.0|0|40479.0|0|276.0|0|0.0|100
0|2021-11-21|40479.0|0|40479.0|0|276.0|0|0.0|100
0|2021-11-22|40615.0|0|40615.0|0|276.0|0|0.0|100
0|2021-11-23|40671.0|0|40671.0|0|276.0|0|0.0|100
0|2021-11-24|40707.0|0|40707.0|0|276.0|0|0.0|100
0|2021-11-25|40707.0|0|40707.0|0|276.0|0|0.0|100
0|2021-11-26|40707.0|0|40707.0|0|276.0|0|0.0|100
0|2021-11-27|40707.0|0|40707.0|0|276.0|0|0.0|100
0|2021-11-28|40707.0|0|40707.0|0|276.0|0|0.0|100
0|2021-11-29|40909.0|0|40909.0|0|277.0|0|0.0|100
0|2021-11-30|40991.0|0|40991.0|0|277.0|0|0.0|100
0|2021-12-01|41074.0|0|41074.0|0|277.0|0|0.0|100
0|2021-12-02|41147.0|0|41147.0|0|277.0|0|0.0|100
0|2021-12-03|41241.0|0|41241.0|0|278.0|0|0.0|100
0|2021-12-04|41241.0|0|41241.0|0|278.0|0|0.0|100
0|2021-12-05|41241.0|0|41241.0|0|278.0|0|0.0|100
0|2021-12-06|41377.0|0|41377.0|0|278.0|0|0.0|100
0|2021-12-07|41448.0|0|41448.0|0|282.0|0|0.0|100
0|2021-12-08|41530.0|0|41530.0|0|283.0|0|0.0|100
0|2021-12-09|41530.0|0|41530.0|0|283.0|0|0.0|100
0|2021-12-10|41679.0|0|41679.0|0|284.0|0|0.0|100
0|2021-12-11|41679.0|0|41679.0|0|284.0|0|0.0|100
0|2021-12-12|41679.0|0|41679.0|0|284.0|0|0.0|100
0|2021-12-13|41809.0|0|41809.0|0|284.0|0|0.0|100
0|2021-12-14|41809.0|0|41871.0|0|284.0|0|0.0|100
0|2021-12-15|41935.0|0|41935.0|0|285.0|0|0.0|100
0|2021-12-16|41991.0|0|41991.0|0|285.0|0|0.0|100
