|dates|Lanier_Georgia_UnitedStates.JHU_ConfirmedCases.data|Lanier_Georgia_UnitedStates.JHU_ConfirmedCases.missing|Lanier_Georgia_UnitedStates.NYT_ConfirmedCases.data|Lanier_Georgia_UnitedStates.NYT_ConfirmedCases.missing|Lanier_Georgia_UnitedStates.JHU_ConfirmedDeaths.data|Lanier_Georgia_UnitedStates.JHU_ConfirmedDeaths.missing|Lanier_Georgia_UnitedStates.JHU_ConfirmedRecoveries.data|Lanier_Georgia_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|1458.0|0|1465.0|0|15.0|0|0.0|100
0|2021-10-18|1462.0|0|1469.0|0|15.0|0|0.0|100
0|2021-10-19|1464.0|0|1471.0|0|16.0|0|0.0|100
0|2021-10-20|1466.0|0|1473.0|0|16.0|0|0.0|100
0|2021-10-21|1466.0|0|1473.0|0|16.0|0|0.0|100
0|2021-10-22|1466.0|0|1473.0|0|16.0|0|0.0|100
0|2021-10-23|1466.0|0|1473.0|0|16.0|0|0.0|100
0|2021-10-24|1466.0|0|1473.0|0|16.0|0|0.0|100
0|2021-10-25|1466.0|0|1473.0|0|16.0|0|0.0|100
0|2021-10-26|1466.0|0|1473.0|0|16.0|0|0.0|100
0|2021-10-27|1467.0|0|1474.0|0|16.0|0|0.0|100
0|2021-10-28|1467.0|0|1474.0|0|16.0|0|0.0|100
0|2021-10-29|1467.0|0|1474.0|0|17.0|0|0.0|100
0|2021-10-30|1467.0|0|1474.0|0|17.0|0|0.0|100
0|2021-10-31|1467.0|0|1474.0|0|17.0|0|0.0|100
0|2021-11-01|1466.0|0|1473.0|0|17.0|0|0.0|100
0|2021-11-02|1466.0|0|1473.0|0|17.0|0|0.0|100
0|2021-11-03|1468.0|0|1475.0|0|17.0|0|0.0|100
0|2021-11-04|1468.0|0|1475.0|0|17.0|0|0.0|100
0|2021-11-05|1468.0|0|1475.0|0|17.0|0|0.0|100
0|2021-11-06|1468.0|0|1475.0|0|17.0|0|0.0|100
0|2021-11-07|1468.0|0|1475.0|0|17.0|0|0.0|100
0|2021-11-08|1468.0|0|1475.0|0|17.0|0|0.0|100
0|2021-11-09|1470.0|0|1477.0|0|17.0|0|0.0|100
0|2021-11-10|1470.0|0|1477.0|0|17.0|0|0.0|100
0|2021-11-11|1470.0|0|1477.0|0|17.0|0|0.0|100
0|2021-11-12|1471.0|0|1478.0|0|17.0|0|0.0|100
0|2021-11-13|1471.0|0|1478.0|0|17.0|0|0.0|100
0|2021-11-14|1471.0|0|1478.0|0|17.0|0|0.0|100
0|2021-11-15|1472.0|0|1479.0|0|17.0|0|0.0|100
0|2021-11-16|1475.0|0|1482.0|0|17.0|0|0.0|100
0|2021-11-17|1478.0|0|1485.0|0|17.0|0|0.0|100
0|2021-11-18|1479.0|0|1486.0|0|17.0|0|0.0|100
0|2021-11-19|1478.0|0|1485.0|0|17.0|0|0.0|100
0|2021-11-20|1478.0|0|1485.0|0|17.0|0|0.0|100
0|2021-11-21|1478.0|0|1485.0|0|17.0|0|0.0|100
0|2021-11-22|1479.0|0|1486.0|0|17.0|0|0.0|100
0|2021-11-23|1479.0|0|1486.0|0|17.0|0|0.0|100
0|2021-11-24|1479.0|0|1486.0|0|17.0|0|0.0|100
0|2021-11-25|1479.0|0|1486.0|0|17.0|0|0.0|100
0|2021-11-26|1479.0|0|1486.0|0|17.0|0|0.0|100
