|dates|Hawaii_Hawaii_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Hawaii_Hawaii_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Hawaii_Hawaii_UnitedStates.Male_Total_Population.data|Hawaii_Hawaii_UnitedStates.Male_Total_Population.missing|Hawaii_Hawaii_UnitedStates.Female_Total_Population.data|Hawaii_Hawaii_UnitedStates.Female_Total_Population.missing|Hawaii_Hawaii_UnitedStates.MaleAndFemale_Under18_Population.data|Hawaii_Hawaii_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-10-17|42032.0|0|99602.0|0|101381.0|0|43553.0|0
0|2021-10-18|42032.0|0|99602.0|0|101381.0|0|43553.0|0
0|2021-10-19|42032.0|0|99602.0|0|101381.0|0|43553.0|0
0|2021-10-20|42032.0|0|99602.0|0|101381.0|0|43553.0|0
0|2021-10-21|42032.0|0|99602.0|0|101381.0|0|43553.0|0
0|2021-10-22|42032.0|0|99602.0|0|101381.0|0|43553.0|0
0|2021-10-23|42032.0|0|99602.0|0|101381.0|0|43553.0|0
0|2021-10-24|42032.0|0|99602.0|0|101381.0|0|43553.0|0
0|2021-10-25|42032.0|0|99602.0|0|101381.0|0|43553.0|0
0|2021-10-26|42032.0|0|99602.0|0|101381.0|0|43553.0|0
0|2021-10-27|42032.0|0|99602.0|0|101381.0|0|43553.0|0
0|2021-10-28|42032.0|0|99602.0|0|101381.0|0|43553.0|0
0|2021-10-29|42032.0|0|99602.0|0|101381.0|0|43553.0|0
0|2021-10-30|42032.0|0|99602.0|0|101381.0|0|43553.0|0
0|2021-10-31|42032.0|0|99602.0|0|101381.0|0|43553.0|0
0|2021-11-01|42032.0|0|99602.0|0|101381.0|0|43553.0|0
0|2021-11-02|42032.0|0|99602.0|0|101381.0|0|43553.0|0
0|2021-11-03|42032.0|0|99602.0|0|101381.0|0|43553.0|0
0|2021-11-04|42032.0|0|99602.0|0|101381.0|0|43553.0|0
0|2021-11-05|42032.0|0|99602.0|0|101381.0|0|43553.0|0
0|2021-11-06|42032.0|0|99602.0|0|101381.0|0|43553.0|0
0|2021-11-07|42032.0|0|99602.0|0|101381.0|0|43553.0|0
0|2021-11-08|42032.0|0|99602.0|0|101381.0|0|43553.0|0
0|2021-11-09|42032.0|0|99602.0|0|101381.0|0|43553.0|0
