|dates|DeKalb_Georgia_UnitedStates.MaleAndFemale_AtLeast65_Population.data|DeKalb_Georgia_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|DeKalb_Georgia_UnitedStates.Male_Total_Population.data|DeKalb_Georgia_UnitedStates.Male_Total_Population.missing|DeKalb_Georgia_UnitedStates.Female_Total_Population.data|DeKalb_Georgia_UnitedStates.Female_Total_Population.missing|DeKalb_Georgia_UnitedStates.MaleAndFemale_Under18_Population.data|DeKalb_Georgia_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2022-01-04|94120.0|0|357770.0|0|398788.0|0|174942.0|0
0|2022-01-05|94120.0|0|357770.0|0|398788.0|0|174942.0|0
0|2022-01-06|94120.0|0|357770.0|0|398788.0|0|174942.0|0
0|2022-01-07|94120.0|0|357770.0|0|398788.0|0|174942.0|0
0|2022-01-08|94120.0|0|357770.0|0|398788.0|0|174942.0|0
0|2022-01-09|94120.0|0|357770.0|0|398788.0|0|174942.0|0
0|2022-01-10|94120.0|0|357770.0|0|398788.0|0|174942.0|0
0|2022-01-11|94120.0|0|357770.0|0|398788.0|0|174942.0|0
0|2022-01-12|94120.0|0|357770.0|0|398788.0|0|174942.0|0
0|2022-01-13|94120.0|0|357770.0|0|398788.0|0|174942.0|0
0|2022-01-14|94120.0|0|357770.0|0|398788.0|0|174942.0|0
0|2022-01-15|94120.0|0|357770.0|0|398788.0|0|174942.0|0
0|2022-01-16|94120.0|0|357770.0|0|398788.0|0|174942.0|0
0|2022-01-17|94120.0|0|357770.0|0|398788.0|0|174942.0|0
