|dates|Orange_Florida_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Orange_Florida_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Orange_Florida_UnitedStates.Male_Total_Population.data|Orange_Florida_UnitedStates.Male_Total_Population.missing|Orange_Florida_UnitedStates.Female_Total_Population.data|Orange_Florida_UnitedStates.Female_Total_Population.missing|Orange_Florida_UnitedStates.MaleAndFemale_Under18_Population.data|Orange_Florida_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-10-17|164820.0|0|677345.0|0|703300.0|0|305917.0|0
0|2021-10-18|164820.0|0|677345.0|0|703300.0|0|305917.0|0
0|2021-10-19|164820.0|0|677345.0|0|703300.0|0|305917.0|0
0|2021-10-20|164820.0|0|677345.0|0|703300.0|0|305917.0|0
0|2021-10-21|164820.0|0|677345.0|0|703300.0|0|305917.0|0
0|2021-10-22|164820.0|0|677345.0|0|703300.0|0|305917.0|0
0|2021-10-23|164820.0|0|677345.0|0|703300.0|0|305917.0|0
0|2021-10-24|164820.0|0|677345.0|0|703300.0|0|305917.0|0
0|2021-10-25|164820.0|0|677345.0|0|703300.0|0|305917.0|0
0|2021-10-26|164820.0|0|677345.0|0|703300.0|0|305917.0|0
0|2021-10-27|164820.0|0|677345.0|0|703300.0|0|305917.0|0
0|2021-10-28|164820.0|0|677345.0|0|703300.0|0|305917.0|0
0|2021-10-29|164820.0|0|677345.0|0|703300.0|0|305917.0|0
0|2021-10-30|164820.0|0|677345.0|0|703300.0|0|305917.0|0
0|2021-10-31|164820.0|0|677345.0|0|703300.0|0|305917.0|0
0|2021-11-01|164820.0|0|677345.0|0|703300.0|0|305917.0|0
0|2021-11-02|164820.0|0|677345.0|0|703300.0|0|305917.0|0
0|2021-11-03|164820.0|0|677345.0|0|703300.0|0|305917.0|0
0|2021-11-04|164820.0|0|677345.0|0|703300.0|0|305917.0|0
0|2021-11-05|164820.0|0|677345.0|0|703300.0|0|305917.0|0
0|2021-11-06|164820.0|0|677345.0|0|703300.0|0|305917.0|0
0|2021-11-07|164820.0|0|677345.0|0|703300.0|0|305917.0|0
0|2021-11-08|164820.0|0|677345.0|0|703300.0|0|305917.0|0
0|2021-11-09|164820.0|0|677345.0|0|703300.0|0|305917.0|0
0|2021-11-10|164820.0|0|677345.0|0|703300.0|0|305917.0|0
0|2021-11-11|164820.0|0|677345.0|0|703300.0|0|305917.0|0
0|2021-11-12|164820.0|0|677345.0|0|703300.0|0|305917.0|0
0|2021-11-13|164820.0|0|677345.0|0|703300.0|0|305917.0|0
0|2021-11-14|164820.0|0|677345.0|0|703300.0|0|305917.0|0
0|2021-11-15|164820.0|0|677345.0|0|703300.0|0|305917.0|0
0|2021-11-16|164820.0|0|677345.0|0|703300.0|0|305917.0|0
0|2021-11-17|164820.0|0|677345.0|0|703300.0|0|305917.0|0
0|2021-11-18|164820.0|0|677345.0|0|703300.0|0|305917.0|0
0|2021-11-19|164820.0|0|677345.0|0|703300.0|0|305917.0|0
0|2021-11-20|164820.0|0|677345.0|0|703300.0|0|305917.0|0
0|2021-11-21|164820.0|0|677345.0|0|703300.0|0|305917.0|0
0|2021-11-22|164820.0|0|677345.0|0|703300.0|0|305917.0|0
0|2021-11-23|164820.0|0|677345.0|0|703300.0|0|305917.0|0
0|2021-11-24|164820.0|0|677345.0|0|703300.0|0|305917.0|0
0|2021-11-25|164820.0|0|677345.0|0|703300.0|0|305917.0|0
0|2021-11-26|164820.0|0|677345.0|0|703300.0|0|305917.0|0
0|2021-11-27|164820.0|0|677345.0|0|703300.0|0|305917.0|0
0|2021-11-28|164820.0|0|677345.0|0|703300.0|0|305917.0|0
0|2021-11-29|164820.0|0|677345.0|0|703300.0|0|305917.0|0
0|2021-11-30|164820.0|0|677345.0|0|703300.0|0|305917.0|0
0|2021-12-01|164820.0|0|677345.0|0|703300.0|0|305917.0|0
0|2021-12-02|164820.0|0|677345.0|0|703300.0|0|305917.0|0
0|2021-12-03|164820.0|0|677345.0|0|703300.0|0|305917.0|0
0|2021-12-04|164820.0|0|677345.0|0|703300.0|0|305917.0|0
0|2021-12-05|164820.0|0|677345.0|0|703300.0|0|305917.0|0
0|2021-12-06|164820.0|0|677345.0|0|703300.0|0|305917.0|0
0|2021-12-07|164820.0|0|677345.0|0|703300.0|0|305917.0|0
0|2021-12-08|164820.0|0|677345.0|0|703300.0|0|305917.0|0
0|2021-12-09|164820.0|0|677345.0|0|703300.0|0|305917.0|0
0|2021-12-10|164820.0|0|677345.0|0|703300.0|0|305917.0|0
0|2021-12-11|164820.0|0|677345.0|0|703300.0|0|305917.0|0
0|2021-12-12|164820.0|0|677345.0|0|703300.0|0|305917.0|0
0|2021-12-13|164820.0|0|677345.0|0|703300.0|0|305917.0|0
0|2021-12-14|164820.0|0|677345.0|0|703300.0|0|305917.0|0
0|2021-12-15|164820.0|0|677345.0|0|703300.0|0|305917.0|0
0|2021-12-16|164820.0|0|677345.0|0|703300.0|0|305917.0|0
0|2021-12-17|164820.0|0|677345.0|0|703300.0|0|305917.0|0
0|2021-12-18|164820.0|0|677345.0|0|703300.0|0|305917.0|0
0|2021-12-19|164820.0|0|677345.0|0|703300.0|0|305917.0|0
0|2021-12-20|164820.0|0|677345.0|0|703300.0|0|305917.0|0
0|2021-12-21|164820.0|0|677345.0|0|703300.0|0|305917.0|0
