|dates|Campbell_Tennessee_UnitedStates.BLS_EmployedPopulation.data|Campbell_Tennessee_UnitedStates.BLS_EmployedPopulation.missing|Campbell_Tennessee_UnitedStates.BLS_UnemployedPopulation.data|Campbell_Tennessee_UnitedStates.BLS_UnemployedPopulation.missing|Campbell_Tennessee_UnitedStates.BLS_UnemploymentRate.data|Campbell_Tennessee_UnitedStates.BLS_UnemploymentRate.missing|Campbell_Tennessee_UnitedStates.BLS_LaborForcePopulation.data|Campbell_Tennessee_UnitedStates.BLS_LaborForcePopulation.missing
0|2021-10-17|14123.0|0|813.0|0|5.443224424209962|0|14936.0|0
0|2021-10-18|14123.0|0|813.0|0|5.443224424209962|0|14936.0|0
0|2021-10-19|14123.0|0|813.0|0|5.443224424209962|0|14936.0|0
0|2021-10-20|14123.0|0|813.0|0|5.443224424209962|0|14936.0|0
0|2021-10-21|14123.0|0|813.0|0|5.443224424209962|0|14936.0|0
0|2021-10-22|14123.0|0|813.0|0|5.443224424209962|0|14936.0|0
0|2021-10-23|14123.0|0|813.0|0|5.443224424209962|0|14936.0|0
0|2021-10-24|14123.0|0|813.0|0|5.443224424209962|0|14936.0|0
0|2021-10-25|14123.0|0|813.0|0|5.443224424209962|0|14936.0|0
0|2021-10-26|14123.0|0|813.0|0|5.443224424209962|0|14936.0|0
0|2021-10-27|14123.0|0|813.0|0|5.443224424209962|0|14936.0|0
0|2021-10-28|14123.0|0|813.0|0|5.443224424209962|0|14936.0|0
0|2021-10-29|14123.0|0|813.0|0|5.443224424209962|0|14936.0|0
0|2021-10-30|14123.0|0|813.0|0|5.443224424209962|0|14936.0|0
0|2021-10-31|14123.0|0|813.0|0|5.443224424209962|0|14936.0|0
0|2021-11-01|14123.0|0|813.0|0|5.443224424209962|0|14936.0|0
0|2021-11-02|14123.0|0|813.0|0|5.443224424209962|0|14936.0|0
0|2021-11-03|14123.0|0|813.0|0|5.443224424209962|0|14936.0|0
0|2021-11-04|14123.0|0|813.0|0|5.443224424209962|0|14936.0|0
0|2021-11-05|14123.0|0|813.0|0|5.443224424209962|0|14936.0|0
0|2021-11-06|14123.0|0|813.0|0|5.443224424209962|0|14936.0|0
0|2021-11-07|14123.0|0|813.0|0|5.443224424209962|0|14936.0|0
