|dates|Grant_Nebraska_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Grant_Nebraska_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Grant_Nebraska_UnitedStates.Male_Total_Population.data|Grant_Nebraska_UnitedStates.Male_Total_Population.missing|Grant_Nebraska_UnitedStates.Female_Total_Population.data|Grant_Nebraska_UnitedStates.Female_Total_Population.missing|Grant_Nebraska_UnitedStates.MaleAndFemale_Under18_Population.data|Grant_Nebraska_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-10-17|149.0|0|349.0|0|311.0|0|162.0|0
0|2021-10-18|149.0|0|349.0|0|311.0|0|162.0|0
0|2021-10-19|149.0|0|349.0|0|311.0|0|162.0|0
0|2021-10-20|149.0|0|349.0|0|311.0|0|162.0|0
0|2021-10-21|149.0|0|349.0|0|311.0|0|162.0|0
0|2021-10-22|149.0|0|349.0|0|311.0|0|162.0|0
0|2021-10-23|149.0|0|349.0|0|311.0|0|162.0|0
0|2021-10-24|149.0|0|349.0|0|311.0|0|162.0|0
0|2021-10-25|149.0|0|349.0|0|311.0|0|162.0|0
0|2021-10-26|149.0|0|349.0|0|311.0|0|162.0|0
0|2021-10-27|149.0|0|349.0|0|311.0|0|162.0|0
0|2021-10-28|149.0|0|349.0|0|311.0|0|162.0|0
0|2021-10-29|149.0|0|349.0|0|311.0|0|162.0|0
0|2021-10-30|149.0|0|349.0|0|311.0|0|162.0|0
0|2021-10-31|149.0|0|349.0|0|311.0|0|162.0|0
0|2021-11-01|149.0|0|349.0|0|311.0|0|162.0|0
0|2021-11-02|149.0|0|349.0|0|311.0|0|162.0|0
0|2021-11-03|149.0|0|349.0|0|311.0|0|162.0|0
0|2021-11-04|149.0|0|349.0|0|311.0|0|162.0|0
0|2021-11-05|149.0|0|349.0|0|311.0|0|162.0|0
0|2021-11-06|149.0|0|349.0|0|311.0|0|162.0|0
0|2021-11-07|149.0|0|349.0|0|311.0|0|162.0|0
0|2021-11-08|149.0|0|349.0|0|311.0|0|162.0|0
0|2021-11-09|149.0|0|349.0|0|311.0|0|162.0|0
0|2021-11-10|149.0|0|349.0|0|311.0|0|162.0|0
0|2021-11-11|149.0|0|349.0|0|311.0|0|162.0|0
0|2021-11-12|149.0|0|349.0|0|311.0|0|162.0|0
0|2021-11-13|149.0|0|349.0|0|311.0|0|162.0|0
0|2021-11-14|149.0|0|349.0|0|311.0|0|162.0|0
0|2021-11-15|149.0|0|349.0|0|311.0|0|162.0|0
0|2021-11-16|149.0|0|349.0|0|311.0|0|162.0|0
0|2021-11-17|149.0|0|349.0|0|311.0|0|162.0|0
0|2021-11-18|149.0|0|349.0|0|311.0|0|162.0|0
0|2021-11-19|149.0|0|349.0|0|311.0|0|162.0|0
0|2021-11-20|149.0|0|349.0|0|311.0|0|162.0|0
0|2021-11-21|149.0|0|349.0|0|311.0|0|162.0|0
0|2021-11-22|149.0|0|349.0|0|311.0|0|162.0|0
0|2021-11-23|149.0|0|349.0|0|311.0|0|162.0|0
0|2021-11-24|149.0|0|349.0|0|311.0|0|162.0|0
0|2021-11-25|149.0|0|349.0|0|311.0|0|162.0|0
0|2021-11-26|149.0|0|349.0|0|311.0|0|162.0|0
0|2021-11-27|149.0|0|349.0|0|311.0|0|162.0|0
0|2021-11-28|149.0|0|349.0|0|311.0|0|162.0|0
0|2021-11-29|149.0|0|349.0|0|311.0|0|162.0|0
0|2021-11-30|149.0|0|349.0|0|311.0|0|162.0|0
0|2021-12-01|149.0|0|349.0|0|311.0|0|162.0|0
0|2021-12-02|149.0|0|349.0|0|311.0|0|162.0|0
0|2021-12-03|149.0|0|349.0|0|311.0|0|162.0|0
0|2021-12-04|149.0|0|349.0|0|311.0|0|162.0|0
0|2021-12-05|149.0|0|349.0|0|311.0|0|162.0|0
0|2021-12-06|149.0|0|349.0|0|311.0|0|162.0|0
0|2021-12-07|149.0|0|349.0|0|311.0|0|162.0|0
0|2021-12-08|149.0|0|349.0|0|311.0|0|162.0|0
0|2021-12-09|149.0|0|349.0|0|311.0|0|162.0|0
0|2021-12-10|149.0|0|349.0|0|311.0|0|162.0|0
0|2021-12-11|149.0|0|349.0|0|311.0|0|162.0|0
0|2021-12-12|149.0|0|349.0|0|311.0|0|162.0|0
0|2021-12-13|149.0|0|349.0|0|311.0|0|162.0|0
0|2021-12-14|149.0|0|349.0|0|311.0|0|162.0|0
0|2021-12-15|149.0|0|349.0|0|311.0|0|162.0|0
0|2021-12-16|149.0|0|349.0|0|311.0|0|162.0|0
0|2021-12-17|149.0|0|349.0|0|311.0|0|162.0|0
0|2021-12-18|149.0|0|349.0|0|311.0|0|162.0|0
0|2021-12-19|149.0|0|349.0|0|311.0|0|162.0|0
0|2021-12-20|149.0|0|349.0|0|311.0|0|162.0|0
0|2021-12-21|149.0|0|349.0|0|311.0|0|162.0|0
0|2021-12-22|149.0|0|349.0|0|311.0|0|162.0|0
0|2021-12-23|149.0|0|349.0|0|311.0|0|162.0|0
0|2021-12-24|149.0|0|349.0|0|311.0|0|162.0|0
0|2021-12-25|149.0|0|349.0|0|311.0|0|162.0|0
0|2021-12-26|149.0|0|349.0|0|311.0|0|162.0|0
0|2021-12-27|149.0|0|349.0|0|311.0|0|162.0|0
0|2021-12-28|149.0|0|349.0|0|311.0|0|162.0|0
0|2021-12-29|149.0|0|349.0|0|311.0|0|162.0|0
0|2021-12-30|149.0|0|349.0|0|311.0|0|162.0|0
0|2021-12-31|149.0|0|349.0|0|311.0|0|162.0|0
0|2022-01-01|149.0|0|349.0|0|311.0|0|162.0|0
0|2022-01-02|149.0|0|349.0|0|311.0|0|162.0|0
0|2022-01-03|149.0|0|349.0|0|311.0|0|162.0|0
0|2022-01-04|149.0|0|349.0|0|311.0|0|162.0|0
0|2022-01-05|149.0|0|349.0|0|311.0|0|162.0|0
0|2022-01-06|149.0|0|349.0|0|311.0|0|162.0|0
0|2022-01-07|149.0|0|349.0|0|311.0|0|162.0|0
0|2022-01-08|149.0|0|349.0|0|311.0|0|162.0|0
