|dates|Washington_Tennessee_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Washington_Tennessee_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Washington_Tennessee_UnitedStates.Male_Total_Population.data|Washington_Tennessee_UnitedStates.Male_Total_Population.missing|Washington_Tennessee_UnitedStates.Female_Total_Population.data|Washington_Tennessee_UnitedStates.Female_Total_Population.missing|Washington_Tennessee_UnitedStates.MaleAndFemale_Under18_Population.data|Washington_Tennessee_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-10-17|23564.0|0|62829.0|0|65778.0|0|24487.0|0
0|2021-10-18|23564.0|0|62829.0|0|65778.0|0|24487.0|0
0|2021-10-19|23564.0|0|62829.0|0|65778.0|0|24487.0|0
0|2021-10-20|23564.0|0|62829.0|0|65778.0|0|24487.0|0
0|2021-10-21|23564.0|0|62829.0|0|65778.0|0|24487.0|0
0|2021-10-22|23564.0|0|62829.0|0|65778.0|0|24487.0|0
0|2021-10-23|23564.0|0|62829.0|0|65778.0|0|24487.0|0
0|2021-10-24|23564.0|0|62829.0|0|65778.0|0|24487.0|0
0|2021-10-25|23564.0|0|62829.0|0|65778.0|0|24487.0|0
0|2021-10-26|23564.0|0|62829.0|0|65778.0|0|24487.0|0
0|2021-10-27|23564.0|0|62829.0|0|65778.0|0|24487.0|0
0|2021-10-28|23564.0|0|62829.0|0|65778.0|0|24487.0|0
0|2021-10-29|23564.0|0|62829.0|0|65778.0|0|24487.0|0
0|2021-10-30|23564.0|0|62829.0|0|65778.0|0|24487.0|0
0|2021-10-31|23564.0|0|62829.0|0|65778.0|0|24487.0|0
0|2021-11-01|23564.0|0|62829.0|0|65778.0|0|24487.0|0
0|2021-11-02|23564.0|0|62829.0|0|65778.0|0|24487.0|0
0|2021-11-03|23564.0|0|62829.0|0|65778.0|0|24487.0|0
0|2021-11-04|23564.0|0|62829.0|0|65778.0|0|24487.0|0
0|2021-11-05|23564.0|0|62829.0|0|65778.0|0|24487.0|0
0|2021-11-06|23564.0|0|62829.0|0|65778.0|0|24487.0|0
0|2021-11-07|23564.0|0|62829.0|0|65778.0|0|24487.0|0
0|2021-11-08|23564.0|0|62829.0|0|65778.0|0|24487.0|0
0|2021-11-09|23564.0|0|62829.0|0|65778.0|0|24487.0|0
0|2021-11-10|23564.0|0|62829.0|0|65778.0|0|24487.0|0
0|2021-11-11|23564.0|0|62829.0|0|65778.0|0|24487.0|0
0|2021-11-12|23564.0|0|62829.0|0|65778.0|0|24487.0|0
0|2021-11-13|23564.0|0|62829.0|0|65778.0|0|24487.0|0
0|2021-11-14|23564.0|0|62829.0|0|65778.0|0|24487.0|0
0|2021-11-15|23564.0|0|62829.0|0|65778.0|0|24487.0|0
0|2021-11-16|23564.0|0|62829.0|0|65778.0|0|24487.0|0
0|2021-11-17|23564.0|0|62829.0|0|65778.0|0|24487.0|0
0|2021-11-18|23564.0|0|62829.0|0|65778.0|0|24487.0|0
0|2021-11-19|23564.0|0|62829.0|0|65778.0|0|24487.0|0
0|2021-11-20|23564.0|0|62829.0|0|65778.0|0|24487.0|0
0|2021-11-21|23564.0|0|62829.0|0|65778.0|0|24487.0|0
0|2021-11-22|23564.0|0|62829.0|0|65778.0|0|24487.0|0
0|2021-11-23|23564.0|0|62829.0|0|65778.0|0|24487.0|0
0|2021-11-24|23564.0|0|62829.0|0|65778.0|0|24487.0|0
0|2021-11-25|23564.0|0|62829.0|0|65778.0|0|24487.0|0
0|2021-11-26|23564.0|0|62829.0|0|65778.0|0|24487.0|0
0|2021-11-27|23564.0|0|62829.0|0|65778.0|0|24487.0|0
0|2021-11-28|23564.0|0|62829.0|0|65778.0|0|24487.0|0
0|2021-11-29|23564.0|0|62829.0|0|65778.0|0|24487.0|0
0|2021-11-30|23564.0|0|62829.0|0|65778.0|0|24487.0|0
