|dates|Washington_Utah_UnitedStates.JHU_ConfirmedCases.data|Washington_Utah_UnitedStates.JHU_ConfirmedCases.missing|Washington_Utah_UnitedStates.NYT_ConfirmedCases.data|Washington_Utah_UnitedStates.NYT_ConfirmedCases.missing|Washington_Utah_UnitedStates.JHU_ConfirmedDeaths.data|Washington_Utah_UnitedStates.JHU_ConfirmedDeaths.missing|Washington_Utah_UnitedStates.JHU_ConfirmedRecoveries.data|Washington_Utah_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|77.0|0|28101.0|0|1.0|0|0.0|100
0|2021-10-18|77.0|0|28101.0|0|1.0|0|0.0|100
0|2021-10-19|77.0|0|28292.0|0|1.0|0|0.0|100
0|2021-10-20|77.0|0|28332.0|0|1.0|0|0.0|100
0|2021-10-21|77.0|0|28332.0|0|1.0|0|0.0|100
0|2021-10-22|77.0|0|28475.0|0|1.0|0|0.0|100
0|2021-10-23|77.0|0|28475.0|0|1.0|0|0.0|100
0|2021-10-24|77.0|0|28475.0|0|1.0|0|0.0|100
0|2021-10-25|77.0|0|28611.0|0|1.0|0|0.0|100
0|2021-10-26|77.0|0|28672.0|0|1.0|0|0.0|100
0|2021-10-27|77.0|0|28749.0|0|1.0|0|0.0|100
0|2021-10-28|77.0|0|28749.0|0|1.0|0|0.0|100
0|2021-10-29|77.0|0|28923.0|0|1.0|0|0.0|100
0|2021-10-30|77.0|0|28923.0|0|1.0|0|0.0|100
0|2021-10-31|77.0|0|28923.0|0|1.0|0|0.0|100
0|2021-11-01|77.0|0|28923.0|0|1.0|0|0.0|100
0|2021-11-02|77.0|0|29125.0|0|1.0|0|0.0|100
0|2021-11-03|77.0|0|29184.0|0|1.0|0|0.0|100
0|2021-11-04|77.0|0|29287.0|0|1.0|0|0.0|100
0|2021-11-05|77.0|0|29364.0|0|1.0|0|0.0|100
0|2021-11-06|77.0|0|29364.0|0|1.0|0|0.0|100
0|2021-11-07|77.0|0|29364.0|0|1.0|0|0.0|100
0|2021-11-08|77.0|0|29364.0|0|1.0|0|0.0|100
0|2021-11-09|77.0|0|29600.0|0|1.0|0|0.0|100
0|2021-11-10|77.0|0|29600.0|0|1.0|0|0.0|100
0|2021-11-11|77.0|0|29655.0|0|1.0|0|0.0|100
0|2021-11-12|77.0|0|29816.0|0|1.0|0|0.0|100
0|2021-11-13|77.0|0|29816.0|0|1.0|0|0.0|100
0|2021-11-14|77.0|0|29816.0|0|1.0|0|0.0|100
0|2021-11-15|77.0|0|29816.0|0|1.0|0|0.0|100
0|2021-11-16|77.0|0|30047.0|0|1.0|0|0.0|100
0|2021-11-17|77.0|0|30047.0|0|1.0|0|0.0|100
0|2021-11-18|77.0|0|30209.0|0|1.0|0|0.0|100
0|2021-11-19|77.0|0|30278.0|0|1.0|0|0.0|100
0|2021-11-20|77.0|0|30278.0|0|1.0|0|0.0|100
