|dates|Kinney_Texas_UnitedStates.JHU_ConfirmedCases.data|Kinney_Texas_UnitedStates.JHU_ConfirmedCases.missing|Kinney_Texas_UnitedStates.NYT_ConfirmedCases.data|Kinney_Texas_UnitedStates.NYT_ConfirmedCases.missing|Kinney_Texas_UnitedStates.JHU_ConfirmedDeaths.data|Kinney_Texas_UnitedStates.JHU_ConfirmedDeaths.missing|Kinney_Texas_UnitedStates.JHU_ConfirmedRecoveries.data|Kinney_Texas_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|508.0|0|508.0|0|8.0|0|0.0|100
0|2021-10-18|508.0|0|508.0|0|8.0|0|0.0|100
0|2021-10-19|508.0|0|508.0|0|9.0|0|0.0|100
0|2021-10-20|509.0|0|509.0|0|9.0|0|0.0|100
0|2021-10-21|509.0|0|509.0|0|9.0|0|0.0|100
0|2021-10-22|509.0|0|509.0|0|9.0|0|0.0|100
0|2021-10-23|509.0|0|509.0|0|9.0|0|0.0|100
0|2021-10-24|509.0|0|509.0|0|9.0|0|0.0|100
0|2021-10-25|510.0|0|510.0|0|9.0|0|0.0|100
0|2021-10-26|510.0|0|510.0|0|9.0|0|0.0|100
0|2021-10-27|510.0|0|510.0|0|9.0|0|0.0|100
0|2021-10-28|510.0|0|510.0|0|9.0|0|0.0|100
0|2021-10-29|511.0|0|511.0|0|9.0|0|0.0|100
0|2021-10-30|511.0|0|511.0|0|9.0|0|0.0|100
0|2021-10-31|511.0|0|511.0|0|9.0|0|0.0|100
0|2021-11-01|511.0|0|511.0|0|9.0|0|0.0|100
0|2021-11-02|511.0|0|511.0|0|10.0|0|0.0|100
0|2021-11-03|511.0|0|511.0|0|10.0|0|0.0|100
0|2021-11-04|511.0|0|511.0|0|10.0|0|0.0|100
0|2021-11-05|511.0|0|511.0|0|10.0|0|0.0|100
0|2021-11-06|511.0|0|511.0|0|10.0|0|0.0|100
0|2021-11-07|511.0|0|511.0|0|10.0|0|0.0|100
0|2021-11-08|511.0|0|511.0|0|10.0|0|0.0|100
0|2021-11-09|511.0|0|511.0|0|10.0|0|0.0|100
0|2021-11-10|511.0|0|511.0|0|10.0|0|0.0|100
0|2021-11-11|511.0|0|511.0|0|10.0|0|0.0|100
0|2021-11-12|511.0|0|511.0|0|10.0|0|0.0|100
0|2021-11-13|511.0|0|511.0|0|10.0|0|0.0|100
0|2021-11-14|511.0|0|511.0|0|10.0|0|0.0|100
0|2021-11-15|511.0|0|511.0|0|10.0|0|0.0|100
0|2021-11-16|512.0|0|512.0|0|10.0|0|0.0|100
0|2021-11-17|514.0|0|514.0|0|10.0|0|0.0|100
0|2021-11-18|514.0|0|514.0|0|10.0|0|0.0|100
0|2021-11-19|516.0|0|516.0|0|10.0|0|0.0|100
0|2021-11-20|516.0|0|516.0|0|10.0|0|0.0|100
0|2021-11-21|516.0|0|516.0|0|10.0|0|0.0|100
0|2021-11-22|518.0|0|518.0|0|10.0|0|0.0|100
0|2021-11-23|518.0|0|518.0|0|10.0|0|0.0|100
0|2021-11-24|518.0|0|518.0|0|10.0|0|0.0|100
0|2021-11-25|518.0|0|518.0|0|10.0|0|0.0|100
0|2021-11-26|518.0|0|518.0|0|10.0|0|0.0|100
