|dates|Hudson_NewJersey_UnitedStates.NYT_AllCausesDeathsWeekly_Expected_Deaths_AllCauses.data|Hudson_NewJersey_UnitedStates.NYT_AllCausesDeathsWeekly_Expected_Deaths_AllCauses.missing|Hudson_NewJersey_UnitedStates.NYT_ConfirmedDeaths.data|Hudson_NewJersey_UnitedStates.NYT_ConfirmedDeaths.missing|Hudson_NewJersey_UnitedStates.NYT_AllCausesDeathsWeekly_Excess_Deaths.data|Hudson_NewJersey_UnitedStates.NYT_AllCausesDeathsWeekly_Excess_Deaths.missing|Hudson_NewJersey_UnitedStates.NYT_AllCausesDeathsWeekly_Deaths_AllCauses.data|Hudson_NewJersey_UnitedStates.NYT_AllCausesDeathsWeekly_Deaths_AllCauses.missing
0|2021-10-17|0.0|100|2383.0|0|0.0|100|0.0|100
0|2021-10-18|0.0|100|2383.0|0|0.0|100|0.0|100
0|2021-10-19|0.0|100|2384.0|0|0.0|100|0.0|100
0|2021-10-20|0.0|100|2384.0|0|0.0|100|0.0|100
0|2021-10-21|0.0|100|2385.0|0|0.0|100|0.0|100
0|2021-10-22|0.0|100|2386.0|0|0.0|100|0.0|100
0|2021-10-23|0.0|100|2386.0|0|0.0|100|0.0|100
0|2021-10-24|0.0|100|2386.0|0|0.0|100|0.0|100
0|2021-10-25|0.0|100|2385.0|0|0.0|100|0.0|100
0|2021-10-26|0.0|100|2387.0|0|0.0|100|0.0|100
0|2021-10-27|0.0|100|2387.0|0|0.0|100|0.0|100
0|2021-10-28|0.0|100|2389.0|0|0.0|100|0.0|100
0|2021-10-29|0.0|100|2389.0|0|0.0|100|0.0|100
0|2021-10-30|0.0|100|2389.0|0|0.0|100|0.0|100
0|2021-10-31|0.0|100|2389.0|0|0.0|100|0.0|100
0|2021-11-01|0.0|100|2390.0|0|0.0|100|0.0|100
0|2021-11-02|0.0|100|2390.0|0|0.0|100|0.0|100
0|2021-11-03|0.0|100|2390.0|0|0.0|100|0.0|100
0|2021-11-04|0.0|100|2390.0|0|0.0|100|0.0|100
0|2021-11-05|0.0|100|2391.0|0|0.0|100|0.0|100
0|2021-11-06|0.0|100|2391.0|0|0.0|100|0.0|100
0|2021-11-07|0.0|100|2391.0|0|0.0|100|0.0|100
0|2021-11-08|0.0|100|2389.0|0|0.0|100|0.0|100
0|2021-11-09|0.0|100|2390.0|0|0.0|100|0.0|100
0|2021-11-10|0.0|100|2389.0|0|0.0|100|0.0|100
0|2021-11-11|0.0|100|2389.0|0|0.0|100|0.0|100
0|2021-11-12|0.0|100|2389.0|0|0.0|100|0.0|100
0|2021-11-13|0.0|100|2390.0|0|0.0|100|0.0|100
0|2021-11-14|0.0|100|2390.0|0|0.0|100|0.0|100
0|2021-11-15|0.0|100|2392.0|0|0.0|100|0.0|100
0|2021-11-16|0.0|100|2392.0|0|0.0|100|0.0|100
0|2021-11-17|0.0|100|2394.0|0|0.0|100|0.0|100
0|2021-11-18|0.0|100|2396.0|0|0.0|100|0.0|100
0|2021-11-19|0.0|100|2396.0|0|0.0|100|0.0|100
0|2021-11-20|0.0|100|2397.0|0|0.0|100|0.0|100
0|2021-11-21|0.0|100|2398.0|0|0.0|100|0.0|100
0|2021-11-22|0.0|100|2399.0|0|0.0|100|0.0|100
0|2021-11-23|0.0|100|2400.0|0|0.0|100|0.0|100
0|2021-11-24|0.0|100|2403.0|0|0.0|100|0.0|100
0|2021-11-25|0.0|100|2404.0|0|0.0|100|0.0|100
0|2021-11-26|0.0|100|2404.0|0|0.0|100|0.0|100
