|dates|Anderson_Tennessee_UnitedStates.JHU_ConfirmedCases.data|Anderson_Tennessee_UnitedStates.JHU_ConfirmedCases.missing|Anderson_Tennessee_UnitedStates.NYT_ConfirmedCases.data|Anderson_Tennessee_UnitedStates.NYT_ConfirmedCases.missing|Anderson_Tennessee_UnitedStates.JHU_ConfirmedDeaths.data|Anderson_Tennessee_UnitedStates.JHU_ConfirmedDeaths.missing|Anderson_Tennessee_UnitedStates.JHU_ConfirmedRecoveries.data|Anderson_Tennessee_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|12734.0|0|12734.0|0|212.0|0|0.0|100
0|2021-10-18|12767.0|0|12767.0|0|212.0|0|0.0|100
0|2021-10-19|12789.0|0|12789.0|0|213.0|0|0.0|100
0|2021-10-20|12819.0|0|12819.0|0|215.0|0|0.0|100
0|2021-10-21|12853.0|0|12853.0|0|215.0|0|0.0|100
0|2021-10-22|12881.0|0|12881.0|0|215.0|0|0.0|100
0|2021-10-23|12881.0|0|12881.0|0|215.0|0|0.0|100
0|2021-10-24|12881.0|0|12881.0|0|215.0|0|0.0|100
0|2021-10-25|12881.0|0|12881.0|0|215.0|0|0.0|100
0|2021-10-26|12940.0|0|12940.0|0|216.0|0|0.0|100
0|2021-10-27|12951.0|0|12951.0|0|216.0|0|0.0|100
0|2021-10-28|12976.0|0|12976.0|0|217.0|0|0.0|100
0|2021-10-29|13000.0|0|13000.0|0|218.0|0|0.0|100
0|2021-10-30|13000.0|0|13000.0|0|218.0|0|0.0|100
0|2021-10-31|13000.0|0|13000.0|0|218.0|0|0.0|100
0|2021-11-01|13000.0|0|13000.0|0|218.0|0|0.0|100
0|2021-11-02|13056.0|0|13056.0|0|219.0|0|0.0|100
0|2021-11-03|13078.0|0|13078.0|0|221.0|0|0.0|100
0|2021-11-04|13106.0|0|13106.0|0|222.0|0|0.0|100
0|2021-11-05|13128.0|0|13128.0|0|222.0|0|0.0|100
0|2021-11-06|13128.0|0|13128.0|0|222.0|0|0.0|100
0|2021-11-07|13128.0|0|13128.0|0|222.0|0|0.0|100
0|2021-11-08|13128.0|0|13128.0|0|222.0|0|0.0|100
0|2021-11-09|13180.0|0|13180.0|0|223.0|0|0.0|100
0|2021-11-10|13198.0|0|13198.0|0|224.0|0|0.0|100
0|2021-11-11|13198.0|0|13198.0|0|224.0|0|0.0|100
0|2021-11-12|13235.0|0|13235.0|0|224.0|0|0.0|100
0|2021-11-13|13235.0|0|13235.0|0|224.0|0|0.0|100
0|2021-11-14|13235.0|0|13235.0|0|224.0|0|0.0|100
0|2021-11-15|13259.0|0|13259.0|0|227.0|0|0.0|100
0|2021-11-16|13292.0|0|13292.0|0|227.0|0|0.0|100
0|2021-11-17|13319.0|0|13319.0|0|228.0|0|0.0|100
0|2021-11-18|13329.0|0|13329.0|0|228.0|0|0.0|100
0|2021-11-19|13358.0|0|13358.0|0|232.0|0|0.0|100
0|2021-11-20|13358.0|0|13358.0|0|232.0|0|0.0|100
0|2021-11-21|13358.0|0|13358.0|0|232.0|0|0.0|100
0|2021-11-22|13389.0|0|13389.0|0|233.0|0|0.0|100
0|2021-11-23|13418.0|0|13418.0|0|234.0|0|0.0|100
0|2021-11-24|13426.0|0|13426.0|0|234.0|0|0.0|100
0|2021-11-25|13426.0|0|13426.0|0|234.0|0|0.0|100
0|2021-11-26|13426.0|0|13426.0|0|234.0|0|0.0|100
0|2021-11-27|13426.0|0|13426.0|0|234.0|0|0.0|100
0|2021-11-28|13426.0|0|13426.0|0|234.0|0|0.0|100
0|2021-11-29|13489.0|0|13489.0|0|235.0|0|0.0|100
0|2021-11-30|13519.0|0|13519.0|0|235.0|0|0.0|100
0|2021-12-01|13542.0|0|13542.0|0|235.0|0|0.0|100
0|2021-12-02|13578.0|0|13578.0|0|235.0|0|0.0|100
0|2021-12-03|13619.0|0|13619.0|0|235.0|0|0.0|100
0|2021-12-04|13619.0|0|13619.0|0|235.0|0|0.0|100
0|2021-12-05|13619.0|0|13619.0|0|235.0|0|0.0|100
0|2021-12-06|13681.0|0|13681.0|0|236.0|0|0.0|100
0|2021-12-07|13713.0|0|13713.0|0|238.0|0|0.0|100
0|2021-12-08|13746.0|0|13746.0|0|238.0|0|0.0|100
0|2021-12-09|13746.0|0|13746.0|0|238.0|0|0.0|100
0|2021-12-10|13801.0|0|13801.0|0|238.0|0|0.0|100
0|2021-12-11|13801.0|0|13801.0|0|238.0|0|0.0|100
0|2021-12-12|13801.0|0|13801.0|0|238.0|0|0.0|100
0|2021-12-13|13859.0|0|13859.0|0|238.0|0|0.0|100
0|2021-12-14|13859.0|0|13891.0|0|238.0|0|0.0|100
0|2021-12-15|13897.0|0|13897.0|0|241.0|0|0.0|100
0|2021-12-16|13929.0|0|13929.0|0|241.0|0|0.0|100
0|2021-12-17|13957.0|0|13957.0|0|241.0|0|0.0|100
0|2021-12-18|13957.0|0|13957.0|0|241.0|0|0.0|100
0|2021-12-19|13957.0|0|13957.0|0|241.0|0|0.0|100
0|2021-12-20|14018.0|0|14018.0|0|242.0|0|0.0|100
0|2021-12-21|14039.0|0|14039.0|0|242.0|0|0.0|100
0|2021-12-22|14069.0|0|14069.0|0|242.0|0|0.0|100
0|2021-12-23|14113.0|0|14113.0|0|261.0|0|0.0|100
0|2021-12-24|14113.0|0|14113.0|0|261.0|0|0.0|100
0|2021-12-25|14113.0|0|14113.0|0|261.0|0|0.0|100
0|2021-12-26|14113.0|0|14113.0|0|261.0|0|0.0|100
0|2021-12-27|14192.0|0|14192.0|0|262.0|0|0.0|100
0|2021-12-28|14240.0|0|14240.0|0|263.0|0|0.0|100
0|2021-12-29|14321.0|0|14321.0|0|263.0|0|0.0|100
0|2021-12-30|14409.0|0|14409.0|0|265.0|0|0.0|100
