|dates|Hennepin_Minnesota_UnitedStates.JHU_ConfirmedCases.data|Hennepin_Minnesota_UnitedStates.JHU_ConfirmedCases.missing|Hennepin_Minnesota_UnitedStates.NYT_ConfirmedCases.data|Hennepin_Minnesota_UnitedStates.NYT_ConfirmedCases.missing|Hennepin_Minnesota_UnitedStates.JHU_ConfirmedDeaths.data|Hennepin_Minnesota_UnitedStates.JHU_ConfirmedDeaths.missing|Hennepin_Minnesota_UnitedStates.JHU_ConfirmedRecoveries.data|Hennepin_Minnesota_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|151329.0|0|151329.0|0|1905.0|0|0.0|100
0|2021-10-18|151755.0|0|151755.0|0|1909.0|0|0.0|100
0|2021-10-19|152688.0|0|152688.0|0|1914.0|0|0.0|100
0|2021-10-20|152926.0|0|152926.0|0|1919.0|0|0.0|100
0|2021-10-21|153348.0|0|153348.0|0|1923.0|0|0.0|100
0|2021-10-22|153749.0|0|153749.0|0|1923.0|0|0.0|100
0|2021-10-23|153749.0|0|153749.0|0|1923.0|0|0.0|100
0|2021-10-24|153749.0|0|153749.0|0|1923.0|0|0.0|100
0|2021-10-25|154134.0|0|154134.0|0|1929.0|0|0.0|100
0|2021-10-26|155199.0|0|155199.0|0|1932.0|0|0.0|100
0|2021-10-27|155507.0|0|155507.0|0|1935.0|0|0.0|100
0|2021-10-28|155861.0|0|155861.0|0|1940.0|0|0.0|100
0|2021-10-29|156327.0|0|156327.0|0|1941.0|0|0.0|100
0|2021-10-30|156327.0|0|156327.0|0|1941.0|0|0.0|100
0|2021-10-31|156327.0|0|156327.0|0|1941.0|0|0.0|100
0|2021-11-01|158408.0|0|158408.0|0|1944.0|0|0.0|100
0|2021-11-02|159574.0|0|159574.0|0|1948.0|0|0.0|100
0|2021-11-03|160028.0|0|160028.0|0|1954.0|0|0.0|100
0|2021-11-04|160547.0|0|160547.0|0|1958.0|0|0.0|100
0|2021-11-05|161064.0|0|161064.0|0|1964.0|0|0.0|100
0|2021-11-06|161064.0|0|161064.0|0|1964.0|0|0.0|100
0|2021-11-07|161064.0|0|161064.0|0|1964.0|0|0.0|100
0|2021-11-08|161774.0|0|161774.0|0|1968.0|0|0.0|100
0|2021-11-09|163032.0|0|163032.0|0|1971.0|0|0.0|100
0|2021-11-10|163976.0|0|163976.0|0|1974.0|0|0.0|100
0|2021-11-11|164792.0|0|164792.0|0|1977.0|0|0.0|100
0|2021-11-12|165628.0|0|165628.0|0|1980.0|0|0.0|100
0|2021-11-13|165628.0|0|165628.0|0|1980.0|0|0.0|100
0|2021-11-14|165628.0|0|165628.0|0|1980.0|0|0.0|100
0|2021-11-15|166609.0|0|166609.0|0|1980.0|0|0.0|100
0|2021-11-16|168542.0|0|168542.0|0|1984.0|0|0.0|100
