|dates|Lincoln_SouthDakota_UnitedStates.JHU_ConfirmedCases.data|Lincoln_SouthDakota_UnitedStates.JHU_ConfirmedCases.missing|Lincoln_SouthDakota_UnitedStates.NYT_ConfirmedCases.data|Lincoln_SouthDakota_UnitedStates.NYT_ConfirmedCases.missing|Lincoln_SouthDakota_UnitedStates.JHU_ConfirmedDeaths.data|Lincoln_SouthDakota_UnitedStates.JHU_ConfirmedDeaths.missing|Lincoln_SouthDakota_UnitedStates.JHU_ConfirmedRecoveries.data|Lincoln_SouthDakota_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|10091.0|0|10091.0|0|78.0|0|0.0|100
0|2021-10-18|10091.0|0|10106.0|0|78.0|0|0.0|100
0|2021-10-19|10091.0|0|10132.0|0|78.0|0|0.0|100
0|2021-10-20|10144.0|0|10144.0|0|78.0|0|0.0|100
0|2021-10-21|10158.0|0|10158.0|0|78.0|0|0.0|100
0|2021-10-22|10166.0|0|10166.0|0|78.0|0|0.0|100
0|2021-10-23|10166.0|0|10166.0|0|78.0|0|0.0|100
0|2021-10-24|10166.0|0|10166.0|0|78.0|0|0.0|100
0|2021-10-25|10180.0|0|10180.0|0|78.0|0|0.0|100
0|2021-10-26|10209.0|0|10209.0|0|78.0|0|0.0|100
0|2021-10-27|10228.0|0|10228.0|0|78.0|0|0.0|100
0|2021-10-28|10249.0|0|10249.0|0|78.0|0|0.0|100
0|2021-10-29|10267.0|0|10267.0|0|78.0|0|0.0|100
0|2021-10-30|10267.0|0|10267.0|0|78.0|0|0.0|100
0|2021-10-31|10267.0|0|10267.0|0|78.0|0|0.0|100
0|2021-11-01|10294.0|0|10294.0|0|78.0|0|0.0|100
0|2021-11-02|10345.0|0|10345.0|0|78.0|0|0.0|100
0|2021-11-03|10362.0|0|10362.0|0|78.0|0|0.0|100
0|2021-11-04|10395.0|0|10395.0|0|78.0|0|0.0|100
0|2021-11-05|10417.0|0|10417.0|0|78.0|0|0.0|100
0|2021-11-06|10417.0|0|10417.0|0|78.0|0|0.0|100
0|2021-11-07|10417.0|0|10417.0|0|78.0|0|0.0|100
0|2021-11-08|10438.0|0|10438.0|0|78.0|0|0.0|100
0|2021-11-09|10494.0|0|10494.0|0|78.0|0|0.0|100
0|2021-11-10|10516.0|0|10516.0|0|78.0|0|0.0|100
0|2021-11-11|10516.0|0|10516.0|0|78.0|0|0.0|100
