|dates|VanBuren_Tennessee_UnitedStates.JHU_ConfirmedCases.data|VanBuren_Tennessee_UnitedStates.JHU_ConfirmedCases.missing|VanBuren_Tennessee_UnitedStates.NYT_ConfirmedCases.data|VanBuren_Tennessee_UnitedStates.NYT_ConfirmedCases.missing|VanBuren_Tennessee_UnitedStates.JHU_ConfirmedDeaths.data|VanBuren_Tennessee_UnitedStates.JHU_ConfirmedDeaths.missing|VanBuren_Tennessee_UnitedStates.JHU_ConfirmedRecoveries.data|VanBuren_Tennessee_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|1218.0|0|1218.0|0|27.0|0|0.0|100
0|2021-10-18|1226.0|0|1226.0|0|27.0|0|0.0|100
0|2021-10-19|1228.0|0|1228.0|0|27.0|0|0.0|100
0|2021-10-20|1230.0|0|1230.0|0|27.0|0|0.0|100
0|2021-10-21|1233.0|0|1233.0|0|27.0|0|0.0|100
0|2021-10-22|1236.0|0|1236.0|0|27.0|0|0.0|100
0|2021-10-23|1236.0|0|1236.0|0|27.0|0|0.0|100
0|2021-10-24|1236.0|0|1236.0|0|27.0|0|0.0|100
0|2021-10-25|1236.0|0|1236.0|0|27.0|0|0.0|100
0|2021-10-26|1241.0|0|1241.0|0|27.0|0|0.0|100
0|2021-10-27|1242.0|0|1242.0|0|27.0|0|0.0|100
0|2021-10-28|1245.0|0|1245.0|0|27.0|0|0.0|100
0|2021-10-29|1247.0|0|1247.0|0|27.0|0|0.0|100
0|2021-10-30|1247.0|0|1247.0|0|27.0|0|0.0|100
0|2021-10-31|1247.0|0|1247.0|0|27.0|0|0.0|100
0|2021-11-01|1247.0|0|1247.0|0|27.0|0|0.0|100
0|2021-11-02|1251.0|0|1251.0|0|28.0|0|0.0|100
0|2021-11-03|1253.0|0|1253.0|0|28.0|0|0.0|100
0|2021-11-04|1254.0|0|1254.0|0|28.0|0|0.0|100
0|2021-11-05|1254.0|0|1254.0|0|28.0|0|0.0|100
0|2021-11-06|1254.0|0|1254.0|0|28.0|0|0.0|100
0|2021-11-07|1254.0|0|1254.0|0|28.0|0|0.0|100
0|2021-11-08|1254.0|0|1254.0|0|28.0|0|0.0|100
0|2021-11-09|1256.0|0|1256.0|0|28.0|0|0.0|100
0|2021-11-10|1258.0|0|1258.0|0|28.0|0|0.0|100
0|2021-11-11|1258.0|0|1258.0|0|28.0|0|0.0|100
0|2021-11-12|1261.0|0|1261.0|0|29.0|0|0.0|100
0|2021-11-13|1261.0|0|1261.0|0|29.0|0|0.0|100
0|2021-11-14|1261.0|0|1261.0|0|29.0|0|0.0|100
0|2021-11-15|1265.0|0|1265.0|0|29.0|0|0.0|100
0|2021-11-16|1266.0|0|1266.0|0|29.0|0|0.0|100
0|2021-11-17|1267.0|0|1267.0|0|29.0|0|0.0|100
0|2021-11-18|1269.0|0|1269.0|0|29.0|0|0.0|100
0|2021-11-19|1269.0|0|1269.0|0|29.0|0|0.0|100
0|2021-11-20|1269.0|0|1269.0|0|29.0|0|0.0|100
0|2021-11-21|1269.0|0|1269.0|0|29.0|0|0.0|100
0|2021-11-22|1277.0|0|1277.0|0|29.0|0|0.0|100
0|2021-11-23|1277.0|0|1277.0|0|29.0|0|0.0|100
0|2021-11-24|1278.0|0|1278.0|0|29.0|0|0.0|100
0|2021-11-25|1278.0|0|1278.0|0|29.0|0|0.0|100
0|2021-11-26|1278.0|0|1278.0|0|29.0|0|0.0|100
0|2021-11-27|1278.0|0|1278.0|0|29.0|0|0.0|100
0|2021-11-28|1278.0|0|1278.0|0|29.0|0|0.0|100
0|2021-11-29|1284.0|0|1284.0|0|29.0|0|0.0|100
0|2021-11-30|1285.0|0|1285.0|0|29.0|0|0.0|100
0|2021-12-01|1286.0|0|1286.0|0|29.0|0|0.0|100
0|2021-12-02|1288.0|0|1288.0|0|30.0|0|0.0|100
0|2021-12-03|1292.0|0|1292.0|0|32.0|0|0.0|100
0|2021-12-04|1292.0|0|1292.0|0|32.0|0|0.0|100
0|2021-12-05|1292.0|0|1292.0|0|32.0|0|0.0|100
0|2021-12-06|1298.0|0|1298.0|0|32.0|0|0.0|100
0|2021-12-07|1305.0|0|1305.0|0|32.0|0|0.0|100
0|2021-12-08|1308.0|0|1308.0|0|32.0|0|0.0|100
0|2021-12-09|1308.0|0|1308.0|0|32.0|0|0.0|100
0|2021-12-10|1312.0|0|1312.0|0|32.0|0|0.0|100
0|2021-12-11|1312.0|0|1312.0|0|32.0|0|0.0|100
0|2021-12-12|1312.0|0|1312.0|0|32.0|0|0.0|100
0|2021-12-13|1316.0|0|1316.0|0|32.0|0|0.0|100
0|2021-12-14|1316.0|0|1316.0|0|32.0|0|0.0|100
0|2021-12-15|1325.0|0|1325.0|0|33.0|0|0.0|100
0|2021-12-16|1328.0|0|1328.0|0|33.0|0|0.0|100
0|2021-12-17|1333.0|0|1333.0|0|33.0|0|0.0|100
0|2021-12-18|1333.0|0|1333.0|0|33.0|0|0.0|100
0|2021-12-19|1333.0|0|1333.0|0|33.0|0|0.0|100
0|2021-12-20|1340.0|0|1340.0|0|33.0|0|0.0|100
0|2021-12-21|1340.0|0|1340.0|0|33.0|0|0.0|100
0|2021-12-22|1342.0|0|1342.0|0|33.0|0|0.0|100
0|2021-12-23|1346.0|0|1346.0|0|40.0|0|0.0|100
0|2021-12-24|1346.0|0|1346.0|0|40.0|0|0.0|100
0|2021-12-25|1346.0|0|1346.0|0|40.0|0|0.0|100
0|2021-12-26|1346.0|0|1346.0|0|40.0|0|0.0|100
0|2021-12-27|1355.0|0|1355.0|0|43.0|0|0.0|100
0|2021-12-28|1357.0|0|1357.0|0|43.0|0|0.0|100
0|2021-12-29|1360.0|0|1360.0|0|43.0|0|0.0|100
0|2021-12-30|1362.0|0|1362.0|0|43.0|0|0.0|100
0|2021-12-31|1362.0|0|1362.0|0|43.0|0|0.0|100
0|2022-01-01|1362.0|0|1362.0|0|43.0|0|0.0|100
0|2022-01-02|1362.0|0|1362.0|0|43.0|0|0.0|100
0|2022-01-03|1379.0|0|1379.0|0|43.0|0|0.0|100
0|2022-01-04|1380.0|0|1380.0|0|43.0|0|0.0|100
0|2022-01-05|1380.0|0|1380.0|0|43.0|0|0.0|100
0|2022-01-06|1380.0|0|1380.0|0|43.0|0|0.0|100
0|2022-01-07|1380.0|0|1380.0|0|43.0|0|0.0|100
0|2022-01-08|1380.0|0|1380.0|0|43.0|0|0.0|100
0|2022-01-09|1380.0|0|1380.0|0|43.0|0|0.0|100
0|2022-01-10|1380.0|0|1380.0|0|43.0|0|0.0|100
0|2022-01-11|1380.0|0|1380.0|0|43.0|0|0.0|100
0|2022-01-12|1394.0|0|1394.0|0|44.0|0|0.0|100
0|2022-01-13|1394.0|0|1394.0|0|44.0|0|0.0|100
0|2022-01-14|1394.0|0|1394.0|0|44.0|0|0.0|100
0|2022-01-15|1394.0|0|1394.0|0|44.0|0|0.0|100
0|2022-01-16|1394.0|0|1394.0|0|44.0|0|0.0|100
0|2022-01-17|1394.0|0|0.0|100|44.0|0|0.0|100
