|dates|Orange_Texas_UnitedStates.JHU_ConfirmedCases.data|Orange_Texas_UnitedStates.JHU_ConfirmedCases.missing|Orange_Texas_UnitedStates.NYT_ConfirmedCases.data|Orange_Texas_UnitedStates.NYT_ConfirmedCases.missing|Orange_Texas_UnitedStates.JHU_ConfirmedDeaths.data|Orange_Texas_UnitedStates.JHU_ConfirmedDeaths.missing|Orange_Texas_UnitedStates.JHU_ConfirmedRecoveries.data|Orange_Texas_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|13602.0|0|13602.0|0|275.0|0|0.0|100
0|2021-10-18|13602.0|0|13602.0|0|275.0|0|0.0|100
0|2021-10-19|13630.0|0|13630.0|0|276.0|0|0.0|100
0|2021-10-20|13654.0|0|13654.0|0|276.0|0|0.0|100
0|2021-10-21|13654.0|0|13654.0|0|277.0|0|0.0|100
0|2021-10-22|13654.0|0|13654.0|0|278.0|0|0.0|100
0|2021-10-23|13670.0|0|13670.0|0|280.0|0|0.0|100
0|2021-10-24|13670.0|0|13670.0|0|280.0|0|0.0|100
0|2021-10-25|13670.0|0|13670.0|0|280.0|0|0.0|100
0|2021-10-26|13677.0|0|13677.0|0|280.0|0|0.0|100
0|2021-10-27|13688.0|0|13688.0|0|283.0|0|0.0|100
0|2021-10-28|13688.0|0|13688.0|0|284.0|0|0.0|100
0|2021-10-29|13701.0|0|13701.0|0|284.0|0|0.0|100
0|2021-10-30|13701.0|0|13701.0|0|284.0|0|0.0|100
0|2021-10-31|13701.0|0|13701.0|0|285.0|0|0.0|100
0|2021-11-01|13701.0|0|13701.0|0|285.0|0|0.0|100
0|2021-11-02|13707.0|0|13707.0|0|285.0|0|0.0|100
0|2021-11-03|13707.0|0|13707.0|0|288.0|0|0.0|100
0|2021-11-04|13725.0|0|13725.0|0|289.0|0|0.0|100
0|2021-11-05|13733.0|0|13733.0|0|289.0|0|0.0|100
0|2021-11-06|13733.0|0|13733.0|0|289.0|0|0.0|100
0|2021-11-07|13733.0|0|13733.0|0|289.0|0|0.0|100
0|2021-11-08|13733.0|0|13733.0|0|289.0|0|0.0|100
