|dates|Hampton_SouthCarolina_UnitedStates.JHU_ConfirmedCases.data|Hampton_SouthCarolina_UnitedStates.JHU_ConfirmedCases.missing|Hampton_SouthCarolina_UnitedStates.NYT_ConfirmedCases.data|Hampton_SouthCarolina_UnitedStates.NYT_ConfirmedCases.missing|Hampton_SouthCarolina_UnitedStates.JHU_ConfirmedDeaths.data|Hampton_SouthCarolina_UnitedStates.JHU_ConfirmedDeaths.missing|Hampton_SouthCarolina_UnitedStates.JHU_ConfirmedRecoveries.data|Hampton_SouthCarolina_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|3065.0|0|3065.0|0|72.0|0|0.0|100
0|2021-10-18|3071.0|0|3071.0|0|73.0|0|0.0|100
0|2021-10-19|3071.0|0|3071.0|0|73.0|0|0.0|100
0|2021-10-20|3072.0|0|3072.0|0|73.0|0|0.0|100
0|2021-10-21|3073.0|0|3073.0|0|74.0|0|0.0|100
0|2021-10-22|3074.0|0|3074.0|0|74.0|0|0.0|100
0|2021-10-23|3074.0|0|3074.0|0|74.0|0|0.0|100
0|2021-10-24|3074.0|0|3074.0|0|74.0|0|0.0|100
0|2021-10-25|3077.0|0|3077.0|0|74.0|0|0.0|100
0|2021-10-26|3077.0|0|3077.0|0|74.0|0|0.0|100
0|2021-10-27|3078.0|0|3078.0|0|74.0|0|0.0|100
0|2021-10-28|3080.0|0|3080.0|0|74.0|0|0.0|100
0|2021-10-29|3082.0|0|3082.0|0|74.0|0|0.0|100
0|2021-10-30|3082.0|0|3082.0|0|74.0|0|0.0|100
0|2021-10-31|3082.0|0|3082.0|0|74.0|0|0.0|100
0|2021-11-01|3086.0|0|3086.0|0|74.0|0|0.0|100
0|2021-11-02|3087.0|0|3087.0|0|74.0|0|0.0|100
0|2021-11-03|3088.0|0|3088.0|0|74.0|0|0.0|100
0|2021-11-04|3088.0|0|3088.0|0|74.0|0|0.0|100
0|2021-11-05|3088.0|0|3088.0|0|74.0|0|0.0|100
0|2021-11-06|3088.0|0|3088.0|0|74.0|0|0.0|100
0|2021-11-07|3088.0|0|3088.0|0|74.0|0|0.0|100
0|2021-11-08|3092.0|0|3092.0|0|74.0|0|0.0|100
0|2021-11-09|3092.0|0|3092.0|0|74.0|0|0.0|100
0|2021-11-10|3092.0|0|3092.0|0|74.0|0|0.0|100
0|2021-11-11|3092.0|0|3092.0|0|74.0|0|0.0|100
0|2021-11-12|3095.0|0|3095.0|0|74.0|0|0.0|100
0|2021-11-13|3095.0|0|3095.0|0|74.0|0|0.0|100
0|2021-11-14|3095.0|0|3095.0|0|74.0|0|0.0|100
0|2021-11-15|3100.0|0|3100.0|0|74.0|0|0.0|100
0|2021-11-16|3100.0|0|3100.0|0|74.0|0|0.0|100
0|2021-11-17|3112.0|0|3112.0|0|74.0|0|0.0|100
0|2021-11-18|3114.0|0|3114.0|0|74.0|0|0.0|100
0|2021-11-19|3118.0|0|3118.0|0|74.0|0|0.0|100
0|2021-11-20|3118.0|0|3118.0|0|74.0|0|0.0|100
0|2021-11-21|3118.0|0|3118.0|0|74.0|0|0.0|100
