|dates|Ste.Genevieve_Missouri_UnitedStates.JHU_ConfirmedCases.data|Ste.Genevieve_Missouri_UnitedStates.JHU_ConfirmedCases.missing|Ste.Genevieve_Missouri_UnitedStates.NYT_ConfirmedCases.data|Ste.Genevieve_Missouri_UnitedStates.NYT_ConfirmedCases.missing|Ste.Genevieve_Missouri_UnitedStates.JHU_ConfirmedDeaths.data|Ste.Genevieve_Missouri_UnitedStates.JHU_ConfirmedDeaths.missing|Ste.Genevieve_Missouri_UnitedStates.JHU_ConfirmedRecoveries.data|Ste.Genevieve_Missouri_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|2362.0|0|2362.0|0|29.0|0|0.0|100
0|2021-10-18|2363.0|0|2363.0|0|29.0|0|0.0|100
0|2021-10-19|2366.0|0|2366.0|0|29.0|0|0.0|100
0|2021-10-20|2384.0|0|2384.0|0|29.0|0|0.0|100
0|2021-10-21|2385.0|0|2385.0|0|29.0|0|0.0|100
0|2021-10-22|2389.0|0|2389.0|0|29.0|0|0.0|100
0|2021-10-23|2392.0|0|2392.0|0|29.0|0|0.0|100
0|2021-10-24|2392.0|0|2392.0|0|29.0|0|0.0|100
0|2021-10-25|2401.0|0|2401.0|0|29.0|0|0.0|100
0|2021-10-26|2400.0|0|2400.0|0|29.0|0|0.0|100
0|2021-10-27|2401.0|0|2401.0|0|29.0|0|0.0|100
0|2021-10-28|2401.0|0|2401.0|0|29.0|0|0.0|100
0|2021-10-29|2408.0|0|2408.0|0|29.0|0|0.0|100
0|2021-10-30|2408.0|0|2408.0|0|29.0|0|0.0|100
0|2021-10-31|2408.0|0|2408.0|0|29.0|0|0.0|100
0|2021-11-01|2408.0|0|2408.0|0|29.0|0|0.0|100
0|2021-11-02|2411.0|0|2411.0|0|29.0|0|0.0|100
0|2021-11-03|2412.0|0|2412.0|0|29.0|0|0.0|100
0|2021-11-04|2413.0|0|2413.0|0|29.0|0|0.0|100
0|2021-11-05|2419.0|0|2419.0|0|29.0|0|0.0|100
0|2021-11-06|2419.0|0|2419.0|0|29.0|0|0.0|100
0|2021-11-07|2419.0|0|2419.0|0|29.0|0|0.0|100
0|2021-11-08|2419.0|0|2419.0|0|29.0|0|0.0|100
0|2021-11-09|2420.0|0|2420.0|0|29.0|0|0.0|100
0|2021-11-10|2428.0|0|2428.0|0|29.0|0|0.0|100
0|2021-11-11|2428.0|0|2428.0|0|29.0|0|0.0|100
