|dates|Harrison_Mississippi_UnitedStates.JHU_ConfirmedCases.data|Harrison_Mississippi_UnitedStates.JHU_ConfirmedCases.missing|Harrison_Mississippi_UnitedStates.NYT_ConfirmedCases.data|Harrison_Mississippi_UnitedStates.NYT_ConfirmedCases.missing|Harrison_Mississippi_UnitedStates.JHU_ConfirmedDeaths.data|Harrison_Mississippi_UnitedStates.JHU_ConfirmedDeaths.missing|Harrison_Mississippi_UnitedStates.JHU_ConfirmedRecoveries.data|Harrison_Mississippi_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|34102.0|0|34102.0|0|530.0|0|0.0|100
0|2021-10-18|34150.0|0|34150.0|0|535.0|0|0.0|100
0|2021-10-19|34258.0|0|34258.0|0|537.0|0|0.0|100
0|2021-10-20|34281.0|0|34281.0|0|537.0|0|0.0|100
0|2021-10-21|34312.0|0|34312.0|0|538.0|0|0.0|100
0|2021-10-22|34338.0|0|34338.0|0|538.0|0|0.0|100
0|2021-10-23|34338.0|0|34338.0|0|538.0|0|0.0|100
0|2021-10-24|34338.0|0|34338.0|0|538.0|0|0.0|100
0|2021-10-25|34353.0|0|34353.0|0|540.0|0|0.0|100
0|2021-10-26|34400.0|0|34400.0|0|541.0|0|0.0|100
0|2021-10-27|34423.0|0|34423.0|0|541.0|0|0.0|100
0|2021-10-28|34445.0|0|34445.0|0|541.0|0|0.0|100
0|2021-10-29|34446.0|0|34446.0|0|542.0|0|0.0|100
0|2021-10-30|34446.0|0|34446.0|0|542.0|0|0.0|100
0|2021-10-31|34446.0|0|34446.0|0|542.0|0|0.0|100
0|2021-11-01|34465.0|0|34465.0|0|543.0|0|0.0|100
0|2021-11-02|34485.0|0|34485.0|0|546.0|0|0.0|100
0|2021-11-03|34498.0|0|34498.0|0|546.0|0|0.0|100
0|2021-11-04|34531.0|0|34531.0|0|546.0|0|0.0|100
0|2021-11-05|34563.0|0|34563.0|0|548.0|0|0.0|100
0|2021-11-06|34563.0|0|34563.0|0|548.0|0|0.0|100
0|2021-11-07|34563.0|0|34563.0|0|548.0|0|0.0|100
0|2021-11-08|34582.0|0|34582.0|0|549.0|0|0.0|100
0|2021-11-09|34599.0|0|34599.0|0|551.0|0|0.0|100
0|2021-11-10|34617.0|0|34617.0|0|551.0|0|0.0|100
0|2021-11-11|34617.0|0|34617.0|0|551.0|0|0.0|100
0|2021-11-12|34641.0|0|34641.0|0|552.0|0|0.0|100
0|2021-11-13|34641.0|0|34641.0|0|552.0|0|0.0|100
0|2021-11-14|34641.0|0|34641.0|0|552.0|0|0.0|100
0|2021-11-15|34667.0|0|34667.0|0|552.0|0|0.0|100
0|2021-11-16|34679.0|0|34679.0|0|552.0|0|0.0|100
0|2021-11-17|34694.0|0|34694.0|0|552.0|0|0.0|100
0|2021-11-18|34724.0|0|34724.0|0|552.0|0|0.0|100
0|2021-11-19|34758.0|0|34758.0|0|553.0|0|0.0|100
0|2021-11-20|34758.0|0|34758.0|0|553.0|0|0.0|100
0|2021-11-21|34758.0|0|34758.0|0|553.0|0|0.0|100
0|2021-11-22|34806.0|0|34806.0|0|553.0|0|0.0|100
0|2021-11-23|34825.0|0|34825.0|0|554.0|0|0.0|100
0|2021-11-24|34853.0|0|34853.0|0|555.0|0|0.0|100
0|2021-11-25|34853.0|0|34853.0|0|555.0|0|0.0|100
0|2021-11-26|34853.0|0|34853.0|0|555.0|0|0.0|100
0|2021-11-27|34853.0|0|34853.0|0|555.0|0|0.0|100
0|2021-11-28|34853.0|0|34853.0|0|555.0|0|0.0|100
