|dates|Sequatchie_Tennessee_UnitedStates.JHU_ConfirmedCases.data|Sequatchie_Tennessee_UnitedStates.JHU_ConfirmedCases.missing|Sequatchie_Tennessee_UnitedStates.NYT_ConfirmedCases.data|Sequatchie_Tennessee_UnitedStates.NYT_ConfirmedCases.missing|Sequatchie_Tennessee_UnitedStates.JHU_ConfirmedDeaths.data|Sequatchie_Tennessee_UnitedStates.JHU_ConfirmedDeaths.missing|Sequatchie_Tennessee_UnitedStates.JHU_ConfirmedRecoveries.data|Sequatchie_Tennessee_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|2942.0|0|2942.0|0|32.0|0|0.0|100
0|2021-10-18|2955.0|0|2955.0|0|32.0|0|0.0|100
0|2021-10-19|2958.0|0|2958.0|0|32.0|0|0.0|100
0|2021-10-20|2964.0|0|2964.0|0|32.0|0|0.0|100
0|2021-10-21|2967.0|0|2967.0|0|32.0|0|0.0|100
0|2021-10-22|2973.0|0|2973.0|0|32.0|0|0.0|100
0|2021-10-23|2973.0|0|2973.0|0|32.0|0|0.0|100
0|2021-10-24|2973.0|0|2973.0|0|32.0|0|0.0|100
0|2021-10-25|2973.0|0|2973.0|0|32.0|0|0.0|100
0|2021-10-26|2988.0|0|2988.0|0|32.0|0|0.0|100
0|2021-10-27|2990.0|0|2990.0|0|32.0|0|0.0|100
0|2021-10-28|2995.0|0|2995.0|0|33.0|0|0.0|100
0|2021-10-29|2997.0|0|2997.0|0|33.0|0|0.0|100
0|2021-10-30|2997.0|0|2997.0|0|33.0|0|0.0|100
0|2021-10-31|2997.0|0|2997.0|0|33.0|0|0.0|100
0|2021-11-01|2997.0|0|2997.0|0|33.0|0|0.0|100
0|2021-11-02|3005.0|0|3005.0|0|33.0|0|0.0|100
0|2021-11-03|3007.0|0|3007.0|0|33.0|0|0.0|100
0|2021-11-04|3014.0|0|3014.0|0|33.0|0|0.0|100
0|2021-11-05|3016.0|0|3016.0|0|33.0|0|0.0|100
0|2021-11-06|3016.0|0|3016.0|0|33.0|0|0.0|100
0|2021-11-07|3016.0|0|3016.0|0|33.0|0|0.0|100
0|2021-11-08|3016.0|0|3016.0|0|33.0|0|0.0|100
0|2021-11-09|3031.0|0|3031.0|0|33.0|0|0.0|100
0|2021-11-10|3031.0|0|3033.0|0|33.0|0|0.0|100
0|2021-11-11|3033.0|0|3033.0|0|33.0|0|0.0|100
0|2021-11-12|3034.0|0|3034.0|0|33.0|0|0.0|100
0|2021-11-13|3034.0|0|3034.0|0|33.0|0|0.0|100
0|2021-11-14|3034.0|0|3034.0|0|33.0|0|0.0|100
0|2021-11-15|3034.0|0|3034.0|0|33.0|0|0.0|100
0|2021-11-16|3037.0|0|3037.0|0|33.0|0|0.0|100
0|2021-11-17|3038.0|0|3038.0|0|33.0|0|0.0|100
0|2021-11-18|3039.0|0|3039.0|0|33.0|0|0.0|100
0|2021-11-19|3045.0|0|3045.0|0|33.0|0|0.0|100
0|2021-11-20|3045.0|0|3045.0|0|33.0|0|0.0|100
0|2021-11-21|3045.0|0|3045.0|0|33.0|0|0.0|100
0|2021-11-22|3058.0|0|3058.0|0|33.0|0|0.0|100
0|2021-11-23|3063.0|0|3063.0|0|33.0|0|0.0|100
0|2021-11-24|3060.0|0|3060.0|0|33.0|0|0.0|100
0|2021-11-25|3060.0|0|3060.0|0|33.0|0|0.0|100
0|2021-11-26|3060.0|0|3060.0|0|33.0|0|0.0|100
0|2021-11-27|3060.0|0|3060.0|0|33.0|0|0.0|100
0|2021-11-28|3060.0|0|3060.0|0|33.0|0|0.0|100
0|2021-11-29|3070.0|0|3070.0|0|35.0|0|0.0|100
0|2021-11-30|3070.0|0|3070.0|0|35.0|0|0.0|100
0|2021-12-01|3070.0|0|3070.0|0|38.0|0|0.0|100
