|dates|Harnett_NorthCarolina_UnitedStates.JHU_ConfirmedCases.data|Harnett_NorthCarolina_UnitedStates.JHU_ConfirmedCases.missing|Harnett_NorthCarolina_UnitedStates.NYT_ConfirmedCases.data|Harnett_NorthCarolina_UnitedStates.NYT_ConfirmedCases.missing|Harnett_NorthCarolina_UnitedStates.JHU_ConfirmedDeaths.data|Harnett_NorthCarolina_UnitedStates.JHU_ConfirmedDeaths.missing|Harnett_NorthCarolina_UnitedStates.JHU_ConfirmedRecoveries.data|Harnett_NorthCarolina_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|18056.0|0|18056.0|0|249.0|0|0.0|100
0|2021-10-18|18157.0|0|18157.0|0|249.0|0|0.0|100
0|2021-10-19|18184.0|0|18184.0|0|249.0|0|0.0|100
0|2021-10-20|18230.0|0|18230.0|0|250.0|0|0.0|100
0|2021-10-21|18276.0|0|18276.0|0|250.0|0|0.0|100
0|2021-10-22|18298.0|0|18298.0|0|251.0|0|0.0|100
0|2021-10-23|18298.0|0|18298.0|0|251.0|0|0.0|100
0|2021-10-24|18298.0|0|18298.0|0|251.0|0|0.0|100
0|2021-10-25|18373.0|0|18373.0|0|253.0|0|0.0|100
0|2021-10-26|18389.0|0|18389.0|0|253.0|0|0.0|100
0|2021-10-27|18413.0|0|18413.0|0|253.0|0|0.0|100
0|2021-10-28|18442.0|0|18442.0|0|253.0|0|0.0|100
0|2021-10-29|18470.0|0|18470.0|0|253.0|0|0.0|100
0|2021-10-30|18470.0|0|18470.0|0|253.0|0|0.0|100
0|2021-10-31|18470.0|0|18470.0|0|253.0|0|0.0|100
0|2021-11-01|18534.0|0|18534.0|0|254.0|0|0.0|100
0|2021-11-02|18543.0|0|18543.0|0|256.0|0|0.0|100
0|2021-11-03|18567.0|0|18567.0|0|260.0|0|0.0|100
0|2021-11-04|18603.0|0|18603.0|0|260.0|0|0.0|100
0|2021-11-05|18632.0|0|18632.0|0|261.0|0|0.0|100
0|2021-11-06|18632.0|0|18632.0|0|261.0|0|0.0|100
0|2021-11-07|18632.0|0|18632.0|0|261.0|0|0.0|100
0|2021-11-08|18684.0|0|18684.0|0|264.0|0|0.0|100
0|2021-11-09|18702.0|0|18702.0|0|264.0|0|0.0|100
0|2021-11-10|18702.0|0|18717.0|0|264.0|0|0.0|100
0|2021-11-11|18717.0|0|18717.0|0|266.0|0|0.0|100
0|2021-11-12|18761.0|0|18761.0|0|266.0|0|0.0|100
0|2021-11-13|18761.0|0|18761.0|0|266.0|0|0.0|100
0|2021-11-14|18761.0|0|18761.0|0|266.0|0|0.0|100
0|2021-11-15|18794.0|0|18794.0|0|266.0|0|0.0|100
0|2021-11-16|18808.0|0|18808.0|0|266.0|0|0.0|100
0|2021-11-17|18831.0|0|18831.0|0|266.0|0|0.0|100
0|2021-11-18|18851.0|0|18851.0|0|267.0|0|0.0|100
0|2021-11-19|18875.0|0|18875.0|0|267.0|0|0.0|100
0|2021-11-20|18875.0|0|18875.0|0|267.0|0|0.0|100
0|2021-11-21|18875.0|0|18875.0|0|267.0|0|0.0|100
0|2021-11-22|18925.0|0|18925.0|0|269.0|0|0.0|100
0|2021-11-23|18932.0|0|18932.0|0|269.0|0|0.0|100
0|2021-11-24|18959.0|0|18959.0|0|269.0|0|0.0|100
0|2021-11-25|18959.0|0|18959.0|0|269.0|0|0.0|100
0|2021-11-26|18959.0|0|18959.0|0|269.0|0|0.0|100
0|2021-11-27|18959.0|0|18959.0|0|269.0|0|0.0|100
0|2021-11-28|18959.0|0|18959.0|0|269.0|0|0.0|100
0|2021-11-29|19033.0|0|19033.0|0|269.0|0|0.0|100
0|2021-11-30|19053.0|0|19053.0|0|269.0|0|0.0|100
0|2021-12-01|19093.0|0|19093.0|0|270.0|0|0.0|100
0|2021-12-02|19133.0|0|19133.0|0|270.0|0|0.0|100
0|2021-12-03|19133.0|0|19169.0|0|270.0|0|0.0|100
0|2021-12-04|19169.0|0|19169.0|0|270.0|0|0.0|100
0|2021-12-05|19169.0|0|19169.0|0|270.0|0|0.0|100
0|2021-12-06|19244.0|0|19244.0|0|271.0|0|0.0|100
0|2021-12-07|19261.0|0|19261.0|0|271.0|0|0.0|100
0|2021-12-08|19287.0|0|19287.0|0|272.0|0|0.0|100
0|2021-12-09|19343.0|0|19343.0|0|273.0|0|0.0|100
0|2021-12-10|19382.0|0|19382.0|0|273.0|0|0.0|100
0|2021-12-11|19382.0|0|19382.0|0|273.0|0|0.0|100
0|2021-12-12|19382.0|0|19382.0|0|273.0|0|0.0|100
0|2021-12-13|19494.0|0|19494.0|0|273.0|0|0.0|100
0|2021-12-14|19494.0|0|19525.0|0|273.0|0|0.0|100
0|2021-12-15|19561.0|0|19561.0|0|274.0|0|0.0|100
0|2021-12-16|19612.0|0|19612.0|0|274.0|0|0.0|100
0|2021-12-17|19667.0|0|19667.0|0|275.0|0|0.0|100
0|2021-12-18|19667.0|0|19667.0|0|275.0|0|0.0|100
0|2021-12-19|19667.0|0|19667.0|0|275.0|0|0.0|100
0|2021-12-20|19783.0|0|19783.0|0|276.0|0|0.0|100
0|2021-12-21|19833.0|0|19833.0|0|276.0|0|0.0|100
0|2021-12-22|19868.0|0|19868.0|0|277.0|0|0.0|100
0|2021-12-23|19868.0|0|19868.0|0|277.0|0|0.0|100
0|2021-12-24|19868.0|0|19868.0|0|277.0|0|0.0|100
0|2021-12-25|19868.0|0|19868.0|0|277.0|0|0.0|100
0|2021-12-26|19868.0|0|19868.0|0|277.0|0|0.0|100
0|2021-12-27|19868.0|0|19868.0|0|277.0|0|0.0|100
0|2021-12-28|20176.0|0|20176.0|0|277.0|0|0.0|100
0|2021-12-29|20248.0|0|20248.0|0|277.0|0|0.0|100
0|2021-12-30|20392.0|0|20392.0|0|279.0|0|0.0|100
0|2021-12-31|20392.0|0|20541.0|0|279.0|0|0.0|100
0|2022-01-01|20392.0|0|20541.0|0|279.0|0|0.0|100
0|2022-01-02|20392.0|0|20541.0|0|279.0|0|0.0|100
0|2022-01-03|21069.0|0|21069.0|0|279.0|0|0.0|100
