|dates|Alpena_Michigan_UnitedStates.BLS_EmployedPopulation.data|Alpena_Michigan_UnitedStates.BLS_EmployedPopulation.missing|Alpena_Michigan_UnitedStates.BLS_UnemployedPopulation.data|Alpena_Michigan_UnitedStates.BLS_UnemployedPopulation.missing|Alpena_Michigan_UnitedStates.BLS_UnemploymentRate.data|Alpena_Michigan_UnitedStates.BLS_UnemploymentRate.missing|Alpena_Michigan_UnitedStates.BLS_LaborForcePopulation.data|Alpena_Michigan_UnitedStates.BLS_LaborForcePopulation.missing
0|2021-10-17|12715.0|0|742.0|0|5.513858958163038|0|13457.0|0
0|2021-10-18|12715.0|0|742.0|0|5.513858958163038|0|13457.0|0
0|2021-10-19|12715.0|0|742.0|0|5.513858958163038|0|13457.0|0
0|2021-10-20|12715.0|0|742.0|0|5.513858958163038|0|13457.0|0
0|2021-10-21|12715.0|0|742.0|0|5.513858958163038|0|13457.0|0
0|2021-10-22|12715.0|0|742.0|0|5.513858958163038|0|13457.0|0
0|2021-10-23|12715.0|0|742.0|0|5.513858958163038|0|13457.0|0
0|2021-10-24|12715.0|0|742.0|0|5.513858958163038|0|13457.0|0
0|2021-10-25|12715.0|0|742.0|0|5.513858958163038|0|13457.0|0
0|2021-10-26|12715.0|0|742.0|0|5.513858958163038|0|13457.0|0
0|2021-10-27|12715.0|0|742.0|0|5.513858958163038|0|13457.0|0
0|2021-10-28|12715.0|0|742.0|0|5.513858958163038|0|13457.0|0
0|2021-10-29|12715.0|0|742.0|0|5.513858958163038|0|13457.0|0
0|2021-10-30|12715.0|0|742.0|0|5.513858958163038|0|13457.0|0
0|2021-10-31|12715.0|0|742.0|0|5.513858958163038|0|13457.0|0
0|2021-11-01|12715.0|0|742.0|0|5.513858958163038|0|13457.0|0
0|2021-11-02|12715.0|0|742.0|0|5.513858958163038|0|13457.0|0
0|2021-11-03|12715.0|0|742.0|0|5.513858958163038|0|13457.0|0
0|2021-11-04|12715.0|0|742.0|0|5.513858958163038|0|13457.0|0
0|2021-11-05|12715.0|0|742.0|0|5.513858958163038|0|13457.0|0
0|2021-11-06|12715.0|0|742.0|0|5.513858958163038|0|13457.0|0
0|2021-11-07|12715.0|0|742.0|0|5.513858958163038|0|13457.0|0
0|2021-11-08|12715.0|0|742.0|0|5.513858958163038|0|13457.0|0
0|2021-11-09|12715.0|0|742.0|0|5.513858958163038|0|13457.0|0
0|2021-11-10|12715.0|0|742.0|0|5.513858958163038|0|13457.0|0
0|2021-11-11|12715.0|0|742.0|0|5.513858958163038|0|13457.0|0
0|2021-11-12|12715.0|0|742.0|0|5.513858958163038|0|13457.0|0
0|2021-11-13|12715.0|0|742.0|0|5.513858958163038|0|13457.0|0
0|2021-11-14|12715.0|0|742.0|0|5.513858958163038|0|13457.0|0
0|2021-11-15|12715.0|0|742.0|0|5.513858958163038|0|13457.0|0
0|2021-11-16|12715.0|0|742.0|0|5.513858958163038|0|13457.0|0
0|2021-11-17|12715.0|0|742.0|0|5.513858958163038|0|13457.0|0
0|2021-11-18|12715.0|0|742.0|0|5.513858958163038|0|13457.0|0
0|2021-11-19|12715.0|0|742.0|0|5.513858958163038|0|13457.0|0
0|2021-11-20|12715.0|0|742.0|0|5.513858958163038|0|13457.0|0
0|2021-11-21|12715.0|0|742.0|0|5.513858958163038|0|13457.0|0
0|2021-11-22|12715.0|0|742.0|0|5.513858958163038|0|13457.0|0
0|2021-11-23|12715.0|0|742.0|0|5.513858958163038|0|13457.0|0
