|dates|York_Maine_UnitedStates.MaleAndFemale_AtLeast65_Population.data|York_Maine_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|York_Maine_UnitedStates.Male_Total_Population.data|York_Maine_UnitedStates.Male_Total_Population.missing|York_Maine_UnitedStates.Female_Total_Population.data|York_Maine_UnitedStates.Female_Total_Population.missing|York_Maine_UnitedStates.MaleAndFemale_Under18_Population.data|York_Maine_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-10-17|42233.0|0|100606.0|0|105623.0|0|38565.0|0
0|2021-10-18|42233.0|0|100606.0|0|105623.0|0|38565.0|0
0|2021-10-19|42233.0|0|100606.0|0|105623.0|0|38565.0|0
0|2021-10-20|42233.0|0|100606.0|0|105623.0|0|38565.0|0
0|2021-10-21|42233.0|0|100606.0|0|105623.0|0|38565.0|0
0|2021-10-22|42233.0|0|100606.0|0|105623.0|0|38565.0|0
0|2021-10-23|42233.0|0|100606.0|0|105623.0|0|38565.0|0
0|2021-10-24|42233.0|0|100606.0|0|105623.0|0|38565.0|0
0|2021-10-25|42233.0|0|100606.0|0|105623.0|0|38565.0|0
0|2021-10-26|42233.0|0|100606.0|0|105623.0|0|38565.0|0
0|2021-10-27|42233.0|0|100606.0|0|105623.0|0|38565.0|0
0|2021-10-28|42233.0|0|100606.0|0|105623.0|0|38565.0|0
0|2021-10-29|42233.0|0|100606.0|0|105623.0|0|38565.0|0
0|2021-10-30|42233.0|0|100606.0|0|105623.0|0|38565.0|0
0|2021-10-31|42233.0|0|100606.0|0|105623.0|0|38565.0|0
0|2021-11-01|42233.0|0|100606.0|0|105623.0|0|38565.0|0
0|2021-11-02|42233.0|0|100606.0|0|105623.0|0|38565.0|0
0|2021-11-03|42233.0|0|100606.0|0|105623.0|0|38565.0|0
0|2021-11-04|42233.0|0|100606.0|0|105623.0|0|38565.0|0
0|2021-11-05|42233.0|0|100606.0|0|105623.0|0|38565.0|0
0|2021-11-06|42233.0|0|100606.0|0|105623.0|0|38565.0|0
0|2021-11-07|42233.0|0|100606.0|0|105623.0|0|38565.0|0
0|2021-11-08|42233.0|0|100606.0|0|105623.0|0|38565.0|0
0|2021-11-09|42233.0|0|100606.0|0|105623.0|0|38565.0|0
0|2021-11-10|42233.0|0|100606.0|0|105623.0|0|38565.0|0
0|2021-11-11|42233.0|0|100606.0|0|105623.0|0|38565.0|0
0|2021-11-12|42233.0|0|100606.0|0|105623.0|0|38565.0|0
0|2021-11-13|42233.0|0|100606.0|0|105623.0|0|38565.0|0
0|2021-11-14|42233.0|0|100606.0|0|105623.0|0|38565.0|0
0|2021-11-15|42233.0|0|100606.0|0|105623.0|0|38565.0|0
0|2021-11-16|42233.0|0|100606.0|0|105623.0|0|38565.0|0
0|2021-11-17|42233.0|0|100606.0|0|105623.0|0|38565.0|0
0|2021-11-18|42233.0|0|100606.0|0|105623.0|0|38565.0|0
0|2021-11-19|42233.0|0|100606.0|0|105623.0|0|38565.0|0
0|2021-11-20|42233.0|0|100606.0|0|105623.0|0|38565.0|0
0|2021-11-21|42233.0|0|100606.0|0|105623.0|0|38565.0|0
0|2021-11-22|42233.0|0|100606.0|0|105623.0|0|38565.0|0
0|2021-11-23|42233.0|0|100606.0|0|105623.0|0|38565.0|0
0|2021-11-24|42233.0|0|100606.0|0|105623.0|0|38565.0|0
0|2021-11-25|42233.0|0|100606.0|0|105623.0|0|38565.0|0
0|2021-11-26|42233.0|0|100606.0|0|105623.0|0|38565.0|0
0|2021-11-27|42233.0|0|100606.0|0|105623.0|0|38565.0|0
0|2021-11-28|42233.0|0|100606.0|0|105623.0|0|38565.0|0
0|2021-11-29|42233.0|0|100606.0|0|105623.0|0|38565.0|0
0|2021-11-30|42233.0|0|100606.0|0|105623.0|0|38565.0|0
0|2021-12-01|42233.0|0|100606.0|0|105623.0|0|38565.0|0
0|2021-12-02|42233.0|0|100606.0|0|105623.0|0|38565.0|0
0|2021-12-03|42233.0|0|100606.0|0|105623.0|0|38565.0|0
0|2021-12-04|42233.0|0|100606.0|0|105623.0|0|38565.0|0
0|2021-12-05|42233.0|0|100606.0|0|105623.0|0|38565.0|0
0|2021-12-06|42233.0|0|100606.0|0|105623.0|0|38565.0|0
0|2021-12-07|42233.0|0|100606.0|0|105623.0|0|38565.0|0
0|2021-12-08|42233.0|0|100606.0|0|105623.0|0|38565.0|0
0|2021-12-09|42233.0|0|100606.0|0|105623.0|0|38565.0|0
0|2021-12-10|42233.0|0|100606.0|0|105623.0|0|38565.0|0
0|2021-12-11|42233.0|0|100606.0|0|105623.0|0|38565.0|0
0|2021-12-12|42233.0|0|100606.0|0|105623.0|0|38565.0|0
0|2021-12-13|42233.0|0|100606.0|0|105623.0|0|38565.0|0
0|2021-12-14|42233.0|0|100606.0|0|105623.0|0|38565.0|0
0|2021-12-15|42233.0|0|100606.0|0|105623.0|0|38565.0|0
0|2021-12-16|42233.0|0|100606.0|0|105623.0|0|38565.0|0
0|2021-12-17|42233.0|0|100606.0|0|105623.0|0|38565.0|0
0|2021-12-18|42233.0|0|100606.0|0|105623.0|0|38565.0|0
