|dates|Aitkin_Minnesota_UnitedStates.JHU_ConfirmedCases.data|Aitkin_Minnesota_UnitedStates.JHU_ConfirmedCases.missing|Aitkin_Minnesota_UnitedStates.NYT_ConfirmedCases.data|Aitkin_Minnesota_UnitedStates.NYT_ConfirmedCases.missing|Aitkin_Minnesota_UnitedStates.JHU_ConfirmedDeaths.data|Aitkin_Minnesota_UnitedStates.JHU_ConfirmedDeaths.missing|Aitkin_Minnesota_UnitedStates.JHU_ConfirmedRecoveries.data|Aitkin_Minnesota_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|1784.0|0|1784.0|0|42.0|0|0.0|100
0|2021-10-18|1792.0|0|1792.0|0|42.0|0|0.0|100
0|2021-10-19|1815.0|0|1815.0|0|42.0|0|0.0|100
0|2021-10-20|1824.0|0|1824.0|0|43.0|0|0.0|100
0|2021-10-21|1825.0|0|1825.0|0|43.0|0|0.0|100
0|2021-10-22|1840.0|0|1840.0|0|43.0|0|0.0|100
0|2021-10-23|1840.0|0|1840.0|0|43.0|0|0.0|100
0|2021-10-24|1840.0|0|1840.0|0|43.0|0|0.0|100
0|2021-10-25|1857.0|0|1857.0|0|43.0|0|0.0|100
0|2021-10-26|1871.0|0|1871.0|0|43.0|0|0.0|100
0|2021-10-27|1877.0|0|1877.0|0|44.0|0|0.0|100
0|2021-10-28|1883.0|0|1883.0|0|44.0|0|0.0|100
0|2021-10-29|1893.0|0|1893.0|0|44.0|0|0.0|100
0|2021-10-30|1893.0|0|1893.0|0|44.0|0|0.0|100
0|2021-10-31|1893.0|0|1893.0|0|44.0|0|0.0|100
0|2021-11-01|1916.0|0|1916.0|0|44.0|0|0.0|100
0|2021-11-02|1943.0|0|1943.0|0|45.0|0|0.0|100
0|2021-11-03|1949.0|0|1949.0|0|46.0|0|0.0|100
0|2021-11-04|1953.0|0|1953.0|0|46.0|0|0.0|100
0|2021-11-05|1971.0|0|1971.0|0|46.0|0|0.0|100
0|2021-11-06|1971.0|0|1971.0|0|46.0|0|0.0|100
0|2021-11-07|1971.0|0|1971.0|0|46.0|0|0.0|100
0|2021-11-08|1978.0|0|1978.0|0|46.0|0|0.0|100
0|2021-11-09|2006.0|0|2006.0|0|46.0|0|0.0|100
0|2021-11-10|2018.0|0|2018.0|0|46.0|0|0.0|100
0|2021-11-11|2025.0|0|2025.0|0|46.0|0|0.0|100
0|2021-11-12|2043.0|0|2043.0|0|46.0|0|0.0|100
0|2021-11-13|2043.0|0|2043.0|0|46.0|0|0.0|100
0|2021-11-14|2043.0|0|2043.0|0|46.0|0|0.0|100
0|2021-11-15|2053.0|0|2053.0|0|46.0|0|0.0|100
0|2021-11-16|2072.0|0|2072.0|0|47.0|0|0.0|100
0|2021-11-17|2079.0|0|2079.0|0|47.0|0|0.0|100
0|2021-11-18|2094.0|0|2094.0|0|47.0|0|0.0|100
0|2021-11-19|2107.0|0|2107.0|0|47.0|0|0.0|100
0|2021-11-20|2107.0|0|2107.0|0|47.0|0|0.0|100
0|2021-11-21|2107.0|0|2107.0|0|47.0|0|0.0|100
0|2021-11-22|2119.0|0|2119.0|0|48.0|0|0.0|100
0|2021-11-23|2147.0|0|2147.0|0|50.0|0|0.0|100
0|2021-11-24|2153.0|0|2153.0|0|50.0|0|0.0|100
0|2021-11-25|2153.0|0|2153.0|0|50.0|0|0.0|100
