|dates|Cass_Nebraska_UnitedStates.JHU_ConfirmedCases.data|Cass_Nebraska_UnitedStates.JHU_ConfirmedCases.missing|Cass_Nebraska_UnitedStates.NYT_ConfirmedCases.data|Cass_Nebraska_UnitedStates.NYT_ConfirmedCases.missing|Cass_Nebraska_UnitedStates.JHU_ConfirmedDeaths.data|Cass_Nebraska_UnitedStates.JHU_ConfirmedDeaths.missing|Cass_Nebraska_UnitedStates.JHU_ConfirmedRecoveries.data|Cass_Nebraska_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|3440.0|0|3440.0|0|16.0|0|0.0|100
0|2021-10-18|3457.0|0|3457.0|0|16.0|0|0.0|100
0|2021-10-19|3468.0|0|3468.0|0|16.0|0|0.0|100
0|2021-10-20|3474.0|0|3474.0|0|16.0|0|0.0|100
0|2021-10-21|3486.0|0|3486.0|0|16.0|0|0.0|100
0|2021-10-22|3486.0|0|3486.0|0|16.0|0|0.0|100
0|2021-10-23|3486.0|0|3486.0|0|16.0|0|0.0|100
0|2021-10-24|3486.0|0|3486.0|0|16.0|0|0.0|100
0|2021-10-25|3486.0|0|3486.0|0|16.0|0|0.0|100
0|2021-10-26|3486.0|0|3489.0|0|16.0|0|0.0|100
0|2021-10-27|3529.0|0|3529.0|0|16.0|0|0.0|100
0|2021-10-28|3529.0|0|3529.0|0|16.0|0|0.0|100
0|2021-10-29|3529.0|0|3542.0|0|16.0|0|0.0|100
0|2021-10-30|3529.0|0|3542.0|0|16.0|0|0.0|100
0|2021-10-31|3529.0|0|3547.0|0|16.0|0|0.0|100
0|2021-11-01|3529.0|0|3561.0|0|16.0|0|0.0|100
0|2021-11-02|3529.0|0|3561.0|0|16.0|0|0.0|100
0|2021-11-03|3580.0|0|3580.0|0|16.0|0|0.0|100
0|2021-11-04|3580.0|0|3580.0|0|16.0|0|0.0|100
0|2021-11-05|3580.0|0|3580.0|0|16.0|0|0.0|100
0|2021-11-06|3580.0|0|3580.0|0|16.0|0|0.0|100
0|2021-11-07|3580.0|0|3580.0|0|16.0|0|0.0|100
0|2021-11-08|3634.0|0|3634.0|0|16.0|0|0.0|100
0|2021-11-09|3652.0|0|3652.0|0|16.0|0|0.0|100
