|dates|Deschutes_Oregon_UnitedStates.AveragePrecipitationTotal.data|Deschutes_Oregon_UnitedStates.AveragePrecipitationTotal.missing|Deschutes_Oregon_UnitedStates.AveragePrecipitation.data|Deschutes_Oregon_UnitedStates.AveragePrecipitation.missing|Deschutes_Oregon_UnitedStates.AverageWindDirection.data|Deschutes_Oregon_UnitedStates.AverageWindDirection.missing|Deschutes_Oregon_UnitedStates.AverageWindSpeed.data|Deschutes_Oregon_UnitedStates.AverageWindSpeed.missing
0|2021-10-17|0.0|0|0.00010416666666666667|0|192.76041666666666|0|7.578125|0
0|2021-10-18|0.0|0|0.00010416666666666667|0|128.22916666666666|0|3.4114583333333335|0
0|2021-10-19|0.0|0|0.0|0|181.51041666666666|0|9.739583333333334|0
0|2021-10-20|0.0|0|0.000625|0|179.47916666666666|0|10.489583333333334|0
0|2021-10-21|0.0|0|0.0009375|0|151.14583333333334|0|8.333333333333334|0
0|2021-10-22|0.0|0|0.006770833333333334|0|183.22916666666666|0|6.927083333333333|0
0|2021-10-23|0.0|0|0.00020833333333333335|0|181.45833333333334|0|8.052083333333334|0
0|2021-10-24|0.0|0|0.002291666666666667|0|179.58333333333334|0|15.489583333333334|0
0|2021-10-25|0.0|0|0.0|0|196.5625|0|12.177083333333334|0
0|2021-10-26|0.0|0|0.0|0|197.5|0|13.885416666666666|0
0|2021-10-27|0.0|0|0.0|0|165.72916666666666|0|8.427083333333334|0
0|2021-10-28|0.0|0|0.0|0|213.85416666666666|0|12.385416666666666|0
0|2021-10-29|0.0|0|0.000625|0|185.625|0|6.020833333333333|0
0|2021-10-30|0.0|0|0.0|0|331.9791666666667|0|7.96875|0
0|2021-10-31|0.0|0|0.0|0|180.20833333333334|0|2.8229166666666665|0
0|2021-11-01|0.0|0|0.004791666666666667|0|36.458333333333336|0|0.625|0
0|2021-11-02|0.0|0|0.0|0|91.40625|0|3.2395833333333335|0
0|2021-11-03|0.0|0|0.0|0|124.89583333333333|0|4.583333333333333|0
0|2021-11-04|0.0|0|0.00020833333333333335|0|180.41666666666666|0|12.71875|0
0|2021-11-05|0.0|0|0.0|0|186.04166666666666|0|7.375|0
