|dates|Lake_SouthDakota_UnitedStates.JHU_ConfirmedCases.data|Lake_SouthDakota_UnitedStates.JHU_ConfirmedCases.missing|Lake_SouthDakota_UnitedStates.NYT_ConfirmedCases.data|Lake_SouthDakota_UnitedStates.NYT_ConfirmedCases.missing|Lake_SouthDakota_UnitedStates.JHU_ConfirmedDeaths.data|Lake_SouthDakota_UnitedStates.JHU_ConfirmedDeaths.missing|Lake_SouthDakota_UnitedStates.JHU_ConfirmedRecoveries.data|Lake_SouthDakota_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|1545.0|0|1545.0|0|20.0|0|0.0|100
0|2021-10-18|1545.0|0|1546.0|0|20.0|0|0.0|100
0|2021-10-19|1545.0|0|1549.0|0|20.0|0|0.0|100
0|2021-10-20|1551.0|0|1551.0|0|20.0|0|0.0|100
0|2021-10-21|1551.0|0|1551.0|0|20.0|0|0.0|100
0|2021-10-22|1552.0|0|1552.0|0|20.0|0|0.0|100
0|2021-10-23|1552.0|0|1552.0|0|20.0|0|0.0|100
0|2021-10-24|1552.0|0|1552.0|0|20.0|0|0.0|100
0|2021-10-25|1555.0|0|1555.0|0|20.0|0|0.0|100
0|2021-10-26|1558.0|0|1558.0|0|20.0|0|0.0|100
0|2021-10-27|1572.0|0|1572.0|0|20.0|0|0.0|100
0|2021-10-28|1572.0|0|1572.0|0|20.0|0|0.0|100
0|2021-10-29|1572.0|0|1572.0|0|20.0|0|0.0|100
0|2021-10-30|1572.0|0|1572.0|0|20.0|0|0.0|100
0|2021-10-31|1572.0|0|1572.0|0|20.0|0|0.0|100
0|2021-11-01|1575.0|0|1575.0|0|20.0|0|0.0|100
0|2021-11-02|1579.0|0|1579.0|0|20.0|0|0.0|100
0|2021-11-03|1584.0|0|1584.0|0|20.0|0|0.0|100
0|2021-11-04|1585.0|0|1585.0|0|20.0|0|0.0|100
0|2021-11-05|1590.0|0|1590.0|0|20.0|0|0.0|100
0|2021-11-06|1590.0|0|1590.0|0|20.0|0|0.0|100
0|2021-11-07|1590.0|0|1590.0|0|20.0|0|0.0|100
0|2021-11-08|1589.0|0|1589.0|0|20.0|0|0.0|100
0|2021-11-09|1593.0|0|1593.0|0|20.0|0|0.0|100
0|2021-11-10|1599.0|0|1599.0|0|20.0|0|0.0|100
0|2021-11-11|1599.0|0|1599.0|0|20.0|0|0.0|100
0|2021-11-12|1605.0|0|1605.0|0|20.0|0|0.0|100
0|2021-11-13|1605.0|0|1605.0|0|20.0|0|0.0|100
0|2021-11-14|1605.0|0|1605.0|0|20.0|0|0.0|100
0|2021-11-15|1610.0|0|1610.0|0|20.0|0|0.0|100
0|2021-11-16|1611.0|0|1611.0|0|20.0|0|0.0|100
0|2021-11-17|1614.0|0|1614.0|0|20.0|0|0.0|100
0|2021-11-18|1623.0|0|1623.0|0|20.0|0|0.0|100
0|2021-11-19|1625.0|0|1625.0|0|20.0|0|0.0|100
0|2021-11-20|1625.0|0|1625.0|0|20.0|0|0.0|100
0|2021-11-21|1625.0|0|1625.0|0|20.0|0|0.0|100
0|2021-11-22|1627.0|0|1627.0|0|20.0|0|0.0|100
0|2021-11-23|1632.0|0|1632.0|0|20.0|0|0.0|100
0|2021-11-24|1637.0|0|1637.0|0|20.0|0|0.0|100
0|2021-11-25|1637.0|0|1637.0|0|20.0|0|0.0|100
0|2021-11-26|1637.0|0|1637.0|0|20.0|0|0.0|100
0|2021-11-27|1637.0|0|1637.0|0|20.0|0|0.0|100
0|2021-11-28|1637.0|0|1637.0|0|20.0|0|0.0|100
0|2021-11-29|1647.0|0|1647.0|0|20.0|0|0.0|100
