|dates|Greenville_SouthCarolina_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Greenville_SouthCarolina_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Greenville_SouthCarolina_UnitedStates.Male_Total_Population.data|Greenville_SouthCarolina_UnitedStates.Male_Total_Population.missing|Greenville_SouthCarolina_UnitedStates.Female_Total_Population.data|Greenville_SouthCarolina_UnitedStates.Female_Total_Population.missing|Greenville_SouthCarolina_UnitedStates.MaleAndFemale_Under18_Population.data|Greenville_SouthCarolina_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-10-17|81136.0|0|249364.0|0|264849.0|0|118364.0|0
0|2021-10-18|81136.0|0|249364.0|0|264849.0|0|118364.0|0
0|2021-10-19|81136.0|0|249364.0|0|264849.0|0|118364.0|0
0|2021-10-20|81136.0|0|249364.0|0|264849.0|0|118364.0|0
0|2021-10-21|81136.0|0|249364.0|0|264849.0|0|118364.0|0
0|2021-10-22|81136.0|0|249364.0|0|264849.0|0|118364.0|0
0|2021-10-23|81136.0|0|249364.0|0|264849.0|0|118364.0|0
0|2021-10-24|81136.0|0|249364.0|0|264849.0|0|118364.0|0
0|2021-10-25|81136.0|0|249364.0|0|264849.0|0|118364.0|0
0|2021-10-26|81136.0|0|249364.0|0|264849.0|0|118364.0|0
0|2021-10-27|81136.0|0|249364.0|0|264849.0|0|118364.0|0
0|2021-10-28|81136.0|0|249364.0|0|264849.0|0|118364.0|0
0|2021-10-29|81136.0|0|249364.0|0|264849.0|0|118364.0|0
0|2021-10-30|81136.0|0|249364.0|0|264849.0|0|118364.0|0
0|2021-10-31|81136.0|0|249364.0|0|264849.0|0|118364.0|0
0|2021-11-01|81136.0|0|249364.0|0|264849.0|0|118364.0|0
0|2021-11-02|81136.0|0|249364.0|0|264849.0|0|118364.0|0
0|2021-11-03|81136.0|0|249364.0|0|264849.0|0|118364.0|0
0|2021-11-04|81136.0|0|249364.0|0|264849.0|0|118364.0|0
0|2021-11-05|81136.0|0|249364.0|0|264849.0|0|118364.0|0
0|2021-11-06|81136.0|0|249364.0|0|264849.0|0|118364.0|0
0|2021-11-07|81136.0|0|249364.0|0|264849.0|0|118364.0|0
0|2021-11-08|81136.0|0|249364.0|0|264849.0|0|118364.0|0
0|2021-11-09|81136.0|0|249364.0|0|264849.0|0|118364.0|0
0|2021-11-10|81136.0|0|249364.0|0|264849.0|0|118364.0|0
0|2021-11-11|81136.0|0|249364.0|0|264849.0|0|118364.0|0
0|2021-11-12|81136.0|0|249364.0|0|264849.0|0|118364.0|0
0|2021-11-13|81136.0|0|249364.0|0|264849.0|0|118364.0|0
0|2021-11-14|81136.0|0|249364.0|0|264849.0|0|118364.0|0
0|2021-11-15|81136.0|0|249364.0|0|264849.0|0|118364.0|0
0|2021-11-16|81136.0|0|249364.0|0|264849.0|0|118364.0|0
0|2021-11-17|81136.0|0|249364.0|0|264849.0|0|118364.0|0
0|2021-11-18|81136.0|0|249364.0|0|264849.0|0|118364.0|0
0|2021-11-19|81136.0|0|249364.0|0|264849.0|0|118364.0|0
0|2021-11-20|81136.0|0|249364.0|0|264849.0|0|118364.0|0
0|2021-11-21|81136.0|0|249364.0|0|264849.0|0|118364.0|0
0|2021-11-22|81136.0|0|249364.0|0|264849.0|0|118364.0|0
0|2021-11-23|81136.0|0|249364.0|0|264849.0|0|118364.0|0
