|dates|Hawkins_Tennessee_UnitedStates.JHU_ConfirmedCases.data|Hawkins_Tennessee_UnitedStates.JHU_ConfirmedCases.missing|Hawkins_Tennessee_UnitedStates.NYT_ConfirmedCases.data|Hawkins_Tennessee_UnitedStates.NYT_ConfirmedCases.missing|Hawkins_Tennessee_UnitedStates.JHU_ConfirmedDeaths.data|Hawkins_Tennessee_UnitedStates.JHU_ConfirmedDeaths.missing|Hawkins_Tennessee_UnitedStates.JHU_ConfirmedRecoveries.data|Hawkins_Tennessee_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-12-27|11374.0|0|11374.0|0|225.0|0|0.0|100
0|2021-12-28|11374.0|0|11420.0|0|235.0|0|0.0|100
0|2021-12-29|11447.0|0|11447.0|0|236.0|0|0.0|100
0|2021-12-30|11519.0|0|11519.0|0|240.0|0|0.0|100
0|2021-12-31|11519.0|0|11519.0|0|240.0|0|0.0|100
0|2022-01-01|11519.0|0|11519.0|0|240.0|0|0.0|100
0|2022-01-02|11519.0|0|11519.0|0|240.0|0|0.0|100
0|2022-01-03|11657.0|0|11657.0|0|240.0|0|0.0|100
0|2022-01-04|11689.0|0|11689.0|0|241.0|0|0.0|100
0|2022-01-05|11689.0|0|11689.0|0|241.0|0|0.0|100
0|2022-01-06|11689.0|0|11689.0|0|241.0|0|0.0|100
0|2022-01-07|11689.0|0|11689.0|0|241.0|0|0.0|100
0|2022-01-08|11689.0|0|11689.0|0|241.0|0|0.0|100
0|2022-01-09|11689.0|0|11689.0|0|241.0|0|0.0|100
0|2022-01-10|11689.0|0|11689.0|0|241.0|0|0.0|100
0|2022-01-11|11689.0|0|11689.0|0|241.0|0|0.0|100
0|2022-01-12|12069.0|0|12069.0|0|245.0|0|0.0|100
0|2022-01-13|12069.0|0|12069.0|0|245.0|0|0.0|100
0|2022-01-14|12069.0|0|12069.0|0|245.0|0|0.0|100
0|2022-01-15|12069.0|0|12069.0|0|245.0|0|0.0|100
0|2022-01-16|12069.0|0|12069.0|0|245.0|0|0.0|100
0|2022-01-17|12069.0|0|0.0|100|245.0|0|0.0|100
