|dates|Hyde_NorthCarolina_UnitedStates.JHU_ConfirmedCases.data|Hyde_NorthCarolina_UnitedStates.JHU_ConfirmedCases.missing|Hyde_NorthCarolina_UnitedStates.NYT_ConfirmedCases.data|Hyde_NorthCarolina_UnitedStates.NYT_ConfirmedCases.missing|Hyde_NorthCarolina_UnitedStates.JHU_ConfirmedDeaths.data|Hyde_NorthCarolina_UnitedStates.JHU_ConfirmedDeaths.missing|Hyde_NorthCarolina_UnitedStates.JHU_ConfirmedRecoveries.data|Hyde_NorthCarolina_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|822.0|0|822.0|0|12.0|0|0.0|100
0|2021-10-18|824.0|0|824.0|0|12.0|0|0.0|100
0|2021-10-19|824.0|0|824.0|0|12.0|0|0.0|100
0|2021-10-20|825.0|0|825.0|0|12.0|0|0.0|100
0|2021-10-21|825.0|0|825.0|0|12.0|0|0.0|100
0|2021-10-22|825.0|0|825.0|0|12.0|0|0.0|100
0|2021-10-23|825.0|0|825.0|0|12.0|0|0.0|100
0|2021-10-24|825.0|0|825.0|0|12.0|0|0.0|100
0|2021-10-25|825.0|0|825.0|0|12.0|0|0.0|100
0|2021-10-26|825.0|0|825.0|0|12.0|0|0.0|100
0|2021-10-27|825.0|0|825.0|0|12.0|0|0.0|100
0|2021-10-28|825.0|0|825.0|0|12.0|0|0.0|100
0|2021-10-29|826.0|0|826.0|0|12.0|0|0.0|100
0|2021-10-30|826.0|0|826.0|0|12.0|0|0.0|100
0|2021-10-31|826.0|0|826.0|0|12.0|0|0.0|100
0|2021-11-01|829.0|0|829.0|0|12.0|0|0.0|100
0|2021-11-02|829.0|0|829.0|0|12.0|0|0.0|100
0|2021-11-03|829.0|0|829.0|0|12.0|0|0.0|100
0|2021-11-04|830.0|0|830.0|0|12.0|0|0.0|100
0|2021-11-05|830.0|0|830.0|0|12.0|0|0.0|100
0|2021-11-06|830.0|0|830.0|0|12.0|0|0.0|100
0|2021-11-07|830.0|0|830.0|0|12.0|0|0.0|100
0|2021-11-08|832.0|0|832.0|0|12.0|0|0.0|100
0|2021-11-09|832.0|0|832.0|0|12.0|0|0.0|100
0|2021-11-10|832.0|0|835.0|0|12.0|0|0.0|100
0|2021-11-11|835.0|0|835.0|0|12.0|0|0.0|100
0|2021-11-12|836.0|0|836.0|0|12.0|0|0.0|100
0|2021-11-13|836.0|0|836.0|0|12.0|0|0.0|100
0|2021-11-14|836.0|0|836.0|0|12.0|0|0.0|100
0|2021-11-15|841.0|0|841.0|0|12.0|0|0.0|100
0|2021-11-16|841.0|0|841.0|0|12.0|0|0.0|100
0|2021-11-17|841.0|0|841.0|0|12.0|0|0.0|100
0|2021-11-18|844.0|0|844.0|0|12.0|0|0.0|100
0|2021-11-19|849.0|0|849.0|0|12.0|0|0.0|100
