|dates|Shelby_Kentucky_UnitedStates.JHU_ConfirmedCases.data|Shelby_Kentucky_UnitedStates.JHU_ConfirmedCases.missing|Shelby_Kentucky_UnitedStates.NYT_ConfirmedCases.data|Shelby_Kentucky_UnitedStates.NYT_ConfirmedCases.missing|Shelby_Kentucky_UnitedStates.JHU_ConfirmedDeaths.data|Shelby_Kentucky_UnitedStates.JHU_ConfirmedDeaths.missing|Shelby_Kentucky_UnitedStates.JHU_ConfirmedRecoveries.data|Shelby_Kentucky_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|6882.0|0|6882.0|0|104.0|0|0.0|100
0|2021-10-18|6912.0|0|6912.0|0|105.0|0|0.0|100
0|2021-10-19|6924.0|0|6924.0|0|105.0|0|0.0|100
0|2021-10-20|6934.0|0|6934.0|0|105.0|0|0.0|100
0|2021-10-21|6948.0|0|6948.0|0|105.0|0|0.0|100
0|2021-10-22|6970.0|0|6970.0|0|105.0|0|0.0|100
0|2021-10-23|6970.0|0|6970.0|0|105.0|0|0.0|100
0|2021-10-24|6970.0|0|6970.0|0|105.0|0|0.0|100
0|2021-10-25|7006.0|0|7006.0|0|105.0|0|0.0|100
0|2021-10-26|7020.0|0|7020.0|0|105.0|0|0.0|100
0|2021-10-27|7047.0|0|7047.0|0|105.0|0|0.0|100
0|2021-10-28|7059.0|0|7059.0|0|105.0|0|0.0|100
0|2021-10-29|7075.0|0|7075.0|0|105.0|0|0.0|100
0|2021-10-30|7075.0|0|7075.0|0|105.0|0|0.0|100
0|2021-10-31|7075.0|0|7075.0|0|105.0|0|0.0|100
0|2021-11-01|7090.0|0|7090.0|0|105.0|0|0.0|100
0|2021-11-02|7099.0|0|7099.0|0|105.0|0|0.0|100
0|2021-11-03|7110.0|0|7110.0|0|105.0|0|0.0|100
0|2021-11-04|7129.0|0|7129.0|0|105.0|0|0.0|100
0|2021-11-05|7142.0|0|7142.0|0|110.0|0|0.0|100
0|2021-11-06|7142.0|0|7142.0|0|110.0|0|0.0|100
0|2021-11-07|7142.0|0|7142.0|0|110.0|0|0.0|100
0|2021-11-08|7183.0|0|7183.0|0|111.0|0|0.0|100
0|2021-11-09|7202.0|0|7202.0|0|111.0|0|0.0|100
0|2021-11-10|7202.0|0|7242.0|0|111.0|0|0.0|100
0|2021-11-11|7242.0|0|7242.0|0|111.0|0|0.0|100
0|2021-11-12|7270.0|0|7270.0|0|111.0|0|0.0|100
0|2021-11-13|7270.0|0|7270.0|0|111.0|0|0.0|100
0|2021-11-14|7270.0|0|7270.0|0|111.0|0|0.0|100
0|2021-11-15|7310.0|0|7310.0|0|111.0|0|0.0|100
0|2021-11-16|7325.0|0|7325.0|0|111.0|0|0.0|100
0|2021-11-17|7348.0|0|7348.0|0|112.0|0|0.0|100
0|2021-11-18|7362.0|0|7362.0|0|112.0|0|0.0|100
0|2021-11-19|7362.0|0|7362.0|0|114.0|0|0.0|100
0|2021-11-20|7362.0|0|7362.0|0|114.0|0|0.0|100
0|2021-11-21|7362.0|0|7362.0|0|114.0|0|0.0|100
0|2021-11-22|7439.0|0|7439.0|0|114.0|0|0.0|100
0|2021-11-23|7470.0|0|7470.0|0|114.0|0|0.0|100
0|2021-11-24|7489.0|0|7489.0|0|114.0|0|0.0|100
0|2021-11-25|7489.0|0|7489.0|0|114.0|0|0.0|100
0|2021-11-26|7489.0|0|7489.0|0|114.0|0|0.0|100
0|2021-11-27|7489.0|0|7489.0|0|114.0|0|0.0|100
0|2021-11-28|7489.0|0|7489.0|0|114.0|0|0.0|100
0|2021-11-29|7543.0|0|7543.0|0|115.0|0|0.0|100
0|2021-11-30|7558.0|0|7558.0|0|115.0|0|0.0|100
0|2021-12-01|7579.0|0|7579.0|0|115.0|0|0.0|100
0|2021-12-02|7579.0|0|7606.0|0|115.0|0|0.0|100
0|2021-12-03|7628.0|0|7628.0|0|116.0|0|0.0|100
0|2021-12-04|7628.0|0|7628.0|0|116.0|0|0.0|100
0|2021-12-05|7628.0|0|7628.0|0|116.0|0|0.0|100
0|2021-12-06|7683.0|0|7683.0|0|117.0|0|0.0|100
0|2021-12-07|7697.0|0|7697.0|0|117.0|0|0.0|100
0|2021-12-08|7724.0|0|7724.0|0|117.0|0|0.0|100
0|2021-12-09|7747.0|0|7747.0|0|117.0|0|0.0|100
0|2021-12-10|7765.0|0|7765.0|0|118.0|0|0.0|100
0|2021-12-11|7765.0|0|7765.0|0|118.0|0|0.0|100
0|2021-12-12|7765.0|0|7765.0|0|118.0|0|0.0|100
0|2021-12-13|7798.0|0|7798.0|0|121.0|0|0.0|100
0|2021-12-14|7798.0|0|7815.0|0|121.0|0|0.0|100
0|2021-12-15|7828.0|0|7828.0|0|121.0|0|0.0|100
0|2021-12-16|7840.0|0|7840.0|0|122.0|0|0.0|100
0|2021-12-17|7860.0|0|7860.0|0|122.0|0|0.0|100
0|2021-12-18|7860.0|0|7860.0|0|122.0|0|0.0|100
0|2021-12-19|7860.0|0|7860.0|0|122.0|0|0.0|100
