|dates|Surry_NorthCarolina_UnitedStates.BLS_EmployedPopulation.data|Surry_NorthCarolina_UnitedStates.BLS_EmployedPopulation.missing|Surry_NorthCarolina_UnitedStates.BLS_UnemployedPopulation.data|Surry_NorthCarolina_UnitedStates.BLS_UnemployedPopulation.missing|Surry_NorthCarolina_UnitedStates.BLS_UnemploymentRate.data|Surry_NorthCarolina_UnitedStates.BLS_UnemploymentRate.missing|Surry_NorthCarolina_UnitedStates.BLS_LaborForcePopulation.data|Surry_NorthCarolina_UnitedStates.BLS_LaborForcePopulation.missing
0|2021-12-17|31083.0|0|1320.0|0|4.0736968799185265|0|32403.0|0
0|2021-12-18|31083.0|0|1320.0|0|4.0736968799185265|0|32403.0|0
0|2021-12-19|31083.0|0|1320.0|0|4.0736968799185265|0|32403.0|0
0|2021-12-20|31083.0|0|1320.0|0|4.0736968799185265|0|32403.0|0
0|2021-12-21|31083.0|0|1320.0|0|4.0736968799185265|0|32403.0|0
0|2021-12-22|31083.0|0|1320.0|0|4.0736968799185265|0|32403.0|0
0|2021-12-23|31083.0|0|1320.0|0|4.0736968799185265|0|32403.0|0
0|2021-12-24|31083.0|0|1320.0|0|4.0736968799185265|0|32403.0|0
0|2021-12-25|31083.0|0|1320.0|0|4.0736968799185265|0|32403.0|0
0|2021-12-26|31083.0|0|1320.0|0|4.0736968799185265|0|32403.0|0
0|2021-12-27|31083.0|0|1320.0|0|4.0736968799185265|0|32403.0|0
0|2021-12-28|31083.0|0|1320.0|0|4.0736968799185265|0|32403.0|0
0|2021-12-29|31083.0|0|1320.0|0|4.0736968799185265|0|32403.0|0
0|2021-12-30|31083.0|0|1320.0|0|4.0736968799185265|0|32403.0|0
0|2021-12-31|31083.0|0|1320.0|0|4.0736968799185265|0|32403.0|0
0|2022-01-01|31083.0|0|1320.0|0|4.0736968799185265|0|32403.0|0
0|2022-01-02|31083.0|0|1320.0|0|4.0736968799185265|0|32403.0|0
0|2022-01-03|31083.0|0|1320.0|0|4.0736968799185265|0|32403.0|0
0|2022-01-04|31083.0|0|1320.0|0|4.0736968799185265|0|32403.0|0
0|2022-01-05|31083.0|0|1320.0|0|4.0736968799185265|0|32403.0|0
0|2022-01-06|31083.0|0|1320.0|0|4.0736968799185265|0|32403.0|0
0|2022-01-07|31083.0|0|1320.0|0|4.0736968799185265|0|32403.0|0
0|2022-01-08|31083.0|0|1320.0|0|4.0736968799185265|0|32403.0|0
0|2022-01-09|31083.0|0|1320.0|0|4.0736968799185265|0|32403.0|0
0|2022-01-10|31083.0|0|1320.0|0|4.0736968799185265|0|32403.0|0
0|2022-01-11|31083.0|0|1320.0|0|4.0736968799185265|0|32403.0|0
0|2022-01-12|31083.0|0|1320.0|0|4.0736968799185265|0|32403.0|0
0|2022-01-13|31083.0|0|1320.0|0|4.0736968799185265|0|32403.0|0
0|2022-01-14|31083.0|0|1320.0|0|4.0736968799185265|0|32403.0|0
0|2022-01-15|31083.0|0|1320.0|0|4.0736968799185265|0|32403.0|0
0|2022-01-16|31083.0|0|1320.0|0|4.0736968799185265|0|32403.0|0
0|2022-01-17|31083.0|0|1320.0|0|4.0736968799185265|0|32403.0|0
