|dates|Hancock_Indiana_UnitedStates.AveragePrecipitationTotal.data|Hancock_Indiana_UnitedStates.AveragePrecipitationTotal.missing|Hancock_Indiana_UnitedStates.AveragePrecipitation.data|Hancock_Indiana_UnitedStates.AveragePrecipitation.missing|Hancock_Indiana_UnitedStates.AverageWindDirection.data|Hancock_Indiana_UnitedStates.AverageWindDirection.missing|Hancock_Indiana_UnitedStates.AverageWindSpeed.data|Hancock_Indiana_UnitedStates.AverageWindSpeed.missing
0|2021-10-17|0.0|0|0.0|0|256.6666666666667|0|7.34375|0
0|2021-10-18|0.0|0|0.0|0|139.79166666666666|0|3.4375|0
0|2021-10-19|0.0|0|0.0|0|117.39583333333333|0|3.3020833333333335|0
0|2021-10-20|0.0|0|0.0|0|156.97916666666666|0|6.5625|0
0|2021-10-21|0.0|0|0.0|0|229.79166666666666|0|11.916666666666666|0
0|2021-10-22|0.0|0|0.0|0|155.41666666666666|0|5.177083333333333|0
0|2021-10-23|0.0|0|0.0|0|175.625|0|4.0625|0
0|2021-10-24|0.0|0|0.0|0|111.04166666666667|0|6.119791666666667|0
0|2021-10-25|0.0|0|0.0|0|234.79166666666666|0|11.697916666666666|0
0|2021-10-26|0.0|0|0.0|0|288.6458333333333|0|7.833333333333333|0
0|2021-10-27|0.0|0|0.0|0|64.89583333333333|0|4.770833333333333|0
0|2021-10-28|0.0|0|0.0|0|108.85416666666667|0|9.958333333333334|0
0|2021-10-29|0.0|0|0.0|0|214.47916666666666|0|6.3125|0
0|2021-10-30|0.0|0|0.0|0|336.4583333333333|0|10.354166666666666|0
0|2021-10-31|0.0|0|0.0|0|269.2708333333333|0|9.864583333333334|0
0|2021-11-01|0.0|0|0.0|0|243.54166666666666|0|6.229166666666667|0
0|2021-11-02|0.0|0|0.0|0|273.3333333333333|0|7.239583333333333|0
0|2021-11-03|0.0|0|0.0|0|24.166666666666668|0|0.3541666666666667|0
0|2021-11-04|0.0|0|0.0|0|88.33333333333333|0|2.1354166666666665|0
0|2021-11-05|0.0|0|0.0|0|46.770833333333336|0|2.3958333333333335|0
0|2021-11-06|0.0|0|0.0|0|94.58333333333333|0|2.46875|0
0|2021-11-07|0.0|0|0.0|0|135.3125|0|3.6979166666666665|0
0|2021-11-08|0.0|0|0.0|0|177.91666666666666|0|7.364583333333333|0
0|2021-11-09|0.0|0|0.0|0|170.72916666666666|0|4.885416666666667|0
0|2021-11-10|0.0|0|0.0|0|113.02083333333333|0|5.677083333333333|0
0|2021-11-11|0.0|0|0.0|0|187.8125|0|11.083333333333334|0
0|2021-11-12|0.0|0|0.0|0|222.91666666666666|0|14.34375|0
0|2021-11-13|0.0|0|0.0|0|241.04166666666666|0|13.364583333333334|0
0|2021-11-14|0.0|0|0.0|0|231.66666666666666|0|14.729166666666666|0
0|2021-11-15|0.0|0|0.0|0|212.60416666666666|0|7.46875|0
0|2021-11-16|0.0|0|0.0|0|105.15625|0|6.692708333333333|0
0|2021-11-17|0.0|0|0.0|0|202.8125|0|12.838541666666666|0
0|2021-11-18|0.0|0|0.0|0|278.3333333333333|0|15.4375|0
0|2021-11-19|0.0|0|0.0|0|184.63541666666666|0|6.677083333333333|0
0|2021-11-20|0.0|0|0.0|0|132.29166666666666|0|5.260416666666667|0
0|2021-11-21|0.0|0|0.0|0|198.125|0|7.791666666666667|0
0|2021-11-22|0.0|0|0.0|0|288.8541666666667|0|8.333333333333334|0
0|2021-11-23|0.0|0|0.0|0|175.41666666666666|0|5.645833333333333|0
0|2021-11-24|0.0|0|0.0|0|168.33333333333334|0|10.5625|0
0|2021-11-25|0.0|0|0.0|0|240.83333333333334|0|13.104166666666666|0
0|2021-11-26|0.0|0|0.0|0|261.6666666666667|0|8.677083333333334|0
0|2021-11-27|0.0|0|0.0|0|186.35416666666666|0|7.479166666666667|0
0|2021-11-28|0.0|0|0.0|0|284.7916666666667|0|10.3125|0
0|2021-11-29|0.0|0|0.0|0|170.26041666666666|0|6.4375|0
0|2021-11-30|0.0|0|0.0|0|230.41666666666666|0|7.609375|0
0|2021-12-01|0.0|0|0.0|0|153.02083333333334|0|5.901041666666667|0
0|2021-12-02|0.0|0|0.0|0|233.22916666666666|0|11.432291666666666|0
0|2021-12-03|0.0|0|0.0|0|77.91666666666667|0|5.864583333333333|0
0|2021-12-04|0.0|0|0.0|0|193.4375|0|6.083333333333333|0
0|2021-12-05|0.0|0|0.0|0|134.58333333333334|0|11.364583333333334|0
0|2021-12-06|0.0|0|0.0|0|279.1666666666667|0|17.635416666666668|0
0|2021-12-07|0.0|0|0.0|0|183.95833333333334|0|4.625|0
0|2021-12-08|0.0|0|0.0|0|173.33333333333334|0|7.0625|0
0|2021-12-09|0.0|0|0.0|0|152.60416666666666|0|8.260416666666666|0
0|2021-12-10|0.0|0|0.0|0|150.20833333333334|0|8.541666666666666|0
0|2021-12-11|0.0|0|0.0|0|249.79166666666666|0|27.84375|0
0|2021-12-12|0.0|0|0.0|0|280.0|0|35.0|0
0|2021-12-13|0.0|0|0.0|0|228.64583333333334|0|26.567708333333332|0
0|2021-12-14|0.0|0|0.0|0|131.04166666666666|0|6.921875|0
0|2021-12-15|0.0|0|0.0|0|176.82291666666666|0|11.979166666666666|0
0|2021-12-16|0.0|0|0.0|0|223.95833333333334|0|12.869791666666666|0
0|2021-12-17|0.0|0|0.0|0|89.58333333333333|0|4.958333333333333|0
0|2021-12-18|0.0|0|0.0|0|228.64583333333334|0|9.489583333333334|0
