|dates|Cheatham_Tennessee_UnitedStates.JHU_ConfirmedCases.data|Cheatham_Tennessee_UnitedStates.JHU_ConfirmedCases.missing|Cheatham_Tennessee_UnitedStates.NYT_ConfirmedCases.data|Cheatham_Tennessee_UnitedStates.NYT_ConfirmedCases.missing|Cheatham_Tennessee_UnitedStates.JHU_ConfirmedDeaths.data|Cheatham_Tennessee_UnitedStates.JHU_ConfirmedDeaths.missing|Cheatham_Tennessee_UnitedStates.JHU_ConfirmedRecoveries.data|Cheatham_Tennessee_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|6932.0|0|6932.0|0|67.0|0|0.0|100
0|2021-10-18|6953.0|0|6953.0|0|67.0|0|0.0|100
0|2021-10-19|6957.0|0|6957.0|0|69.0|0|0.0|100
0|2021-10-20|6965.0|0|6965.0|0|70.0|0|0.0|100
0|2021-10-21|6972.0|0|6972.0|0|70.0|0|0.0|100
0|2021-10-22|6974.0|0|6974.0|0|70.0|0|0.0|100
0|2021-10-23|6974.0|0|6974.0|0|70.0|0|0.0|100
0|2021-10-24|6974.0|0|6974.0|0|70.0|0|0.0|100
0|2021-10-25|6974.0|0|6974.0|0|70.0|0|0.0|100
0|2021-10-26|6994.0|0|6994.0|0|70.0|0|0.0|100
0|2021-10-27|6999.0|0|6999.0|0|70.0|0|0.0|100
0|2021-10-28|7010.0|0|7010.0|0|70.0|0|0.0|100
0|2021-10-29|7015.0|0|7015.0|0|70.0|0|0.0|100
0|2021-10-30|7015.0|0|7015.0|0|70.0|0|0.0|100
0|2021-10-31|7015.0|0|7015.0|0|70.0|0|0.0|100
0|2021-11-01|7015.0|0|7015.0|0|70.0|0|0.0|100
0|2021-11-02|7021.0|0|7021.0|0|70.0|0|0.0|100
0|2021-11-03|7025.0|0|7025.0|0|71.0|0|0.0|100
0|2021-11-04|7034.0|0|7034.0|0|71.0|0|0.0|100
0|2021-11-05|7036.0|0|7036.0|0|71.0|0|0.0|100
0|2021-11-06|7036.0|0|7036.0|0|71.0|0|0.0|100
0|2021-11-07|7036.0|0|7036.0|0|71.0|0|0.0|100
0|2021-11-08|7036.0|0|7036.0|0|71.0|0|0.0|100
0|2021-11-09|7051.0|0|7051.0|0|75.0|0|0.0|100
0|2021-11-10|7051.0|0|7065.0|0|75.0|0|0.0|100
0|2021-11-11|7065.0|0|7065.0|0|75.0|0|0.0|100
0|2021-11-12|7072.0|0|7072.0|0|75.0|0|0.0|100
0|2021-11-13|7072.0|0|7072.0|0|75.0|0|0.0|100
0|2021-11-14|7072.0|0|7072.0|0|75.0|0|0.0|100
0|2021-11-15|7083.0|0|7083.0|0|75.0|0|0.0|100
0|2021-11-16|7090.0|0|7090.0|0|76.0|0|0.0|100
0|2021-11-17|7092.0|0|7092.0|0|76.0|0|0.0|100
0|2021-11-18|7096.0|0|7096.0|0|76.0|0|0.0|100
0|2021-11-19|7096.0|0|7096.0|0|76.0|0|0.0|100
0|2021-11-20|7096.0|0|7096.0|0|76.0|0|0.0|100
0|2021-11-21|7096.0|0|7096.0|0|76.0|0|0.0|100
0|2021-11-22|7120.0|0|7120.0|0|76.0|0|0.0|100
0|2021-11-23|7131.0|0|7131.0|0|76.0|0|0.0|100
0|2021-11-24|7135.0|0|7135.0|0|77.0|0|0.0|100
0|2021-11-25|7135.0|0|7135.0|0|77.0|0|0.0|100
0|2021-11-26|7135.0|0|7135.0|0|77.0|0|0.0|100
0|2021-11-27|7135.0|0|7135.0|0|77.0|0|0.0|100
0|2021-11-28|7135.0|0|7135.0|0|77.0|0|0.0|100
0|2021-11-29|7173.0|0|7173.0|0|77.0|0|0.0|100
0|2021-11-30|7190.0|0|7190.0|0|77.0|0|0.0|100
0|2021-12-01|7207.0|0|7207.0|0|77.0|0|0.0|100
0|2021-12-02|7231.0|0|7231.0|0|77.0|0|0.0|100
0|2021-12-03|7251.0|0|7251.0|0|77.0|0|0.0|100
0|2021-12-04|7251.0|0|7251.0|0|77.0|0|0.0|100
0|2021-12-05|7251.0|0|7251.0|0|77.0|0|0.0|100
0|2021-12-06|7274.0|0|7274.0|0|77.0|0|0.0|100
0|2021-12-07|7278.0|0|7278.0|0|77.0|0|0.0|100
0|2021-12-08|7293.0|0|7293.0|0|77.0|0|0.0|100
0|2021-12-09|7293.0|0|7293.0|0|77.0|0|0.0|100
0|2021-12-10|7313.0|0|7313.0|0|77.0|0|0.0|100
0|2021-12-11|7313.0|0|7313.0|0|77.0|0|0.0|100
0|2021-12-12|7313.0|0|7313.0|0|77.0|0|0.0|100
0|2021-12-13|7333.0|0|7333.0|0|77.0|0|0.0|100
0|2021-12-14|7333.0|0|7348.0|0|77.0|0|0.0|100
0|2021-12-15|7351.0|0|7351.0|0|79.0|0|0.0|100
0|2021-12-16|7364.0|0|7364.0|0|79.0|0|0.0|100
0|2021-12-17|7375.0|0|7375.0|0|79.0|0|0.0|100
0|2021-12-18|7375.0|0|7375.0|0|79.0|0|0.0|100
0|2021-12-19|7375.0|0|7375.0|0|79.0|0|0.0|100
0|2021-12-20|7405.0|0|7405.0|0|80.0|0|0.0|100
0|2021-12-21|7416.0|0|7416.0|0|80.0|0|0.0|100
0|2021-12-22|7430.0|0|7430.0|0|80.0|0|0.0|100
0|2021-12-23|7455.0|0|7455.0|0|88.0|0|0.0|100
0|2021-12-24|7455.0|0|7455.0|0|88.0|0|0.0|100
0|2021-12-25|7455.0|0|7455.0|0|88.0|0|0.0|100
0|2021-12-26|7455.0|0|7455.0|0|88.0|0|0.0|100
0|2021-12-27|7517.0|0|7517.0|0|90.0|0|0.0|100
0|2021-12-28|7535.0|0|7535.0|0|90.0|0|0.0|100
0|2021-12-29|7614.0|0|7614.0|0|90.0|0|0.0|100
0|2021-12-30|7700.0|0|7700.0|0|90.0|0|0.0|100
0|2021-12-31|7700.0|0|7700.0|0|90.0|0|0.0|100
0|2022-01-01|7700.0|0|7700.0|0|90.0|0|0.0|100
0|2022-01-02|7700.0|0|7700.0|0|90.0|0|0.0|100
0|2022-01-03|7917.0|0|7917.0|0|92.0|0|0.0|100
0|2022-01-04|7957.0|0|7957.0|0|92.0|0|0.0|100
0|2022-01-05|7957.0|0|7957.0|0|92.0|0|0.0|100
0|2022-01-06|7957.0|0|7957.0|0|92.0|0|0.0|100
0|2022-01-07|7957.0|0|7957.0|0|92.0|0|0.0|100
0|2022-01-08|7957.0|0|7957.0|0|92.0|0|0.0|100
0|2022-01-09|7957.0|0|7957.0|0|92.0|0|0.0|100
0|2022-01-10|7957.0|0|7957.0|0|92.0|0|0.0|100
0|2022-01-11|7957.0|0|7957.0|0|92.0|0|0.0|100
0|2022-01-12|8399.0|0|8399.0|0|93.0|0|0.0|100
0|2022-01-13|8399.0|0|8399.0|0|93.0|0|0.0|100
0|2022-01-14|8399.0|0|8399.0|0|93.0|0|0.0|100
0|2022-01-15|8399.0|0|8399.0|0|93.0|0|0.0|100
0|2022-01-16|8399.0|0|8399.0|0|93.0|0|0.0|100
0|2022-01-17|8399.0|0|0.0|100|93.0|0|0.0|100
