|dates|Sandusky_Ohio_UnitedStates.BLS_EmployedPopulation.data|Sandusky_Ohio_UnitedStates.BLS_EmployedPopulation.missing|Sandusky_Ohio_UnitedStates.BLS_UnemployedPopulation.data|Sandusky_Ohio_UnitedStates.BLS_UnemployedPopulation.missing|Sandusky_Ohio_UnitedStates.BLS_UnemploymentRate.data|Sandusky_Ohio_UnitedStates.BLS_UnemploymentRate.missing|Sandusky_Ohio_UnitedStates.BLS_LaborForcePopulation.data|Sandusky_Ohio_UnitedStates.BLS_LaborForcePopulation.missing
0|2021-10-17|26567.0|0|2064.0|0|7.208969299011561|0|28631.0|0
0|2021-10-18|26567.0|0|2064.0|0|7.208969299011561|0|28631.0|0
0|2021-10-19|26567.0|0|2064.0|0|7.208969299011561|0|28631.0|0
0|2021-10-20|26567.0|0|2064.0|0|7.208969299011561|0|28631.0|0
0|2021-10-21|26567.0|0|2064.0|0|7.208969299011561|0|28631.0|0
0|2021-10-22|26567.0|0|2064.0|0|7.208969299011561|0|28631.0|0
0|2021-10-23|26567.0|0|2064.0|0|7.208969299011561|0|28631.0|0
0|2021-10-24|26567.0|0|2064.0|0|7.208969299011561|0|28631.0|0
0|2021-10-25|26567.0|0|2064.0|0|7.208969299011561|0|28631.0|0
0|2021-10-26|26567.0|0|2064.0|0|7.208969299011561|0|28631.0|0
0|2021-10-27|26567.0|0|2064.0|0|7.208969299011561|0|28631.0|0
0|2021-10-28|26567.0|0|2064.0|0|7.208969299011561|0|28631.0|0
0|2021-10-29|26567.0|0|2064.0|0|7.208969299011561|0|28631.0|0
0|2021-10-30|26567.0|0|2064.0|0|7.208969299011561|0|28631.0|0
0|2021-10-31|26567.0|0|2064.0|0|7.208969299011561|0|28631.0|0
0|2021-11-01|26567.0|0|2064.0|0|7.208969299011561|0|28631.0|0
0|2021-11-02|26567.0|0|2064.0|0|7.208969299011561|0|28631.0|0
0|2021-11-03|26567.0|0|2064.0|0|7.208969299011561|0|28631.0|0
0|2021-11-04|26567.0|0|2064.0|0|7.208969299011561|0|28631.0|0
0|2021-11-05|26567.0|0|2064.0|0|7.208969299011561|0|28631.0|0
0|2021-11-06|26567.0|0|2064.0|0|7.208969299011561|0|28631.0|0
0|2021-11-07|26567.0|0|2064.0|0|7.208969299011561|0|28631.0|0
