|dates|Jefferson_Kentucky_UnitedStates.BLS_EmployedPopulation.data|Jefferson_Kentucky_UnitedStates.BLS_EmployedPopulation.missing|Jefferson_Kentucky_UnitedStates.BLS_UnemployedPopulation.data|Jefferson_Kentucky_UnitedStates.BLS_UnemployedPopulation.missing|Jefferson_Kentucky_UnitedStates.BLS_UnemploymentRate.data|Jefferson_Kentucky_UnitedStates.BLS_UnemploymentRate.missing|Jefferson_Kentucky_UnitedStates.BLS_LaborForcePopulation.data|Jefferson_Kentucky_UnitedStates.BLS_LaborForcePopulation.missing
0|2021-10-17|371819.0|0|14603.0|0|3.779029144303378|0|386422.0|0
0|2021-10-18|371819.0|0|14603.0|0|3.779029144303378|0|386422.0|0
0|2021-10-19|371819.0|0|14603.0|0|3.779029144303378|0|386422.0|0
0|2021-10-20|371819.0|0|14603.0|0|3.779029144303378|0|386422.0|0
0|2021-10-21|371819.0|0|14603.0|0|3.779029144303378|0|386422.0|0
0|2021-10-22|371819.0|0|14603.0|0|3.779029144303378|0|386422.0|0
0|2021-10-23|371819.0|0|14603.0|0|3.779029144303378|0|386422.0|0
0|2021-10-24|371819.0|0|14603.0|0|3.779029144303378|0|386422.0|0
0|2021-10-25|371819.0|0|14603.0|0|3.779029144303378|0|386422.0|0
0|2021-10-26|371819.0|0|14603.0|0|3.779029144303378|0|386422.0|0
0|2021-10-27|371819.0|0|14603.0|0|3.779029144303378|0|386422.0|0
0|2021-10-28|371819.0|0|14603.0|0|3.779029144303378|0|386422.0|0
0|2021-10-29|371819.0|0|14603.0|0|3.779029144303378|0|386422.0|0
0|2021-10-30|371819.0|0|14603.0|0|3.779029144303378|0|386422.0|0
0|2021-10-31|371819.0|0|14603.0|0|3.779029144303378|0|386422.0|0
0|2021-11-01|371819.0|0|14603.0|0|3.779029144303378|0|386422.0|0
0|2021-11-02|371819.0|0|14603.0|0|3.779029144303378|0|386422.0|0
0|2021-11-03|371819.0|0|14603.0|0|3.779029144303378|0|386422.0|0
0|2021-11-04|371819.0|0|14603.0|0|3.779029144303378|0|386422.0|0
0|2021-11-05|371819.0|0|14603.0|0|3.779029144303378|0|386422.0|0
0|2021-11-06|371819.0|0|14603.0|0|3.779029144303378|0|386422.0|0
0|2021-11-07|371819.0|0|14603.0|0|3.779029144303378|0|386422.0|0
0|2021-11-08|371819.0|0|14603.0|0|3.779029144303378|0|386422.0|0
0|2021-11-09|371819.0|0|14603.0|0|3.779029144303378|0|386422.0|0
0|2021-11-10|371819.0|0|14603.0|0|3.779029144303378|0|386422.0|0
0|2021-11-11|371819.0|0|14603.0|0|3.779029144303378|0|386422.0|0
0|2021-11-12|371819.0|0|14603.0|0|3.779029144303378|0|386422.0|0
