|dates|Union_Mississippi_UnitedStates.JHU_ConfirmedCases.data|Union_Mississippi_UnitedStates.JHU_ConfirmedCases.missing|Union_Mississippi_UnitedStates.NYT_ConfirmedCases.data|Union_Mississippi_UnitedStates.NYT_ConfirmedCases.missing|Union_Mississippi_UnitedStates.JHU_ConfirmedDeaths.data|Union_Mississippi_UnitedStates.JHU_ConfirmedDeaths.missing|Union_Mississippi_UnitedStates.JHU_ConfirmedRecoveries.data|Union_Mississippi_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|5960.0|0|5960.0|0|94.0|0|0.0|100
0|2021-10-18|5967.0|0|5967.0|0|94.0|0|0.0|100
0|2021-10-19|5992.0|0|5992.0|0|94.0|0|0.0|100
0|2021-10-20|6012.0|0|6012.0|0|94.0|0|0.0|100
0|2021-10-21|6024.0|0|6024.0|0|94.0|0|0.0|100
0|2021-10-22|6028.0|0|6028.0|0|94.0|0|0.0|100
0|2021-10-23|6028.0|0|6028.0|0|94.0|0|0.0|100
0|2021-10-24|6028.0|0|6028.0|0|94.0|0|0.0|100
0|2021-10-25|6057.0|0|6057.0|0|94.0|0|0.0|100
0|2021-10-26|6077.0|0|6077.0|0|94.0|0|0.0|100
0|2021-10-27|6085.0|0|6085.0|0|94.0|0|0.0|100
0|2021-10-28|6092.0|0|6092.0|0|94.0|0|0.0|100
0|2021-10-29|6106.0|0|6106.0|0|94.0|0|0.0|100
0|2021-10-30|6106.0|0|6106.0|0|94.0|0|0.0|100
0|2021-10-31|6106.0|0|6106.0|0|94.0|0|0.0|100
0|2021-11-01|6120.0|0|6120.0|0|94.0|0|0.0|100
0|2021-11-02|6128.0|0|6128.0|0|94.0|0|0.0|100
0|2021-11-03|6130.0|0|6130.0|0|94.0|0|0.0|100
0|2021-11-04|6139.0|0|6139.0|0|94.0|0|0.0|100
0|2021-11-05|6148.0|0|6148.0|0|94.0|0|0.0|100
0|2021-11-06|6148.0|0|6148.0|0|94.0|0|0.0|100
0|2021-11-07|6148.0|0|6148.0|0|94.0|0|0.0|100
0|2021-11-08|6158.0|0|6158.0|0|94.0|0|0.0|100
0|2021-11-09|6167.0|0|6167.0|0|94.0|0|0.0|100
0|2021-11-10|6167.0|0|6175.0|0|94.0|0|0.0|100
0|2021-11-11|6175.0|0|6175.0|0|94.0|0|0.0|100
0|2021-11-12|6191.0|0|6191.0|0|95.0|0|0.0|100
0|2021-11-13|6191.0|0|6191.0|0|95.0|0|0.0|100
0|2021-11-14|6191.0|0|6191.0|0|95.0|0|0.0|100
0|2021-11-15|6208.0|0|6208.0|0|95.0|0|0.0|100
0|2021-11-16|6222.0|0|6222.0|0|96.0|0|0.0|100
0|2021-11-17|6232.0|0|6232.0|0|96.0|0|0.0|100
0|2021-11-18|6246.0|0|6246.0|0|96.0|0|0.0|100
0|2021-11-19|6257.0|0|6257.0|0|96.0|0|0.0|100
0|2021-11-20|6257.0|0|6257.0|0|96.0|0|0.0|100
0|2021-11-21|6257.0|0|6257.0|0|96.0|0|0.0|100
0|2021-11-22|6304.0|0|6304.0|0|96.0|0|0.0|100
0|2021-11-23|6314.0|0|6314.0|0|96.0|0|0.0|100
0|2021-11-24|6338.0|0|6338.0|0|97.0|0|0.0|100
0|2021-11-25|6338.0|0|6338.0|0|97.0|0|0.0|100
0|2021-11-26|6338.0|0|6338.0|0|97.0|0|0.0|100
0|2021-11-27|6338.0|0|6338.0|0|97.0|0|0.0|100
0|2021-11-28|6338.0|0|6338.0|0|97.0|0|0.0|100
0|2021-11-29|6382.0|0|6382.0|0|97.0|0|0.0|100
0|2021-11-30|6408.0|0|6408.0|0|98.0|0|0.0|100
0|2021-12-01|6416.0|0|6416.0|0|98.0|0|0.0|100
0|2021-12-02|6416.0|0|6428.0|0|98.0|0|0.0|100
0|2021-12-03|6435.0|0|6435.0|0|98.0|0|0.0|100
0|2021-12-04|6435.0|0|6435.0|0|98.0|0|0.0|100
0|2021-12-05|6435.0|0|6435.0|0|98.0|0|0.0|100
0|2021-12-06|6456.0|0|6456.0|0|99.0|0|0.0|100
0|2021-12-07|6470.0|0|6470.0|0|99.0|0|0.0|100
0|2021-12-08|6505.0|0|6505.0|0|99.0|0|0.0|100
0|2021-12-09|6517.0|0|6517.0|0|99.0|0|0.0|100
0|2021-12-10|6534.0|0|6534.0|0|99.0|0|0.0|100
0|2021-12-11|6534.0|0|6534.0|0|99.0|0|0.0|100
0|2021-12-12|6534.0|0|6534.0|0|99.0|0|0.0|100
0|2021-12-13|6545.0|0|6545.0|0|99.0|0|0.0|100
0|2021-12-14|6545.0|0|6557.0|0|99.0|0|0.0|100
0|2021-12-15|6568.0|0|6568.0|0|99.0|0|0.0|100
0|2021-12-16|6582.0|0|6582.0|0|99.0|0|0.0|100
0|2021-12-17|6601.0|0|6601.0|0|99.0|0|0.0|100
0|2021-12-18|6601.0|0|6601.0|0|99.0|0|0.0|100
0|2021-12-19|6601.0|0|6601.0|0|99.0|0|0.0|100
0|2021-12-20|6617.0|0|6617.0|0|99.0|0|0.0|100
0|2021-12-21|6631.0|0|6631.0|0|99.0|0|0.0|100
0|2021-12-22|6635.0|0|6635.0|0|99.0|0|0.0|100
0|2021-12-23|6635.0|0|6635.0|0|99.0|0|0.0|100
0|2021-12-24|6635.0|0|6635.0|0|99.0|0|0.0|100
0|2021-12-25|6635.0|0|6635.0|0|99.0|0|0.0|100
0|2021-12-26|6635.0|0|6635.0|0|99.0|0|0.0|100
0|2021-12-27|6713.0|0|6713.0|0|99.0|0|0.0|100
0|2021-12-28|6738.0|0|6738.0|0|99.0|0|0.0|100
0|2021-12-29|6769.0|0|6769.0|0|99.0|0|0.0|100
0|2021-12-30|6804.0|0|6804.0|0|99.0|0|0.0|100
0|2021-12-31|6804.0|0|6804.0|0|99.0|0|0.0|100
0|2022-01-01|6804.0|0|6804.0|0|99.0|0|0.0|100
0|2022-01-02|6804.0|0|6804.0|0|99.0|0|0.0|100
0|2022-01-03|6923.0|0|6923.0|0|99.0|0|0.0|100
0|2022-01-04|6984.0|0|6984.0|0|100.0|0|0.0|100
0|2022-01-05|7031.0|0|7031.0|0|100.0|0|0.0|100
