|dates|Bucks_Pennsylvania_UnitedStates.JHU_ConfirmedCases.data|Bucks_Pennsylvania_UnitedStates.JHU_ConfirmedCases.missing|Bucks_Pennsylvania_UnitedStates.NYT_ConfirmedCases.data|Bucks_Pennsylvania_UnitedStates.NYT_ConfirmedCases.missing|Bucks_Pennsylvania_UnitedStates.JHU_ConfirmedDeaths.data|Bucks_Pennsylvania_UnitedStates.JHU_ConfirmedDeaths.missing|Bucks_Pennsylvania_UnitedStates.JHU_ConfirmedRecoveries.data|Bucks_Pennsylvania_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|71862.0|0|71862.0|0|1404.0|0|0.0|100
0|2021-10-18|71963.0|0|71963.0|0|1409.0|0|0.0|100
0|2021-10-19|72108.0|0|72108.0|0|1409.0|0|0.0|100
0|2021-10-20|72219.0|0|72219.0|0|1413.0|0|0.0|100
0|2021-10-21|72352.0|0|72352.0|0|1414.0|0|0.0|100
0|2021-10-22|72496.0|0|72496.0|0|1416.0|0|0.0|100
0|2021-10-23|72642.0|0|72642.0|0|1419.0|0|0.0|100
0|2021-10-24|72754.0|0|72754.0|0|1419.0|0|0.0|100
0|2021-10-25|72824.0|0|72824.0|0|1419.0|0|0.0|100
0|2021-10-26|72930.0|0|72930.0|0|1421.0|0|0.0|100
0|2021-10-27|73036.0|0|73036.0|0|1423.0|0|0.0|100
0|2021-10-28|73188.0|0|73188.0|0|1424.0|0|0.0|100
0|2021-10-29|73345.0|0|73345.0|0|1426.0|0|0.0|100
0|2021-10-30|73475.0|0|73475.0|0|1427.0|0|0.0|100
0|2021-10-31|73566.0|0|73566.0|0|1427.0|0|0.0|100
0|2021-11-01|73566.0|0|73566.0|0|1427.0|0|0.0|100
0|2021-11-02|73803.0|0|73803.0|0|1429.0|0|0.0|100
0|2021-11-03|73918.0|0|73918.0|0|1433.0|0|0.0|100
0|2021-11-04|74113.0|0|74113.0|0|1436.0|0|0.0|100
0|2021-11-05|74298.0|0|74298.0|0|1438.0|0|0.0|100
0|2021-11-06|74475.0|0|74475.0|0|1438.0|0|0.0|100
0|2021-11-07|74606.0|0|74606.0|0|1438.0|0|0.0|100
0|2021-11-08|74706.0|0|74706.0|0|1438.0|0|0.0|100
0|2021-11-09|74859.0|0|74859.0|0|1439.0|0|0.0|100
