|dates|Madison_Kentucky_UnitedStates.JHU_ConfirmedCases.data|Madison_Kentucky_UnitedStates.JHU_ConfirmedCases.missing|Madison_Kentucky_UnitedStates.NYT_ConfirmedCases.data|Madison_Kentucky_UnitedStates.NYT_ConfirmedCases.missing|Madison_Kentucky_UnitedStates.JHU_ConfirmedDeaths.data|Madison_Kentucky_UnitedStates.JHU_ConfirmedDeaths.missing|Madison_Kentucky_UnitedStates.JHU_ConfirmedRecoveries.data|Madison_Kentucky_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|15532.0|0|15532.0|0|145.0|0|0.0|100
0|2021-10-18|15579.0|0|15579.0|0|145.0|0|0.0|100
0|2021-10-19|15621.0|0|15621.0|0|145.0|0|0.0|100
0|2021-10-20|15649.0|0|15649.0|0|152.0|0|0.0|100
0|2021-10-21|15677.0|0|15677.0|0|152.0|0|0.0|100
0|2021-10-22|15702.0|0|15702.0|0|153.0|0|0.0|100
0|2021-10-23|15702.0|0|15702.0|0|153.0|0|0.0|100
0|2021-10-24|15702.0|0|15702.0|0|153.0|0|0.0|100
0|2021-10-25|15725.0|0|15725.0|0|157.0|0|0.0|100
0|2021-10-26|15771.0|0|15771.0|0|158.0|0|0.0|100
0|2021-10-27|15791.0|0|15791.0|0|160.0|0|0.0|100
0|2021-10-28|15813.0|0|15813.0|0|160.0|0|0.0|100
0|2021-10-29|15834.0|0|15834.0|0|160.0|0|0.0|100
0|2021-10-30|15834.0|0|15834.0|0|160.0|0|0.0|100
0|2021-10-31|15834.0|0|15834.0|0|160.0|0|0.0|100
0|2021-11-01|15880.0|0|15880.0|0|162.0|0|0.0|100
0|2021-11-02|15923.0|0|15923.0|0|162.0|0|0.0|100
0|2021-11-03|15945.0|0|15945.0|0|162.0|0|0.0|100
0|2021-11-04|15962.0|0|15962.0|0|163.0|0|0.0|100
0|2021-11-05|15992.0|0|15992.0|0|167.0|0|0.0|100
0|2021-11-06|15992.0|0|15992.0|0|167.0|0|0.0|100
0|2021-11-07|15992.0|0|15992.0|0|167.0|0|0.0|100
0|2021-11-08|16023.0|0|16023.0|0|176.0|0|0.0|100
0|2021-11-09|16078.0|0|16078.0|0|177.0|0|0.0|100
0|2021-11-10|16078.0|0|16116.0|0|177.0|0|0.0|100
0|2021-11-11|16116.0|0|16116.0|0|179.0|0|0.0|100
0|2021-11-12|16175.0|0|16175.0|0|186.0|0|0.0|100
0|2021-11-13|16175.0|0|16175.0|0|186.0|0|0.0|100
0|2021-11-14|16175.0|0|16175.0|0|186.0|0|0.0|100
0|2021-11-15|16231.0|0|16231.0|0|187.0|0|0.0|100
0|2021-11-16|16303.0|0|16303.0|0|187.0|0|0.0|100
0|2021-11-17|16367.0|0|16367.0|0|188.0|0|0.0|100
0|2021-11-18|16421.0|0|16421.0|0|189.0|0|0.0|100
0|2021-11-19|16462.0|0|16462.0|0|190.0|0|0.0|100
0|2021-11-20|16462.0|0|16462.0|0|190.0|0|0.0|100
0|2021-11-21|16462.0|0|16462.0|0|190.0|0|0.0|100
0|2021-11-22|16519.0|0|16519.0|0|190.0|0|0.0|100
0|2021-11-23|16619.0|0|16619.0|0|191.0|0|0.0|100
0|2021-11-24|16676.0|0|16676.0|0|191.0|0|0.0|100
0|2021-11-25|16676.0|0|16676.0|0|191.0|0|0.0|100
0|2021-11-26|16676.0|0|16676.0|0|191.0|0|0.0|100
0|2021-11-27|16676.0|0|16676.0|0|191.0|0|0.0|100
0|2021-11-28|16676.0|0|16676.0|0|191.0|0|0.0|100
0|2021-11-29|16791.0|0|16791.0|0|195.0|0|0.0|100
0|2021-11-30|16903.0|0|16903.0|0|195.0|0|0.0|100
0|2021-12-01|16960.0|0|16960.0|0|196.0|0|0.0|100
0|2021-12-02|16960.0|0|17034.0|0|196.0|0|0.0|100
0|2021-12-03|17117.0|0|17117.0|0|197.0|0|0.0|100
0|2021-12-04|17117.0|0|17117.0|0|197.0|0|0.0|100
0|2021-12-05|17117.0|0|17117.0|0|197.0|0|0.0|100
