|dates|Hopkins_Texas_UnitedStates.JHU_ConfirmedCases.data|Hopkins_Texas_UnitedStates.JHU_ConfirmedCases.missing|Hopkins_Texas_UnitedStates.NYT_ConfirmedCases.data|Hopkins_Texas_UnitedStates.NYT_ConfirmedCases.missing|Hopkins_Texas_UnitedStates.JHU_ConfirmedDeaths.data|Hopkins_Texas_UnitedStates.JHU_ConfirmedDeaths.missing|Hopkins_Texas_UnitedStates.JHU_ConfirmedRecoveries.data|Hopkins_Texas_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|5280.0|0|5280.0|0|144.0|0|0.0|100
0|2021-10-18|5280.0|0|5280.0|0|144.0|0|0.0|100
0|2021-10-19|5297.0|0|5297.0|0|144.0|0|0.0|100
0|2021-10-20|5314.0|0|5314.0|0|144.0|0|0.0|100
0|2021-10-21|5325.0|0|5325.0|0|144.0|0|0.0|100
0|2021-10-22|5335.0|0|5335.0|0|144.0|0|0.0|100
0|2021-10-23|5335.0|0|5335.0|0|144.0|0|0.0|100
0|2021-10-24|5345.0|0|5345.0|0|144.0|0|0.0|100
0|2021-10-25|5345.0|0|5345.0|0|144.0|0|0.0|100
0|2021-10-26|5368.0|0|5368.0|0|144.0|0|0.0|100
0|2021-10-27|5373.0|0|5373.0|0|144.0|0|0.0|100
0|2021-10-28|5377.0|0|5377.0|0|145.0|0|0.0|100
0|2021-10-29|5380.0|0|5380.0|0|146.0|0|0.0|100
0|2021-10-30|5386.0|0|5386.0|0|146.0|0|0.0|100
0|2021-10-31|5386.0|0|5386.0|0|146.0|0|0.0|100
0|2021-11-01|5386.0|0|5386.0|0|146.0|0|0.0|100
0|2021-11-02|5399.0|0|5399.0|0|146.0|0|0.0|100
0|2021-11-03|5401.0|0|5401.0|0|146.0|0|0.0|100
0|2021-11-04|5402.0|0|5402.0|0|146.0|0|0.0|100
0|2021-11-05|5405.0|0|5405.0|0|146.0|0|0.0|100
0|2021-11-06|5409.0|0|5409.0|0|146.0|0|0.0|100
