|dates|Boise_Idaho_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Boise_Idaho_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Boise_Idaho_UnitedStates.Male_Total_Population.data|Boise_Idaho_UnitedStates.Male_Total_Population.missing|Boise_Idaho_UnitedStates.Female_Total_Population.data|Boise_Idaho_UnitedStates.Female_Total_Population.missing|Boise_Idaho_UnitedStates.MaleAndFemale_Under18_Population.data|Boise_Idaho_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-10-17|1919.0|0|3975.0|0|3659.0|0|1291.0|0
0|2021-10-18|1919.0|0|3975.0|0|3659.0|0|1291.0|0
0|2021-10-19|1919.0|0|3975.0|0|3659.0|0|1291.0|0
0|2021-10-20|1919.0|0|3975.0|0|3659.0|0|1291.0|0
0|2021-10-21|1919.0|0|3975.0|0|3659.0|0|1291.0|0
0|2021-10-22|1919.0|0|3975.0|0|3659.0|0|1291.0|0
0|2021-10-23|1919.0|0|3975.0|0|3659.0|0|1291.0|0
0|2021-10-24|1919.0|0|3975.0|0|3659.0|0|1291.0|0
0|2021-10-25|1919.0|0|3975.0|0|3659.0|0|1291.0|0
0|2021-10-26|1919.0|0|3975.0|0|3659.0|0|1291.0|0
0|2021-10-27|1919.0|0|3975.0|0|3659.0|0|1291.0|0
0|2021-10-28|1919.0|0|3975.0|0|3659.0|0|1291.0|0
0|2021-10-29|1919.0|0|3975.0|0|3659.0|0|1291.0|0
0|2021-10-30|1919.0|0|3975.0|0|3659.0|0|1291.0|0
0|2021-10-31|1919.0|0|3975.0|0|3659.0|0|1291.0|0
0|2021-11-01|1919.0|0|3975.0|0|3659.0|0|1291.0|0
0|2021-11-02|1919.0|0|3975.0|0|3659.0|0|1291.0|0
0|2021-11-03|1919.0|0|3975.0|0|3659.0|0|1291.0|0
0|2021-11-04|1919.0|0|3975.0|0|3659.0|0|1291.0|0
0|2021-11-05|1919.0|0|3975.0|0|3659.0|0|1291.0|0
0|2021-11-06|1919.0|0|3975.0|0|3659.0|0|1291.0|0
0|2021-11-07|1919.0|0|3975.0|0|3659.0|0|1291.0|0
0|2021-11-08|1919.0|0|3975.0|0|3659.0|0|1291.0|0
0|2021-11-09|1919.0|0|3975.0|0|3659.0|0|1291.0|0
0|2021-11-10|1919.0|0|3975.0|0|3659.0|0|1291.0|0
0|2021-11-11|1919.0|0|3975.0|0|3659.0|0|1291.0|0
0|2021-11-12|1919.0|0|3975.0|0|3659.0|0|1291.0|0
0|2021-11-13|1919.0|0|3975.0|0|3659.0|0|1291.0|0
0|2021-11-14|1919.0|0|3975.0|0|3659.0|0|1291.0|0
0|2021-11-15|1919.0|0|3975.0|0|3659.0|0|1291.0|0
0|2021-11-16|1919.0|0|3975.0|0|3659.0|0|1291.0|0
0|2021-11-17|1919.0|0|3975.0|0|3659.0|0|1291.0|0
0|2021-11-18|1919.0|0|3975.0|0|3659.0|0|1291.0|0
0|2021-11-19|1919.0|0|3975.0|0|3659.0|0|1291.0|0
0|2021-11-20|1919.0|0|3975.0|0|3659.0|0|1291.0|0
0|2021-11-21|1919.0|0|3975.0|0|3659.0|0|1291.0|0
0|2021-11-22|1919.0|0|3975.0|0|3659.0|0|1291.0|0
0|2021-11-23|1919.0|0|3975.0|0|3659.0|0|1291.0|0
0|2021-11-24|1919.0|0|3975.0|0|3659.0|0|1291.0|0
0|2021-11-25|1919.0|0|3975.0|0|3659.0|0|1291.0|0
