|dates|Weston_Wyoming_UnitedStates.JHU_ConfirmedCases.data|Weston_Wyoming_UnitedStates.JHU_ConfirmedCases.missing|Weston_Wyoming_UnitedStates.NYT_ConfirmedCases.data|Weston_Wyoming_UnitedStates.NYT_ConfirmedCases.missing|Weston_Wyoming_UnitedStates.JHU_ConfirmedDeaths.data|Weston_Wyoming_UnitedStates.JHU_ConfirmedDeaths.missing|Weston_Wyoming_UnitedStates.JHU_ConfirmedRecoveries.data|Weston_Wyoming_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|986.0|0|986.0|0|8.0|0|0.0|100
0|2021-10-18|1002.0|0|1002.0|0|8.0|0|0.0|100
0|2021-10-19|1004.0|0|1004.0|0|9.0|0|0.0|100
0|2021-10-20|1006.0|0|1006.0|0|9.0|0|0.0|100
0|2021-10-21|1022.0|0|1022.0|0|9.0|0|0.0|100
0|2021-10-22|1027.0|0|1027.0|0|9.0|0|0.0|100
0|2021-10-23|1027.0|0|1027.0|0|9.0|0|0.0|100
0|2021-10-24|1027.0|0|1027.0|0|9.0|0|0.0|100
0|2021-10-25|1041.0|0|1041.0|0|9.0|0|0.0|100
0|2021-10-26|1047.0|0|1047.0|0|9.0|0|0.0|100
0|2021-10-27|1071.0|0|1071.0|0|9.0|0|0.0|100
0|2021-10-28|1100.0|0|1100.0|0|9.0|0|0.0|100
0|2021-10-29|1109.0|0|1109.0|0|9.0|0|0.0|100
0|2021-10-30|1109.0|0|1109.0|0|9.0|0|0.0|100
0|2021-10-31|1109.0|0|1109.0|0|9.0|0|0.0|100
0|2021-11-01|1121.0|0|1121.0|0|9.0|0|0.0|100
0|2021-11-02|1126.0|0|1126.0|0|9.0|0|0.0|100
0|2021-11-03|1131.0|0|1131.0|0|9.0|0|0.0|100
0|2021-11-04|1149.0|0|1149.0|0|9.0|0|0.0|100
0|2021-11-05|1154.0|0|1154.0|0|9.0|0|0.0|100
0|2021-11-06|1154.0|0|1154.0|0|9.0|0|0.0|100
0|2021-11-07|1154.0|0|1154.0|0|9.0|0|0.0|100
0|2021-11-08|1161.0|0|1161.0|0|9.0|0|0.0|100
0|2021-11-09|1162.0|0|1162.0|0|10.0|0|0.0|100
0|2021-11-10|1162.0|0|1168.0|0|10.0|0|0.0|100
0|2021-11-11|1168.0|0|1168.0|0|10.0|0|0.0|100
0|2021-11-12|1175.0|0|1175.0|0|10.0|0|0.0|100
0|2021-11-13|1175.0|0|1175.0|0|10.0|0|0.0|100
0|2021-11-14|1175.0|0|1175.0|0|10.0|0|0.0|100
0|2021-11-15|1178.0|0|1178.0|0|10.0|0|0.0|100
0|2021-11-16|1183.0|0|1183.0|0|13.0|0|0.0|100
0|2021-11-17|1185.0|0|1185.0|0|13.0|0|0.0|100
0|2021-11-18|1186.0|0|1186.0|0|13.0|0|0.0|100
0|2021-11-19|1187.0|0|1187.0|0|13.0|0|0.0|100
0|2021-11-20|1187.0|0|1187.0|0|13.0|0|0.0|100
0|2021-11-21|1187.0|0|1187.0|0|13.0|0|0.0|100
0|2021-11-22|1188.0|0|1188.0|0|13.0|0|0.0|100
0|2021-11-23|1189.0|0|1189.0|0|13.0|0|0.0|100
0|2021-11-24|1189.0|0|1189.0|0|13.0|0|0.0|100
0|2021-11-25|1189.0|0|1189.0|0|13.0|0|0.0|100
0|2021-11-26|1189.0|0|1189.0|0|13.0|0|0.0|100
0|2021-11-27|1189.0|0|1189.0|0|13.0|0|0.0|100
0|2021-11-28|1189.0|0|1189.0|0|13.0|0|0.0|100
0|2021-11-29|1193.0|0|1193.0|0|13.0|0|0.0|100
0|2021-11-30|1193.0|0|1193.0|0|14.0|0|0.0|100
0|2021-12-01|1193.0|0|1193.0|0|14.0|0|0.0|100
0|2021-12-02|1195.0|0|1195.0|0|14.0|0|0.0|100
0|2021-12-03|1197.0|0|1197.0|0|14.0|0|0.0|100
0|2021-12-04|1197.0|0|1197.0|0|14.0|0|0.0|100
0|2021-12-05|1197.0|0|1197.0|0|14.0|0|0.0|100
0|2021-12-06|1198.0|0|1198.0|0|14.0|0|0.0|100
