|dates|GrandTraverse_Michigan_UnitedStates.BLS_EmployedPopulation.data|GrandTraverse_Michigan_UnitedStates.BLS_EmployedPopulation.missing|GrandTraverse_Michigan_UnitedStates.BLS_UnemployedPopulation.data|GrandTraverse_Michigan_UnitedStates.BLS_UnemployedPopulation.missing|GrandTraverse_Michigan_UnitedStates.BLS_UnemploymentRate.data|GrandTraverse_Michigan_UnitedStates.BLS_UnemploymentRate.missing|GrandTraverse_Michigan_UnitedStates.BLS_LaborForcePopulation.data|GrandTraverse_Michigan_UnitedStates.BLS_LaborForcePopulation.missing
0|2021-10-17|46728.0|0|2376.0|0|4.838709677419355|0|49104.0|0
0|2021-10-18|46728.0|0|2376.0|0|4.838709677419355|0|49104.0|0
0|2021-10-19|46728.0|0|2376.0|0|4.838709677419355|0|49104.0|0
0|2021-10-20|46728.0|0|2376.0|0|4.838709677419355|0|49104.0|0
0|2021-10-21|46728.0|0|2376.0|0|4.838709677419355|0|49104.0|0
0|2021-10-22|46728.0|0|2376.0|0|4.838709677419355|0|49104.0|0
0|2021-10-23|46728.0|0|2376.0|0|4.838709677419355|0|49104.0|0
0|2021-10-24|46728.0|0|2376.0|0|4.838709677419355|0|49104.0|0
0|2021-10-25|46728.0|0|2376.0|0|4.838709677419355|0|49104.0|0
0|2021-10-26|46728.0|0|2376.0|0|4.838709677419355|0|49104.0|0
0|2021-10-27|46728.0|0|2376.0|0|4.838709677419355|0|49104.0|0
0|2021-10-28|46728.0|0|2376.0|0|4.838709677419355|0|49104.0|0
0|2021-10-29|46728.0|0|2376.0|0|4.838709677419355|0|49104.0|0
0|2021-10-30|46728.0|0|2376.0|0|4.838709677419355|0|49104.0|0
0|2021-10-31|46728.0|0|2376.0|0|4.838709677419355|0|49104.0|0
0|2021-11-01|46728.0|0|2376.0|0|4.838709677419355|0|49104.0|0
0|2021-11-02|46728.0|0|2376.0|0|4.838709677419355|0|49104.0|0
0|2021-11-03|46728.0|0|2376.0|0|4.838709677419355|0|49104.0|0
0|2021-11-04|46728.0|0|2376.0|0|4.838709677419355|0|49104.0|0
0|2021-11-05|46728.0|0|2376.0|0|4.838709677419355|0|49104.0|0
0|2021-11-06|46728.0|0|2376.0|0|4.838709677419355|0|49104.0|0
