|dates|WestBatonRouge_Louisiana_UnitedStates.JHU_ConfirmedCases.data|WestBatonRouge_Louisiana_UnitedStates.JHU_ConfirmedCases.missing|WestBatonRouge_Louisiana_UnitedStates.NYT_ConfirmedCases.data|WestBatonRouge_Louisiana_UnitedStates.NYT_ConfirmedCases.missing|WestBatonRouge_Louisiana_UnitedStates.JHU_ConfirmedDeaths.data|WestBatonRouge_Louisiana_UnitedStates.JHU_ConfirmedDeaths.missing|WestBatonRouge_Louisiana_UnitedStates.JHU_ConfirmedRecoveries.data|WestBatonRouge_Louisiana_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|4356.0|0|4356.0|0|72.0|0|0.0|100
0|2021-10-18|4358.0|0|4358.0|0|73.0|0|0.0|100
0|2021-10-19|4365.0|0|4365.0|0|73.0|0|0.0|100
0|2021-10-20|4365.0|0|4365.0|0|73.0|0|0.0|100
0|2021-10-21|4366.0|0|4366.0|0|74.0|0|0.0|100
0|2021-10-22|4374.0|0|4374.0|0|74.0|0|0.0|100
0|2021-10-23|4374.0|0|4374.0|0|74.0|0|0.0|100
0|2021-10-24|4374.0|0|4374.0|0|74.0|0|0.0|100
0|2021-10-25|4376.0|0|4376.0|0|75.0|0|0.0|100
0|2021-10-26|4379.0|0|4379.0|0|75.0|0|0.0|100
0|2021-10-27|4383.0|0|4383.0|0|75.0|0|0.0|100
0|2021-10-28|4385.0|0|4385.0|0|75.0|0|0.0|100
0|2021-10-29|4386.0|0|4386.0|0|75.0|0|0.0|100
0|2021-10-30|4386.0|0|4386.0|0|75.0|0|0.0|100
0|2021-10-31|4386.0|0|4386.0|0|75.0|0|0.0|100
0|2021-11-01|4390.0|0|4390.0|0|75.0|0|0.0|100
0|2021-11-02|4390.0|0|4390.0|0|75.0|0|0.0|100
0|2021-11-03|4390.0|0|4390.0|0|75.0|0|0.0|100
0|2021-11-04|4394.0|0|4394.0|0|75.0|0|0.0|100
0|2021-11-05|4394.0|0|4394.0|0|75.0|0|0.0|100
0|2021-11-06|4394.0|0|4394.0|0|75.0|0|0.0|100
0|2021-11-07|4394.0|0|4394.0|0|75.0|0|0.0|100
0|2021-11-08|4400.0|0|4400.0|0|76.0|0|0.0|100
0|2021-11-09|4403.0|0|4403.0|0|77.0|0|0.0|100
0|2021-11-10|4407.0|0|4407.0|0|77.0|0|0.0|100
0|2021-11-11|4407.0|0|4407.0|0|77.0|0|0.0|100
0|2021-11-12|4409.0|0|4409.0|0|77.0|0|0.0|100
0|2021-11-13|4409.0|0|4409.0|0|77.0|0|0.0|100
0|2021-11-14|4409.0|0|4409.0|0|77.0|0|0.0|100
0|2021-11-15|4411.0|0|4411.0|0|77.0|0|0.0|100
0|2021-11-16|4414.0|0|4414.0|0|77.0|0|0.0|100
0|2021-11-17|4418.0|0|4418.0|0|77.0|0|0.0|100
0|2021-11-18|4419.0|0|4419.0|0|77.0|0|0.0|100
0|2021-11-19|4426.0|0|4426.0|0|77.0|0|0.0|100
0|2021-11-20|4426.0|0|4426.0|0|77.0|0|0.0|100
0|2021-11-21|4426.0|0|4426.0|0|77.0|0|0.0|100
0|2021-11-22|4427.0|0|4427.0|0|77.0|0|0.0|100
0|2021-11-23|4433.0|0|4433.0|0|78.0|0|0.0|100
0|2021-11-24|4436.0|0|4436.0|0|78.0|0|0.0|100
0|2021-11-25|4436.0|0|4436.0|0|78.0|0|0.0|100
0|2021-11-26|4436.0|0|4436.0|0|78.0|0|0.0|100
0|2021-11-27|4436.0|0|4436.0|0|78.0|0|0.0|100
0|2021-11-28|4436.0|0|4436.0|0|78.0|0|0.0|100
0|2021-11-29|4440.0|0|4440.0|0|78.0|0|0.0|100
0|2021-11-30|4441.0|0|4441.0|0|78.0|0|0.0|100
0|2021-12-01|4450.0|0|4450.0|0|78.0|0|0.0|100
0|2021-12-02|4452.0|0|4452.0|0|78.0|0|0.0|100
0|2021-12-03|4453.0|0|4453.0|0|78.0|0|0.0|100
0|2021-12-04|4453.0|0|4453.0|0|78.0|0|0.0|100
0|2021-12-05|4453.0|0|4453.0|0|78.0|0|0.0|100
0|2021-12-06|4456.0|0|4456.0|0|78.0|0|0.0|100
0|2021-12-07|4458.0|0|4458.0|0|79.0|0|0.0|100
0|2021-12-08|4459.0|0|4459.0|0|79.0|0|0.0|100
0|2021-12-09|4460.0|0|4460.0|0|79.0|0|0.0|100
0|2021-12-10|4463.0|0|4463.0|0|79.0|0|0.0|100
0|2021-12-11|4463.0|0|4463.0|0|79.0|0|0.0|100
0|2021-12-12|4463.0|0|4463.0|0|79.0|0|0.0|100
0|2021-12-13|4464.0|0|4464.0|0|79.0|0|0.0|100
0|2021-12-14|4464.0|0|4466.0|0|79.0|0|0.0|100
0|2021-12-15|4473.0|0|4473.0|0|79.0|0|0.0|100
0|2021-12-16|4477.0|0|4477.0|0|79.0|0|0.0|100
0|2021-12-17|4480.0|0|4480.0|0|79.0|0|0.0|100
0|2021-12-18|4480.0|0|4480.0|0|79.0|0|0.0|100
0|2021-12-19|4480.0|0|4480.0|0|79.0|0|0.0|100
0|2021-12-20|4489.0|0|4489.0|0|79.0|0|0.0|100
0|2021-12-21|4500.0|0|4500.0|0|79.0|0|0.0|100
0|2021-12-22|4510.0|0|4510.0|0|79.0|0|0.0|100
0|2021-12-23|4517.0|0|4517.0|0|79.0|0|0.0|100
0|2021-12-24|4517.0|0|4517.0|0|79.0|0|0.0|100
0|2021-12-25|4517.0|0|4517.0|0|79.0|0|0.0|100
0|2021-12-26|4517.0|0|4517.0|0|79.0|0|0.0|100
0|2021-12-27|4551.0|0|4551.0|0|79.0|0|0.0|100
0|2021-12-28|4588.0|0|4588.0|0|79.0|0|0.0|100
0|2021-12-29|4645.0|0|4645.0|0|79.0|0|0.0|100
0|2021-12-30|4731.0|0|4731.0|0|79.0|0|0.0|100
0|2021-12-31|4731.0|0|4731.0|0|79.0|0|0.0|100
0|2022-01-01|4731.0|0|4731.0|0|79.0|0|0.0|100
0|2022-01-02|4731.0|0|4731.0|0|79.0|0|0.0|100
0|2022-01-03|4862.0|0|4862.0|0|79.0|0|0.0|100
0|2022-01-04|4972.0|0|4972.0|0|79.0|0|0.0|100
0|2022-01-05|5034.0|0|5034.0|0|79.0|0|0.0|100
0|2022-01-06|5110.0|0|5110.0|0|79.0|0|0.0|100
0|2022-01-07|5337.0|0|5337.0|0|79.0|0|0.0|100
0|2022-01-08|5337.0|0|5337.0|0|79.0|0|0.0|100
0|2022-01-09|5337.0|0|5337.0|0|79.0|0|0.0|100
0|2022-01-10|5457.0|0|5457.0|0|79.0|0|0.0|100
0|2022-01-11|5558.0|0|5558.0|0|79.0|0|0.0|100
0|2022-01-12|5558.0|0|5558.0|0|79.0|0|0.0|100
0|2022-01-13|5558.0|0|5558.0|0|79.0|0|0.0|100
0|2022-01-14|5939.0|0|5939.0|0|79.0|0|0.0|100
0|2022-01-15|5939.0|0|5939.0|0|79.0|0|0.0|100
