|dates|Oceana_Michigan_UnitedStates.JHU_ConfirmedCases.data|Oceana_Michigan_UnitedStates.JHU_ConfirmedCases.missing|Oceana_Michigan_UnitedStates.NYT_ConfirmedCases.data|Oceana_Michigan_UnitedStates.NYT_ConfirmedCases.missing|Oceana_Michigan_UnitedStates.JHU_ConfirmedDeaths.data|Oceana_Michigan_UnitedStates.JHU_ConfirmedDeaths.missing|Oceana_Michigan_UnitedStates.JHU_ConfirmedRecoveries.data|Oceana_Michigan_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-12-28|4896.0|0|4896.0|0|84.0|0|0.0|100
0|2021-12-29|4925.0|0|4925.0|0|84.0|0|0.0|100
0|2021-12-30|4925.0|0|4925.0|0|84.0|0|0.0|100
0|2021-12-31|4925.0|0|4925.0|0|84.0|0|0.0|100
0|2022-01-01|4925.0|0|4925.0|0|84.0|0|0.0|100
0|2022-01-02|4925.0|0|4925.0|0|84.0|0|0.0|100
0|2022-01-03|4992.0|0|4992.0|0|84.0|0|0.0|100
0|2022-01-04|4992.0|0|4992.0|0|84.0|0|0.0|100
0|2022-01-05|5025.0|0|5025.0|0|84.0|0|0.0|100
0|2022-01-06|5025.0|0|5025.0|0|84.0|0|0.0|100
0|2022-01-07|5081.0|0|5081.0|0|84.0|0|0.0|100
0|2022-01-08|5081.0|0|5081.0|0|84.0|0|0.0|100
0|2022-01-09|5081.0|0|5081.0|0|84.0|0|0.0|100
0|2022-01-10|5142.0|0|5142.0|0|84.0|0|0.0|100
0|2022-01-11|5142.0|0|5142.0|0|84.0|0|0.0|100
0|2022-01-12|5191.0|0|5191.0|0|84.0|0|0.0|100
0|2022-01-13|5191.0|0|5191.0|0|84.0|0|0.0|100
0|2022-01-14|5267.0|0|5267.0|0|84.0|0|0.0|100
0|2022-01-15|5267.0|0|5267.0|0|84.0|0|0.0|100
0|2022-01-16|5267.0|0|5267.0|0|84.0|0|0.0|100
0|2022-01-17|5267.0|0|0.0|100|84.0|0|0.0|100
