|dates|Collin_Texas_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Collin_Texas_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Collin_Texas_UnitedStates.Male_Total_Population.data|Collin_Texas_UnitedStates.Male_Total_Population.missing|Collin_Texas_UnitedStates.Female_Total_Population.data|Collin_Texas_UnitedStates.Female_Total_Population.missing|Collin_Texas_UnitedStates.MaleAndFemale_Under18_Population.data|Collin_Texas_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-10-17|110655.0|0|494802.0|0|510344.0|0|260476.0|0
0|2021-10-18|110655.0|0|494802.0|0|510344.0|0|260476.0|0
0|2021-10-19|110655.0|0|494802.0|0|510344.0|0|260476.0|0
0|2021-10-20|110655.0|0|494802.0|0|510344.0|0|260476.0|0
0|2021-10-21|110655.0|0|494802.0|0|510344.0|0|260476.0|0
0|2021-10-22|110655.0|0|494802.0|0|510344.0|0|260476.0|0
0|2021-10-23|110655.0|0|494802.0|0|510344.0|0|260476.0|0
0|2021-10-24|110655.0|0|494802.0|0|510344.0|0|260476.0|0
0|2021-10-25|110655.0|0|494802.0|0|510344.0|0|260476.0|0
0|2021-10-26|110655.0|0|494802.0|0|510344.0|0|260476.0|0
0|2021-10-27|110655.0|0|494802.0|0|510344.0|0|260476.0|0
0|2021-10-28|110655.0|0|494802.0|0|510344.0|0|260476.0|0
0|2021-10-29|110655.0|0|494802.0|0|510344.0|0|260476.0|0
0|2021-10-30|110655.0|0|494802.0|0|510344.0|0|260476.0|0
0|2021-10-31|110655.0|0|494802.0|0|510344.0|0|260476.0|0
0|2021-11-01|110655.0|0|494802.0|0|510344.0|0|260476.0|0
0|2021-11-02|110655.0|0|494802.0|0|510344.0|0|260476.0|0
0|2021-11-03|110655.0|0|494802.0|0|510344.0|0|260476.0|0
0|2021-11-04|110655.0|0|494802.0|0|510344.0|0|260476.0|0
0|2021-11-05|110655.0|0|494802.0|0|510344.0|0|260476.0|0
0|2021-11-06|110655.0|0|494802.0|0|510344.0|0|260476.0|0
0|2021-11-07|110655.0|0|494802.0|0|510344.0|0|260476.0|0
0|2021-11-08|110655.0|0|494802.0|0|510344.0|0|260476.0|0
0|2021-11-09|110655.0|0|494802.0|0|510344.0|0|260476.0|0
0|2021-11-10|110655.0|0|494802.0|0|510344.0|0|260476.0|0
0|2021-11-11|110655.0|0|494802.0|0|510344.0|0|260476.0|0
0|2021-11-12|110655.0|0|494802.0|0|510344.0|0|260476.0|0
