|dates|Hardeman_Tennessee_UnitedStates.JHU_ConfirmedCases.data|Hardeman_Tennessee_UnitedStates.JHU_ConfirmedCases.missing|Hardeman_Tennessee_UnitedStates.NYT_ConfirmedCases.data|Hardeman_Tennessee_UnitedStates.NYT_ConfirmedCases.missing|Hardeman_Tennessee_UnitedStates.JHU_ConfirmedDeaths.data|Hardeman_Tennessee_UnitedStates.JHU_ConfirmedDeaths.missing|Hardeman_Tennessee_UnitedStates.JHU_ConfirmedRecoveries.data|Hardeman_Tennessee_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|5066.0|0|5066.0|0|79.0|0|0.0|100
0|2021-10-18|5071.0|0|5071.0|0|79.0|0|0.0|100
0|2021-10-19|5079.0|0|5079.0|0|79.0|0|0.0|100
0|2021-10-20|5088.0|0|5088.0|0|79.0|0|0.0|100
0|2021-10-21|5093.0|0|5093.0|0|79.0|0|0.0|100
0|2021-10-22|5097.0|0|5097.0|0|79.0|0|0.0|100
0|2021-10-23|5097.0|0|5097.0|0|79.0|0|0.0|100
0|2021-10-24|5097.0|0|5097.0|0|79.0|0|0.0|100
0|2021-10-25|5097.0|0|5097.0|0|79.0|0|0.0|100
0|2021-10-26|5101.0|0|5101.0|0|79.0|0|0.0|100
0|2021-10-27|5103.0|0|5103.0|0|80.0|0|0.0|100
0|2021-10-28|5106.0|0|5106.0|0|81.0|0|0.0|100
0|2021-10-29|5112.0|0|5112.0|0|81.0|0|0.0|100
0|2021-10-30|5112.0|0|5112.0|0|81.0|0|0.0|100
0|2021-10-31|5112.0|0|5112.0|0|81.0|0|0.0|100
0|2021-11-01|5112.0|0|5112.0|0|81.0|0|0.0|100
0|2021-11-02|5125.0|0|5125.0|0|81.0|0|0.0|100
0|2021-11-03|5129.0|0|5129.0|0|81.0|0|0.0|100
0|2021-11-04|5134.0|0|5134.0|0|82.0|0|0.0|100
0|2021-11-05|5139.0|0|5139.0|0|82.0|0|0.0|100
0|2021-11-06|5139.0|0|5139.0|0|82.0|0|0.0|100
0|2021-11-07|5139.0|0|5139.0|0|82.0|0|0.0|100
0|2021-11-08|5139.0|0|5139.0|0|82.0|0|0.0|100
0|2021-11-09|5151.0|0|5151.0|0|82.0|0|0.0|100
0|2021-11-10|5151.0|0|5154.0|0|82.0|0|0.0|100
0|2021-11-11|5154.0|0|5154.0|0|82.0|0|0.0|100
0|2021-11-12|5155.0|0|5155.0|0|82.0|0|0.0|100
0|2021-11-13|5155.0|0|5155.0|0|82.0|0|0.0|100
0|2021-11-14|5155.0|0|5155.0|0|82.0|0|0.0|100
0|2021-11-15|5155.0|0|5155.0|0|83.0|0|0.0|100
0|2021-11-16|5157.0|0|5157.0|0|84.0|0|0.0|100
0|2021-11-17|5158.0|0|5158.0|0|84.0|0|0.0|100
0|2021-11-18|5158.0|0|5158.0|0|84.0|0|0.0|100
0|2021-11-19|5160.0|0|5160.0|0|84.0|0|0.0|100
0|2021-11-20|5160.0|0|5160.0|0|84.0|0|0.0|100
0|2021-11-21|5160.0|0|5160.0|0|84.0|0|0.0|100
0|2021-11-22|5164.0|0|5164.0|0|85.0|0|0.0|100
0|2021-11-23|5164.0|0|5164.0|0|85.0|0|0.0|100
0|2021-11-24|5165.0|0|5165.0|0|85.0|0|0.0|100
0|2021-11-25|5165.0|0|5165.0|0|85.0|0|0.0|100
0|2021-11-26|5165.0|0|5165.0|0|85.0|0|0.0|100
0|2021-11-27|5165.0|0|5165.0|0|85.0|0|0.0|100
0|2021-11-28|5165.0|0|5165.0|0|85.0|0|0.0|100
0|2021-11-29|5172.0|0|5172.0|0|87.0|0|0.0|100
0|2021-11-30|5177.0|0|5177.0|0|87.0|0|0.0|100
0|2021-12-01|5179.0|0|5179.0|0|87.0|0|0.0|100
0|2021-12-02|5186.0|0|5186.0|0|88.0|0|0.0|100
0|2021-12-03|5189.0|0|5189.0|0|88.0|0|0.0|100
0|2021-12-04|5189.0|0|5189.0|0|88.0|0|0.0|100
0|2021-12-05|5189.0|0|5189.0|0|88.0|0|0.0|100
0|2021-12-06|5197.0|0|5197.0|0|88.0|0|0.0|100
0|2021-12-07|5199.0|0|5199.0|0|88.0|0|0.0|100
0|2021-12-08|5205.0|0|5205.0|0|88.0|0|0.0|100
0|2021-12-09|5205.0|0|5205.0|0|88.0|0|0.0|100
0|2021-12-10|5220.0|0|5220.0|0|88.0|0|0.0|100
0|2021-12-11|5220.0|0|5220.0|0|88.0|0|0.0|100
0|2021-12-12|5220.0|0|5220.0|0|88.0|0|0.0|100
0|2021-12-13|5233.0|0|5233.0|0|89.0|0|0.0|100
0|2021-12-14|5233.0|0|5235.0|0|89.0|0|0.0|100
0|2021-12-15|5253.0|0|5253.0|0|89.0|0|0.0|100
0|2021-12-16|5261.0|0|5261.0|0|89.0|0|0.0|100
0|2021-12-17|5276.0|0|5276.0|0|89.0|0|0.0|100
0|2021-12-18|5276.0|0|5276.0|0|89.0|0|0.0|100
0|2021-12-19|5276.0|0|5276.0|0|89.0|0|0.0|100
0|2021-12-20|5295.0|0|5295.0|0|89.0|0|0.0|100
0|2021-12-21|5302.0|0|5302.0|0|89.0|0|0.0|100
0|2021-12-22|5312.0|0|5312.0|0|89.0|0|0.0|100
0|2021-12-23|5324.0|0|5324.0|0|93.0|0|0.0|100
0|2021-12-24|5324.0|0|5324.0|0|93.0|0|0.0|100
