|dates|Dubois_Indiana_UnitedStates.JHU_ConfirmedCases.data|Dubois_Indiana_UnitedStates.JHU_ConfirmedCases.missing|Dubois_Indiana_UnitedStates.NYT_ConfirmedCases.data|Dubois_Indiana_UnitedStates.NYT_ConfirmedCases.missing|Dubois_Indiana_UnitedStates.JHU_ConfirmedDeaths.data|Dubois_Indiana_UnitedStates.JHU_ConfirmedDeaths.missing|Dubois_Indiana_UnitedStates.JHU_ConfirmedRecoveries.data|Dubois_Indiana_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|8210.0|0|8211.0|0|129.0|0|0.0|100
0|2021-10-18|8227.0|0|8228.0|0|130.0|0|0.0|100
0|2021-10-19|8240.0|0|8241.0|0|131.0|0|0.0|100
0|2021-10-20|8249.0|0|8250.0|0|131.0|0|0.0|100
0|2021-10-21|8263.0|0|8264.0|0|131.0|0|0.0|100
0|2021-10-22|8271.0|0|8272.0|0|131.0|0|0.0|100
0|2021-10-23|8271.0|0|8272.0|0|131.0|0|0.0|100
0|2021-10-24|8271.0|0|8272.0|0|131.0|0|0.0|100
0|2021-10-25|8281.0|0|8282.0|0|131.0|0|0.0|100
0|2021-10-26|8291.0|0|8292.0|0|132.0|0|0.0|100
0|2021-10-27|8308.0|0|8309.0|0|133.0|0|0.0|100
0|2021-10-28|8317.0|0|8318.0|0|134.0|0|0.0|100
0|2021-10-29|8327.0|0|8328.0|0|134.0|0|0.0|100
0|2021-10-30|8327.0|0|8328.0|0|134.0|0|0.0|100
0|2021-10-31|8327.0|0|8328.0|0|134.0|0|0.0|100
0|2021-11-01|8341.0|0|8342.0|0|134.0|0|0.0|100
0|2021-11-02|8357.0|0|8358.0|0|134.0|0|0.0|100
0|2021-11-03|8364.0|0|8365.0|0|134.0|0|0.0|100
0|2021-11-04|8370.0|0|8371.0|0|134.0|0|0.0|100
0|2021-11-05|8380.0|0|8381.0|0|134.0|0|0.0|100
0|2021-11-06|8380.0|0|8381.0|0|134.0|0|0.0|100
