|dates|Multnomah_Oregon_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Multnomah_Oregon_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Multnomah_Oregon_UnitedStates.Male_Total_Population.data|Multnomah_Oregon_UnitedStates.Male_Total_Population.missing|Multnomah_Oregon_UnitedStates.Female_Total_Population.data|Multnomah_Oregon_UnitedStates.Female_Total_Population.missing|Multnomah_Oregon_UnitedStates.MaleAndFemale_Under18_Population.data|Multnomah_Oregon_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-10-17|109080.0|0|402182.0|0|409698.0|0|152901.0|0
0|2021-10-18|109080.0|0|402182.0|0|409698.0|0|152901.0|0
0|2021-10-19|109080.0|0|402182.0|0|409698.0|0|152901.0|0
0|2021-10-20|109080.0|0|402182.0|0|409698.0|0|152901.0|0
0|2021-10-21|109080.0|0|402182.0|0|409698.0|0|152901.0|0
0|2021-10-22|109080.0|0|402182.0|0|409698.0|0|152901.0|0
0|2021-10-23|109080.0|0|402182.0|0|409698.0|0|152901.0|0
0|2021-10-24|109080.0|0|402182.0|0|409698.0|0|152901.0|0
0|2021-10-25|109080.0|0|402182.0|0|409698.0|0|152901.0|0
0|2021-10-26|109080.0|0|402182.0|0|409698.0|0|152901.0|0
0|2021-10-27|109080.0|0|402182.0|0|409698.0|0|152901.0|0
0|2021-10-28|109080.0|0|402182.0|0|409698.0|0|152901.0|0
0|2021-10-29|109080.0|0|402182.0|0|409698.0|0|152901.0|0
0|2021-10-30|109080.0|0|402182.0|0|409698.0|0|152901.0|0
0|2021-10-31|109080.0|0|402182.0|0|409698.0|0|152901.0|0
0|2021-11-01|109080.0|0|402182.0|0|409698.0|0|152901.0|0
0|2021-11-02|109080.0|0|402182.0|0|409698.0|0|152901.0|0
0|2021-11-03|109080.0|0|402182.0|0|409698.0|0|152901.0|0
0|2021-11-04|109080.0|0|402182.0|0|409698.0|0|152901.0|0
0|2021-11-05|109080.0|0|402182.0|0|409698.0|0|152901.0|0
0|2021-11-06|109080.0|0|402182.0|0|409698.0|0|152901.0|0
0|2021-11-07|109080.0|0|402182.0|0|409698.0|0|152901.0|0
0|2021-11-08|109080.0|0|402182.0|0|409698.0|0|152901.0|0
0|2021-11-09|109080.0|0|402182.0|0|409698.0|0|152901.0|0
0|2021-11-10|109080.0|0|402182.0|0|409698.0|0|152901.0|0
0|2021-11-11|109080.0|0|402182.0|0|409698.0|0|152901.0|0
0|2021-11-12|109080.0|0|402182.0|0|409698.0|0|152901.0|0
0|2021-11-13|109080.0|0|402182.0|0|409698.0|0|152901.0|0
0|2021-11-14|109080.0|0|402182.0|0|409698.0|0|152901.0|0
0|2021-11-15|109080.0|0|402182.0|0|409698.0|0|152901.0|0
0|2021-11-16|109080.0|0|402182.0|0|409698.0|0|152901.0|0
0|2021-11-17|109080.0|0|402182.0|0|409698.0|0|152901.0|0
0|2021-11-18|109080.0|0|402182.0|0|409698.0|0|152901.0|0
0|2021-11-19|109080.0|0|402182.0|0|409698.0|0|152901.0|0
0|2021-11-20|109080.0|0|402182.0|0|409698.0|0|152901.0|0
0|2021-11-21|109080.0|0|402182.0|0|409698.0|0|152901.0|0
