|dates|Clinton_Kentucky_UnitedStates.JHU_ConfirmedCases.data|Clinton_Kentucky_UnitedStates.JHU_ConfirmedCases.missing|Clinton_Kentucky_UnitedStates.NYT_ConfirmedCases.data|Clinton_Kentucky_UnitedStates.NYT_ConfirmedCases.missing|Clinton_Kentucky_UnitedStates.JHU_ConfirmedDeaths.data|Clinton_Kentucky_UnitedStates.JHU_ConfirmedDeaths.missing|Clinton_Kentucky_UnitedStates.JHU_ConfirmedRecoveries.data|Clinton_Kentucky_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-12-27|2478.0|0|2524.0|0|41.0|0|0.0|100
0|2021-12-28|2479.0|0|2538.0|0|41.0|0|0.0|100
0|2021-12-29|2496.0|0|2538.0|0|41.0|0|0.0|100
0|2021-12-30|2496.0|0|2542.0|0|41.0|0|0.0|100
0|2021-12-31|2496.0|0|2542.0|0|41.0|0|0.0|100
0|2022-01-01|2496.0|0|2542.0|0|41.0|0|0.0|100
0|2022-01-02|2496.0|0|2542.0|0|41.0|0|0.0|100
0|2022-01-03|2513.0|0|2553.0|0|41.0|0|0.0|100
0|2022-01-04|2515.0|0|2553.0|0|41.0|0|0.0|100
0|2022-01-05|2525.0|0|2565.0|0|41.0|0|0.0|100
0|2022-01-06|2536.0|0|2578.0|0|41.0|0|0.0|100
0|2022-01-07|2550.0|0|2585.0|0|41.0|0|0.0|100
0|2022-01-08|2550.0|0|2585.0|0|41.0|0|0.0|100
0|2022-01-09|2550.0|0|2585.0|0|41.0|0|0.0|100
0|2022-01-10|2562.0|0|2585.0|0|41.0|0|0.0|100
0|2022-01-11|2572.0|0|2585.0|0|41.0|0|0.0|100
0|2022-01-12|2586.0|0|2586.0|0|41.0|0|0.0|100
0|2022-01-13|2586.0|0|2607.0|0|41.0|0|0.0|100
0|2022-01-14|2634.0|0|2634.0|0|41.0|0|0.0|100
0|2022-01-15|2634.0|0|2634.0|0|41.0|0|0.0|100
0|2022-01-16|2634.0|0|2634.0|0|41.0|0|0.0|100
0|2022-01-17|2634.0|0|0.0|100|41.0|0|0.0|100
