|dates|Clay_Illinois_UnitedStates.JHU_ConfirmedCases.data|Clay_Illinois_UnitedStates.JHU_ConfirmedCases.missing|Clay_Illinois_UnitedStates.NYT_ConfirmedCases.data|Clay_Illinois_UnitedStates.NYT_ConfirmedCases.missing|Clay_Illinois_UnitedStates.JHU_ConfirmedDeaths.data|Clay_Illinois_UnitedStates.JHU_ConfirmedDeaths.missing|Clay_Illinois_UnitedStates.JHU_ConfirmedRecoveries.data|Clay_Illinois_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|2573.0|0|2573.0|0|54.0|0|0.0|100
0|2021-10-18|2582.0|0|2582.0|0|54.0|0|0.0|100
0|2021-10-19|2588.0|0|2588.0|0|54.0|0|0.0|100
0|2021-10-20|2587.0|0|2587.0|0|54.0|0|0.0|100
0|2021-10-21|2592.0|0|2592.0|0|54.0|0|0.0|100
0|2021-10-22|2598.0|0|2598.0|0|54.0|0|0.0|100
0|2021-10-23|2598.0|0|2598.0|0|54.0|0|0.0|100
0|2021-10-24|2598.0|0|2598.0|0|54.0|0|0.0|100
0|2021-10-25|2604.0|0|2604.0|0|54.0|0|0.0|100
0|2021-10-26|2611.0|0|2611.0|0|54.0|0|0.0|100
0|2021-10-27|2620.0|0|2620.0|0|54.0|0|0.0|100
0|2021-10-28|2623.0|0|2623.0|0|54.0|0|0.0|100
0|2021-10-29|2623.0|0|2623.0|0|54.0|0|0.0|100
0|2021-10-30|2623.0|0|2623.0|0|54.0|0|0.0|100
0|2021-10-31|2623.0|0|2623.0|0|54.0|0|0.0|100
0|2021-11-01|2642.0|0|2642.0|0|54.0|0|0.0|100
0|2021-11-02|2651.0|0|2651.0|0|54.0|0|0.0|100
0|2021-11-03|2657.0|0|2657.0|0|54.0|0|0.0|100
0|2021-11-04|2662.0|0|2662.0|0|54.0|0|0.0|100
0|2021-11-05|2662.0|0|2662.0|0|54.0|0|0.0|100
0|2021-11-06|2662.0|0|2662.0|0|54.0|0|0.0|100
0|2021-11-07|2662.0|0|2662.0|0|54.0|0|0.0|100
0|2021-11-08|2674.0|0|2674.0|0|54.0|0|0.0|100
0|2021-11-09|2681.0|0|2681.0|0|54.0|0|0.0|100
0|2021-11-10|2681.0|0|2684.0|0|54.0|0|0.0|100
0|2021-11-11|2684.0|0|2684.0|0|54.0|0|0.0|100
0|2021-11-12|2693.0|0|2693.0|0|54.0|0|0.0|100
0|2021-11-13|2693.0|0|2693.0|0|54.0|0|0.0|100
0|2021-11-14|2693.0|0|2693.0|0|54.0|0|0.0|100
0|2021-11-15|2710.0|0|2710.0|0|54.0|0|0.0|100
0|2021-11-16|2721.0|0|2721.0|0|54.0|0|0.0|100
0|2021-11-17|2729.0|0|2729.0|0|54.0|0|0.0|100
0|2021-11-18|2735.0|0|2735.0|0|54.0|0|0.0|100
0|2021-11-19|2748.0|0|2748.0|0|54.0|0|0.0|100
0|2021-11-20|2748.0|0|2748.0|0|54.0|0|0.0|100
0|2021-11-21|2748.0|0|2748.0|0|54.0|0|0.0|100
